{'短评内容': '领导去的', '短评打分': 5}
{'短评内容': '前台美女刘荣非常负责！很快就把事情做好了，也很漂亮！感觉非常好！着重是前台刘荣小美女特别特别好！酒店离机场也很近，不会堵车！', '短评打分': 5}
{'短评内容': '一直住在这里，很好的酒店，早餐也很棒', '短评打分': 5}
{'短评内容': '不错的酒店，一直住在这', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '早餐特别好，但房间小，价格有点小贵。', '短评打分': 5}
{'短评内容': '还是可以的｡◕‿◕｡', '短评打分': 5}
{'短评内容': '酒店位置不错，各方面硬件设施在当地也算数一数二的了，值得入住。', '短评打分': 5}
{'短评内容': '西', '短评打分': 5}
{'短评内容': '当地比较好的酒店了，还不错', '短评打分': 4}
{'短评内容': '当地比较好的酒店了，还不错', '短评打分': 4}
{'短评内容': '酒店各个方面都很棒！', '短评打分': 5}
{'短评内容': '酒店早餐不错', '短评打分': 4}
{'短评内容': '不错的酒店，性价比高', '短评打分': 5}
{'短评内容': '还好一般', '短评打分': 5}
{'短评内容': '服务好', '短评打分': 4}
{'短评内容': '到榆林已多次入住，酒店设施齐全，空调太暖，卫生干净整洁，服务热情，下次还住。', '短评打分': 5}
{'短评内容': '服务态度很好，周边环境也很好，卫生很好', '短评打分': 5}
{'短评内容': '服务态度很好，周边环境也很好，卫生很好', '短评打分': 5}
