{'descr': '环境还可以', 'star': 5}
{'descr': '马马虎虎吧', 'star': 4}
{'descr': '环境不错，挺安静的，不能加床，免费停车，停车场很大的', 'star': 4}
{'descr': '一直都住它家', 'star': 5}
{'descr': '不错的', 'star': 5}
{'descr': '非常喜欢这个房间', 'star': 5}
{'descr': '还不错的说，环境位置都还行', 'star': 5}
{'descr': '环境还不错，就隔音效果差了点', 'star': 5}
{'descr': '经济实惠', 'star': 5}
{'descr': '环境不错，就是地方难找，其他的还好。。，，，，，，，，，，，。。。。。。。，，，。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '服务好，房间安静。网络好', 'star': 5}
{'descr': '宾馆设施老旧拉不过服务态度还好', 'star': 3}
{'descr': '地点有点偏，周边可以说是有点荒凉，吃饭要走上十五分钟，酒店可以提供外卖清单，电视频道少，前台服务态度一般化', 'star': 3}
{'descr': '房間較為老舊，而且未附早餐!', 'star': 3}
{'descr': '環境尚可，離市区远了些', 'star': 3}
{'descr': 'cbcbcbcb', 'star': 4}
{'descr': 'vncvbnvnv', 'star': 4}
{'descr': '环境挺好，地理位置也不错，前台服务员的微笑很真诚。', 'star': 5}
{'descr': '内宾房间，还算宽敞、干净，就是不通风。不愉快的是，早晨结账的时候说我污染毛巾了，要我15元买了块毛巾。', 'star': 5}
{'descr': '地方配套，特别交通方面非常不理想。住宿环境还可以：干净、清洁，服务好。', 'star': 5}
{'descr': '环境不错，服务员态度很好，下次还会光顾…', 'star': 3}
{'descr': '  环境挺好 电视效果一般 ', 'star': 3}
{'descr': '卫生条件还行，感觉还不错。下次还住！为朋友定的。朋友感到还可以。', 'star': 5}
{'descr': '订的时候一个价，住的时候就涨成了挂牌价，而且没有事先通知，这一点表示很不满。位置还行，装潢就是标准的如家，服务不错，不过房间的隔音效果挺差的，房间内能很清楚的听到走廊里的谈话', 'star': 5}
{'descr': '交通方便，周边吃饭的地方多，卫生好，己多次入住。', 'star': 3}
{'descr': '和一般的如家差不多，挺不错的  离王府井也近', 'star': 5}
{'descr': '此酒店算是HOMEIN 在昆山较大的一家,环境安静,适合居住休息', 'star': 5}
{'descr': '里面設施還是蠻不錯的，房間也干凈～！下次還會光臨', 'star': 5}
{'descr': '挺好的，就是稍微有點偏僻，不過還是可以接受', 'star': 5}
{'descr': '很不错的，值得推荐，如果床大点更好，位置刚好！', 'star': 5}
{'descr': '环境安静！交通方便', 'star': 3}
{'descr': '还不错，就是返现少了，异龙不给力了啊', 'star': 3}
{'descr': '很好~~~很满意很好~~~很满意很好~~~很满意很好~~~很满意很好~~~很满意', 'star': 5}
{'descr': ' 前台服务很好，感觉“如家”般，就是房间太小，两个人走动都不方便。', 'star': 3}
{'descr': '不错，服务态度也好，价位也适当，可以入住', 'star': 5}
{'descr': '房间不错，在开发区，户外环境部是很好，吃饭不方便！', 'star': 5}
{'descr': ' 环境不错。内部设施也齐全', 'star': 3}
{'descr': '位置虽然不太好，但离出差的工厂很近，比较方便，如家还是一如既往，全国都差不多。', 'star': 5}
{'descr': '如家总体来说都还不错，如果含早餐就好了。', 'star': 5}
{'descr': '位置不错、交通方便', 'star': 3}
{'descr': '装修得还可以，不过快捷酒店的通病还是那样吧，不管是大厅还是房间里都感觉有点窄的感觉', 'star': 5}
{'descr': '青阳北路店没有房间了，才选择这家，位置太偏了，出去要打车，周围工厂太多，空气环境不太好。不过如家里的住宿条件还是很不错的', 'star': 1}
{'descr': '环境比较温馨，交通便利，服务也很周到，很乌龙的打不开房门时，保安直接跑楼梯上6楼给我们开门，很感动~', 'star': 5}
{'descr': '房间相对其他地方还是蛮大的,就是周围购物比较不方便', 'star': 5}
{'descr': '服务态度很好.也很干净！继续支持……', 'star': 3}
{'descr': '交通不便，，旁边配套没跟上，，吃顿夜宵要走15分钟才能到，，但是房间干净，，服务也不错，，总的来说还是推荐入住', 'star': 5}
