{'短评内容': '特价房不能住', '短评打分': 4}
{'短评内容': '没来得及入住，只开了发票，但是发票开错了，客服人很好，帮忙解决', '短评打分': 5}
{'短评内容': '这个酒店唯一的好处就是离机场近，开车8分钟吧。这个特价大床房就是个坑，是个小圆床，空调也是坏的，会自己开了关了噪声很大半夜都吵醒了，电视遥控器的字迹已经看不太清了，枕头有点黄黄的，床单还有点血迹，设施很差。', '短评打分': 3}
{'短评内容': '大华酒店装修还好。比较干净。有电梯。', '短评打分': 5}
{'短评内容': '到机场比较方便', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '总体感觉不错', '短评打分': 4}
{'短评内容': '房间卫生状况实在不敢恭维，淋浴花洒的托也没有，只好自己拿着。床的形状也是比较奇葩的，圆形，又不是情趣主题酒店搞什么圆形，倒不是我对圆形有偏见，关键是不好睡。干净房间、正常的床、洗浴设施正常这样的要求不算过分吧。', '短评打分': 3}
{'短评内容': '卫生间偏小，电视不能正常播放，唯一的优点环境不错，酒店内饰还行，只是早餐太简单，结束得还早。', '短评打分': 4}
{'短评内容': '海拉尔旅游季房间太紧俏了，房间选择经济间无窗，房间卫生间太拥挤，电视不能正常播放.', '短评打分': 5}
{'短评内容': '服务一般，房间小', '短评打分': 5}
{'短评内容': '房间干净，早餐卫生，这个价位相当可以了', '短评打分': 3}
{'短评内容': '房间温暖，干净整洁，不吵，附近早餐方便，期待下次入住！', '短评打分': 3}
{'短评内容': '值得入住，总体还行。', '短评打分': 4}
{'短评内容': '值得入住，总体还行。', '短评打分': 4}
{'短评内容': '酒店很普通，周围也没有吃饭的地方，一般', '短评打分': 3}
{'短评内容': '空调不能用前台也不主动讲，宽带似乎也没有。房卡还是直接丢到吧台上，起码的服务意识都没有。哎，只因自己提前预授权，死也不来了。', '短评打分': 1}
