{'短评内容': '爸爸爸爸call健康快乐旅途兔兔KTV图', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 2}
{'短评内容': '好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '紧挨北京大学，如果去北大的话，更方便了，离北大小西门不到百米。环境优雅，住着感觉不错。干净，基本设施齐全。就是当晚11:00临时停电，赶在之间将洗漱工作彻底搞定。', '短评打分': 5}
{'短评内容': '设施很陈旧，早餐很差，不值这个价格，不建议入住', '短评打分': 1}
{'短评内容': '虽然房间小了点，设施有点旧，但很干净，服务也不错，离北大很近。', '短评打分': 5}
{'短评内容': '条件和服务很好.', '短评打分': 3}
{'短评内容': '酒店地理位置好，离北京大学近，办事方便，在海淀桥北下车即到。', '短评打分': 5}
{'短评内容': '房间打扫很及时~服务也好！房间打扫很及时~服务也好！', '短评打分': 5}
{'短评内容': '前台服务质量确实有待提高，问个事爱答不理，尤其是一个年龄40左右的。', '短评打分': 1}
{'短评内容': '方便，上课去北京大学办事学习都很近，交通便捷，值得推荐', '短评打分': 5}
{'短评内容': '价格高过房间的设施水平', '短评打分': 3}
{'短评内容': '上网速度很慢, 房间内整理的不够干净, 早餐普通, 服务普通. 唯一优点是距北京大学很近,  要去北京大学办事很方便. ', '短评打分': 1}
{'短评内容': '设施陈旧，白色的枕套已经发黑了，有的楼层没有直达电梯，也没有工作人员帮助提行李。', '短评打分': 1}
{'短评内容': '紧邻北大，很方便。但是前台的服务有待提高。我们比预定退房时间晚了十分钟（其实我们迟到的原因也是因为出门的时候，前台工作人员不能马上回复我们的询问，耽误了时间）前台工作人员马上就要收半日房费，虽然最后在我的要求下请示了经理，没有加收，但是工作人员一点不懂变通，态度也很生硬，明显缺乏职业培训。\n酒店的设施已经很陈旧了，硬件没有丝毫的竞争力，在服务上也不能让人满意，这样的宾馆，不推荐。', '短评打分': 1}
{'短评内容': '该酒店比较经济实惠，特别是餐厅的菜品味道好，物美价廉。', '短评打分': 5}
{'短评内容': ' 性价比高', '短评打分': 3}
{'短评内容': '房间的卫生设施倒还好就是房间比较小还有就是电梯是到不了我住的房间楼层我当时拿的行李是挺多的只能一件一件提上去，服务员也没有人来帮忙，不过离我办事地方还挺近的，不过价格还是挺贵和酒店的设施服务不是太匹配，早餐也是挺差的。', '短评打分': 3}
{'短评内容': '酒店地处北京大学南门，环境很好，房间干净整洁，服务态度好，配套设施齐全', '短评打分': 5}
{'短评内容': '酒店环境很好，周边靠近北大，房间硬件设施很齐全，可以上网，蛮方便的，卫生条件不错，很干净整洁，前台服务热情周到，住宿条件还可以', '短评打分': 5}
{'短评内容': '已经入住二晚,酒店硬件、服务及早餐均较差', '短评打分': 3}
{'短评内容': '房间打扫的很干净，舒适度很好，前台服务员热情周到，很有亲和力，酒店配套设施很齐全，住宿环境很不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店周边环境不错，地理位置很好，靠近颐和园，北京大学附近，前台服务很好热情周到，住宿环境还是很好的', '短评打分': 5}
