{'短评内容': '还行，商务出差可以', '短评打分': 4}
{'短评内容': '特别的好，真的', '短评打分': 5}
{'短评内容': '郑州七天里算好的那一批', '短评打分': 5}
{'短评内容': '酒店地理位置很好，但是房间不隔音，半夜12点，隔壁的声音特别大！很影响休息！并且不提供早餐！', '短评打分': 2}
{'短评内容': '房间比较小，洗手间的味道比较大', '短评打分': 4}
{'短评内容': '酒店地理位置不错，周边好吃的，大超市也方便。', '短评打分': 5}
{'短评内容': '价格比直接七天会员预订贵，但满减活动后差不多，房间隔音不好这家', '短评打分': 5}
{'短评内容': '帮朋友订的，睁开马拉松，一直住这里', '短评打分': 5}
{'短评内容': '郑开马拉松预定的，以前也住这里，还好，离地铁站近', '短评打分': 5}
{'短评内容': '价格实惠，地理位置优越，住的舒服，服务到位。更重要的是信守承诺。在京东上订房价格非常优惠，到店后一度不能办理入住，前台人员想方设法，甚至补款给我们，让我们重新订房，&ldquo;你们订上了房，就没有不给你们住的道理&rdquo;。唯一美中不足是，洗手间的门拴和排气扇坏掉了，配置有一点点旧。希望下次去可以增强维护。', '短评打分': 5}
{'短评内容': '     从预订到入住，全程都很便利。前台服务很好，不怎么会用无线，给前台打了电话，没一会儿就有人过来帮我弄无线了，酒店的无线还不错，有无线很方便。房间的话，电视淋浴卫生间都有，尤其热水很快很舒服，房间打扫的很干净，快捷酒店的便利卫生快捷很突出。来开会的，离会展中心近的店价格偏贵，于是就选了家在地铁线上的，看评价这家店还不错就定了。去会展中心确实方便，酒店出门走不到两百米就是地铁口，到会展中心也就', '短评打分': 5}
{'短评内容': '     从预订到入住，全程都很便利。前台服务很好，不怎么会用无线，给前台打了电话，没一会儿就有人过来帮我弄无线了，酒店的无线还不错，有无线很方便。房间的话，电视淋浴卫生间都有，尤其热水很快很舒服，房间打扫的很干净，快捷酒店的便利卫生快捷很突出。来开会的，离会展中心近的店价格偏贵，于是就选了家在地铁线上的，看评价这家店还不错就定了。去会展中心确实方便，酒店出门走不到两百米就是地铁口，到会展中心也就', '短评打分': 5}
{'短评内容': '服务不错。其他一般。', '短评打分': 5}
{'短评内容': '交通比较方便，服务比较差不错的酒店，服务挺好，  挺好的，挺好的   交通比较方便，服务比较差不错的酒店，服务挺好，  挺好的，挺好的', '短评打分': 3}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还可以就是标间小点，房间窗户关不上', '短评打分': 5}
{'短评内容': '还可以，不错', '短评打分': 5}
{'短评内容': '还不错，可以', '短评打分': 5}
{'短评内容': '好，贵', '短评打分': 5}
