{'短评内容': '非常满意-戴海虹非常不错', '短评打分': 5}
{'短评内容': '服务很好，很干净', '短评打分': 5}
{'短评内容': '服务态度好', '短评打分': 5}
{'短评内容': '早餐丰富，房间干净', '短评打分': 5}
{'短评内容': '前台王虹欢服务热情周到', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '不是太整洁，价位偏高', '短评打分': 5}
{'短评内容': '是商旅的较好选择，基本上还OK。', '短评打分': 5}
{'短评内容': '房间免费升级，卫生一般', '短评打分': 5}
{'短评内容': '很好很好很实惠', '短评打分': 5}
{'短评内容': '一分钱一分货吧。卫生间不够干净', '短评打分': 0}
{'短评内容': '帮公司老外订的，打电话给前台咨询事情，前台服务不要太差哦！还是台州国际比较好，感觉不会再订这家了！', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '很一般，挂着四星，内容却和快捷没两样', '短评打分': 2}
{'短评内容': '\u200d环境不错，喜欢 ', '短评打分': 5}
{'短评内容': '酒店是老酒店，但好像是新装修的，很干净！', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店毕竟时间长了，有些设备有点老化了。周边也没什么好的吃饭什么的。', '短评打分': 4}
{'短评内容': '吃得较好，环境也不错，停车也方便', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '晚上自助餐很给力！', '短评打分': 5}
