{'短评内容': '不错啊，住的挺舒服', '短评打分': 5}
{'短评内容': '可以带狗吗', '短评打分': 5}
{'短评内容': '早餐一般，带孩子挺方便的，我就是带孩子去儿童医院看病的，出门坐车很方便，离儿童医院不远，窗户后边就是一个停车场', '短评打分': 5}
{'短评内容': '来西安给孩子看病，定的酒店，环境挺好，安静卫生，住着挺好，从价格上来说，也非常划算，下次有机会去西安玩，依然会选这家', '短评打分': 5}
{'短评内容': '挺好，性价比高，价格公道', '短评打分': 5}
{'短评内容': '房间舒适，服务态度好，性价比高&hellip;&hellip;很喜欢，不错的选择', '短评打分': 5}
{'短评内容': '不错 很好。房间很干净。前台也很热情 酒店交通非常好', '短评打分': 5}
{'短评内容': '帮朋友订的，去看了下，算是比较干净的酒店哦，而且据说也属于那种快捷的连锁经济酒店，总体感觉还是比较好的', '短评打分': 5}
{'短评内容': '价格便宜地段好到哪都放便', '短评打分': 4}
{'短评内容': '位置非常好，每次去西安都入住，对那里周围也熟悉了。边上有人人', '短评打分': 5}
{'短评内容': '方便出游', '短评打分': 4}
{'短评内容': '方便出游', '短评打分': 4}
{'短评内容': '经济型宾馆，价格便宜，离西门近', '短评打分': 4}
{'短评内容': '很方便，挺好的，不错！', '短评打分': 5}
{'短评内容': '很好的酒店，下次入住', '短评打分': 5}
{'短评内容': '好好好好好好好好好好', '短评打分': 3}
{'短评内容': '3星评价，还可以的，推荐', '短评打分': 3}
{'短评内容': '位置在西门，坐车才知道其实是在西门外。房间干净小巧，不足是空调有烟味儿。洗浴房一面全玻璃，楼下24小时士多，总体环境满意。', '短评打分': 4}
{'短评内容': '不错，干净，交通方便，比较满意，推荐入住', '短评打分': 5}
{'短评内容': '感觉还不错，就是小了点但是经济型的酒店还算可以', '短评打分': 5}
{'短评内容': ' 刚到酒店，觉着还不错，就是没电脑，前台说，电脑房要加30元，且电脑房今天没了', '短评打分': 3}
{'短评内容': '房间整洁，服务态度好', '短评打分': 3}
{'短评内容': '卫生——10 \n淋浴舒适度——10。 \n安静——10。 \n床的舒适程度——10。 \n公交车站在楼下。坐公交去哪都方便！！\n', '短评打分': 5}
{'短评内容': '卫生——OK。 \n淋浴舒适度——OK。 \n安静——OK。 \n床的舒适程度——OK。 \n基本上，达到 快捷酒店的要求。公交车站在楼下。坐公交去哪都方便！！\n缺点——窗帘太短，不能完全遮住。算是小缺点。\n个人能接受，又订了一晚。 ', '短评打分': 5}
{'短评内容': '很好很干净 的酒 店，还会再来的，服务也很好，交通很方便 ，出来就是公交车站', '短评打分': 5}
{'短评内容': '交通方面，干净卫生，嗯，蛮喜欢的，以后还会来', '短评打分': 5}
{'短评内容': '地理位置很好，服务态度也很好，唯一不好的一点就是太吵了，楼道里里面不知道是什么机器运行的声音', '短评打分': 5}
{'短评内容': '入住了西水两天，各种服务还是不错的。但是这次住的是5楼的大床房，据同学以前入住的经验看，5楼的房间远远不如2楼的房间。2楼的浴室与房间间隔是毛玻璃幕墙，5楼的是一般的墙。2楼的拖鞋都比5楼好多了。而且这次入住的房间里墙体有些破烂。wifi速度不是很给力。\n\n但是，服务态度都很好的。退房时间是下午2点，比较晚，充分考虑到了旅客的时间安排。房间内的东西都很干净整洁。可以借吹风、雨伞等等。地理位置就在西', '短评打分': 5}
{'短评内容': '蛮好的一家酒店，服务到位，而且交通便捷！', '短评打分': 5}
{'短评内容': '酒店位置很方便，内部干净整洁，交通便利，性价比较高，下次还会预定。', '短评打分': 5}
{'短评内容': '酒店很抠门，晚退房10分钟就加收一个小时的费用，太不人性化，以后再不会住了', '短评打分': 1}
{'短评内容': '房间不是很大，环境还算可以，性价比还算挺高。', '短评打分': 3}
{'短评内容': '交通方便，很舒适的地方，2点才退房，周围吃饭地方也很多', '短评打分': 5}
{'短评内容': '交通方便，门口就有公交车，旁边超市、市场、吃饭的地方都有。离钟鼓楼市中心及机场大巴站不远，也就三个站的距离。酒店较新。但卫生方面还有待加强。', '短评打分': 5}
{'短评内容': '＋入住', '短评打分': 3}
{'短评内容': '1、交通很方便，出门有公交车，线程也比较多。2、酒店虽不大，但是设施还算完善，住的也很舒适。3、酒店可联系自由行旅游团，适合散客。4、热水供应不太稳定，有时候23点了就没了，有时候又还有。', '短评打分': 5}
{'短评内容': '服务态度非常满意,以后还会来，并会向同事和朋友推荐。', '短评打分': 5}
{'短评内容': '酒店位置很好，交通很方便，在市中心，环境也很好，服务态度也好的没话说，一个字赞', '短评打分': 5}
{'短评内容': '干净，整洁。服务态度好。出行方便。以后经常光顾。', '短评打分': 5}
{'短评内容': '热水木油', '短评打分': 3}
{'短评内容': '优点:\n1.附近有人人乐，肯德基，还有好多食肆，饮食方便；\n2.靠近西门，比较好找，交通还算方便；\n3.国庆期间RMB268/晚，价钱合理；\n4.有免费的WIFI\n缺点：\n1.没有介绍所说的从鼓楼步行到酒店只是5~10分钟那么近，我亲身走过要40分钟左右；\n2.干净程度一般，床上有床单不是天天换，他们说是3天才换；', '短评打分': 5}
{'短评内容': '房子挺宽敞 服务挺好  无线网速很快  建议换一次性拖鞋', '短评打分': 5}
{'短评内容': '酒店环境还可以，靠东的一面有街道比较吵，房间里没有电话不方便，有热水，但水有点小。网上订的价格比较优惠！', '短评打分': 5}
{'短评内容': '酒店挺舒适干净的，网上预订比前台要优惠很多，电视是液晶的，不错！但是拖鞋不是一次性的，酒店旁边的停车场不是免费的！总体来说不错！', '短评打分': 5}
{'短评内容': '   交通确实很方便，出门就是公交站台，前台服务人员态度都很好，房间也干净整洁，唯一不足之处因为定的是大床间，临街有点吵。\n    还是值得推荐的哦！', '短评打分': 5}
{'短评内容': '挺不错的。蛮干净的。', '短评打分': 3}
{'短评内容': '房间挺干净整洁，是我喜欢的类型。交通便利。', '短评打分': 3}
{'短评内容': '除了设施新点其他也没什么特别的。简介上竟然有鼓楼到酒店步行5分钟。太欺骗人了。有整整3公里，房间连个内线电话都没有。找服务员还得自己去一楼。酒店和市中心实在搭不上边，上当太多', '短评打分': 1}
{'短评内容': '比想相的要好了不少，卫生条件不错服务也可以，距火车站，钟楼较近，值得推荐。', '短评打分': 3}
{'短评内容': '酒店地理位置很好，卫生间很大，床也很干净，虽然距离大街很近，但由于采用双层玻璃，隔音效果还好。\n不足之处是过于快捷酒店配置了，基本的电话没有，要和前台联系还得拿卡下楼去联系，这点很不方便；另外由于采用太阳能热水，龙头打开不几分钟就没有热水了，我不知道到冬天酒店如何保证客人用水。\n电视台频道也不够，很多省台看不到，希望能加强这方面的配置。\n没有看到网线，用的时候还得去前台拿，这点不人性化。\n快捷酒店', '短评打分': 5}
{'短评内容': '~前台工作人员非常热情，服务很好，出行交通也方便！~推荐', '短评打分': 5}
{'短评内容': '作为连锁酒店简约卫生，服务很好，交通方便值得推荐。', '短评打分': 5}
{'短评内容': '隔音稍差，总体不错，满意。推荐大家可以入住。', '短评打分': 5}
{'短评内容': '西水宾馆，洁净、服务较好！价格实惠、宾馆设施齐全。据火车站、市中心又不很远、交通方便，有K205、216等公交车，换乘方便。', '短评打分': 5}
{'短评内容': '位置在西门附近，交通很便利，房间比较舒适，两个人住足够了，价钱也很公道，后院还有停车场，不过过夜要收费的，稍稍有点不舒服,其他的都不错，推荐入住。', '短评打分': 5}
{'短评内容': '我们订的是大床房，挺干净的，就是屋内有股霉味，还有房间靠近公交站有点吵，幸好是玩的比较累了，也没太影响睡觉，如果睡眠浅的人，恐怕睡不好！！！！！', '短评打分': 5}
{'短评内容': '酒店挺好的，很干净，有两条干净的毛巾和浴巾，提供有两支一次性牙刷，独立包装洗发露及沐浴露。地理位置也挺好的，门口走几十米就是公交车站，在主干道上，离钟楼也很近。', '短评打分': 5}
{'短评内容': '还不错，有热水，交通比较便利，卫生间挺好，服务员也比较赞\n房间里没有电话，找服务员比较麻烦\n性价比很高啊', '短评打分': 5}
{'短评内容': '酒店位置好,交通便利!房间干净,大床房有点小,靠路边有点吵,其他都好!', '短评打分': 3}
{'短评内容': '房间很宽敞，而且可能由于新开，设备都很新。唯一可能空调的风力不是太大。', '短评打分': 3}
{'短评内容': '酒店交通便利，门口就是西门外站，房间简洁、干净、明亮，服务态度好，新液晶电视，信号个别台不太好，店名应为西水快捷酒店，只有进入酒店后才能找到加利利。', '短评打分': 5}
{'短评内容': '房间不错，环境很好', '短评打分': 3}
{'短评内容': '隔音不好·其他的都不错···········\n靠街的屋子噪音有点点大··门下的缝隙大所以导致隔音不好·\n其他的就都很好了·价格合理，服务态度很好，无线网速也不错，位置也很方便，坐车还是超市什么的都很好，也很好找', '短评打分': 5}
{'短评内容': ':已入住，服务员态度很好，房间干净，游玩方便，不错！', '短评打分': 3}
{'短评内容': '不错，值得推荐。酒店位置佳（在西门外），从火车站做206就可到达，房屋干净整洁，卫生打扫及时，服务人员很热情，洗浴是24小时热水供应，家的感觉。门口就是公交车站站，很便利，推荐给来这里旅游的人。', '短评打分': 5}
{'短评内容': '    首先，这是一家很值得推荐的酒店。第一，这家酒店位置很好，交通很方便，就在西门外，下火车后，在火车站西坐211（好像是）到西门外下，往回走10-20米就会看到一个酒店就是西安加利利酒店，不过门牌写的是西水酒店；第二，这家酒店到市中心很方便，在这里坐公交可以说是四通八达，到钟楼、鼓楼、小雁塔、大雁塔、火车站都很方便，都有直达；第三；这家酒店附近买东西也很方便，楼下就是一个小超市，不过东西很少而', '短评打分': 5}
{'短评内容': '位置不错到回民街逛吃什么走路也行，面积小了点，公交在楼下，挺方面，值得推荐。', '短评打分': 3}
{'短评内容': '还不错，房间条件挺好的', '短评打分': 3}
{'短评内容': '第一次住，很不错的酒店，很干净，前台态度也很好', '短评打分': 5}
{'短评内容': '酒店环境很好，交通很方便，出门就有公交车站，可以直达火车站、大雁塔等地区，离钟鼓楼也就3站地，在回民街吃完小吃完全可以步行回酒店。强烈推荐，很适合去那里游玩的人', '短评打分': 5}
{'短评内容': '地理位置还不错，性价比很高，出门就是公交车站非常方便！！！唯一的不足就是觉得房间的被子和床有点潮，前台的服务也很热情，可以打90分。', '短评打分': 5}
{'短评内容': '离钟楼鼓楼还是比较近，楼下就有车站，有直接到大雁塔，大唐芙蓉园的车，交通方便，附近还有个人人乐，买吃的方便，总体来说不错，前台的美女态度也很好', '短评打分': 5}
{'短评内容': '房间色调很舒服，设施很新，服务员也很和善，离公交站大概200米，不吵闹，而且出行很方便...离钟鼓楼就2,3站路，很方便', '短评打分': 5}
{'短评内容': '很不错的酒店，仅靠城墙，交通方便，房间很干净，前台部分女服务人员态度不好，需要改进，房间的设施不错，很干净，性价比不错，希望提高前台女服务人员的素质，下次来还住，看看是否改进了木？', '短评打分': 5}
{'短评内容': '很不错的   真的 虽然我第一次在外面住没有进行对比 但是还不错', '短评打分': 5}
{'短评内容': '条件没有文昌门那家好，设施比较简陋，前台还找借口不给发票。总之跟一般。', '短评打分': 1}
{'短评内容': '酒店位置还不错，楼下就有一个小便利超市，公交车站也在旁边，很方便。房间都是无线覆盖的，很好，就是没有电话。入住的时候可能旁边房间都是旅行团，大半夜一两点在走廊上大声说话，还有凌晨4点多也是，，吵的人没办法入睡，没有电话没办法联系酒店人员，只有自己出去说，很不方便。', '短评打分': 5}
{'短评内容': '恩，很不错，帮女朋友预定的。。。。他们一家很开心', '短评打分': 5}
{'短评内容': '不错，十天内住了两次，还不错，主要是在城墙边上，交通比较便利，主要是有停车场', '短评打分': 5}
{'短评内容': '交通方便，房间宽敞，但装修味道较浓，无电话，', '短评打分': 5}
{'短评内容': '环境不错，楼下就有公交站，到哪都很方便。牌子上写的是西水快捷宾馆。', '短评打分': 5}
{'短评内容': '服务很不错，酒店居住的环境也很好。房间打扫的特别及时。车站就在楼下，出门特别的方便。', '短评打分': 5}
{'短评内容': '交通很方便，可以听到公交车的报站声~环境不错，服务也很热心', '短评打分': 5}
{'短评内容': '房间干净，门口就有车站，交通便利。很方便！', '短评打分': 3}
{'短评内容': '环境不错，性价比很高，房间干净不吵，就是服务人员有点儿少的感觉，前台太忙，要等好一阵', '短评打分': 5}
{'短评内容': '酒店位置不错，马路边，楼下是公交车站点，离钟楼比较近，打车起步价就差不多了，房间很干净，很新，比想象中的要好很多。', '短评打分': 5}
{'短评内容': '房间还可以,晚上睡觉也很安静,价格便宜,只是位置很偏,深夜一个人走过来有点怕,其他没什么,还有,房间没电话很不方便', '短评打分': 3}
