{'短评内容': '送货上门  又及时，比去超市方便多了， 真是京东的忠实客户！花这么多时间评价有点浪费时间！不评吧强迫症又犯了！不错 蛮干净的', '短评打分': 5}
{'短评内容': '地理位置可以，环境、服务一般。', '短评打分': 5}
{'短评内容': '挺好的东西，很不错，公司使用的！', '短评打分': 5}
{'短评内容': '酒店干净整洁 主要是地理环境优越 去哪里都很方便', '短评打分': 5}
{'短评内容': '很不错，位置很好找，卫生干净值得推荐。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '市中心广场附近，距离繁华事业街非常近，公交地铁都方便，而该店在巷子里，居住十分安静。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '均不错，位置环境都好', '短评打分': 5}
{'短评内容': '总体来说还可以吧，出行很方便，房间再大一些就更好喽！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '这个地方是不错交通方便，地铁交汇处。', '短评打分': 5}
{'短评内容': '就是睡一晚的地方，100多的价格也就这样了', '短评打分': 4}
{'短评内容': '房间干净 交通方便 一楼还有各旅游景点乘车路线提示小条  很方便', '短评打分': 5}
{'短评内容': '不错，住了很多回了。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '我的同事结账时，前台就忘还信用卡了，我结账时，他们也忘了。结果信用卡寄还给我还是到付！', '短评打分': 1}
{'短评内容': '住的家庭房，大床宽1.5m，小床宽1.2m，干净，整洁，保持快捷的一贯特点，就是所在的那条街的名字不是很好找，，当地的出租车竟然都找不到。。。', '短评打分': 5}
{'短评内容': '房间太小了，其他还行吧。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境很好，交通便利，早餐有待提高 总体上还是不错的', '短评打分': 5}
{'短评内容': '处于市中心，交通方便，设施不错，周围有个天主教堂。\n下次去成都还考虑这里。\n', '短评打分': 5}
{'短评内容': '酒店比较干净，服务质量好，位置也不错，旁边有个24小时营业的红旗连锁，方便', '短评打分': 5}
{'短评内容': '环境很好，交通也很方便，房间也很大，晚上睡觉很安静', '短评打分': 5}
{'短评内容': '一般吧，没有什么性价比，汉庭等快捷洒店都一样', '短评打分': 5}
{'短评内容': '汉庭就是汉庭，服务态度不错！离天府广场也近！干净！', '短评打分': 5}
{'短评内容': '以前来住觉得挺好的，这次的房间有点卫生间的异味，希望改进，其他都还好', '短评打分': 5}
{'短评内容': '酒店设施一般，房间不大，但是位于市中心又方便停车这个比较好', '短评打分': 5}
{'短评内容': '以前带孩子出行一般会选择四星到五星级的酒店，觉得安全、舒适。第一次住汉庭是在长沙，一个人，印象很好。这次带孩子到成都，毫不犹豫选择了汉庭，盐市口汉庭还是一样的满意，干净，舒适，安全，便捷，服务态度好，孩子特别喜欢大厅的电脑。强烈推荐。', '短评打分': 5}
{'短评内容': '酒店非常非常好。干净，舒服，位置好。', '短评打分': 3}
{'短评内容': '方便出差，不错的，值得推荐，经济实惠！！！！', '短评打分': 5}
{'短评内容': '方便出差，不错的，值得推荐，经济实惠！！！！1', '短评打分': 5}
{'短评内容': '酒店就在闹市区靠里的小街道里，闹中有静，交通和购物都比较方便', '短评打分': 5}
{'短评内容': '性价不太高，房间霉味很重，厕所下水道味道大，电视机的电流声音也大，晚上也不安静，电梯小，过道小，停车场过夜还要收费，想想真是没一点再来的道理', '短评打分': 1}
{'短评内容': '大床房挺精致。虽然没安逸158大但是比较新，而且很贴心的把网线布在床头。卫生间也很干净还有吹风机，真是细节体现品质！', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '环境好，交通便捷！', '短评打分': 3}
{'短评内容': '第一次入住，感觉不错，性价比很好！服务员很热情，房间很干净，交通也便利，大堂还可以免费上网，真的不错。赞一个！', '短评打分': 5}
{'短评内容': '给朋友一家定的，说还不错哦~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '总体说不错，但是感觉各方面都不如汉庭的人民公园店哦', '短评打分': 1}
{'短评内容': '一家不错的酒店。干净、实用、方便，位置也不错，下次还会住这家酒店！', '短评打分': 5}
{'短评内容': '在正街的巷口，白天也不会吵。有免费的自行车可以租，挺方便的。步行2分钟到天府广场，春熙路1公里，逛着就到了。房间也干净，推荐。', '短评打分': 5}
{'短评内容': '整体看还不错，后面院子的停车场很实用，方便自驾游的人。', '短评打分': 5}
{'短评内容': '很不错，很干净 服务也很好 下次去还住这家 \n推荐给大家咯', '短评打分': 5}
{'短评内容': '我订的是家庭房,除了感觉卫生间小点,其他都不错。', '短评打分': 3}
{'短评内容': '汉庭,一如既往的来.位置处于黄金口岸，离市中心近在咫尺.房间干净卫生。隔音效果不错.', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 3}
{'短评内容': '7月04入住成都汉庭快捷酒店盐市口店酒店环境很好，交通便利，服务佳，家庭房房间宽敞，通风好，入住首选，赞一个！', '短评打分': 3}
{'短评内容': '交通很方便.服务态度也很好。', '短评打分': 3}
{'短评内容': '几乎每次出差都住这里，交通方便，环境还可以！', '短评打分': 5}
{'短评内容': '位置很好的酒店,去哪里都方便.打车到锦里也就十几块钱.', '短评打分': 5}
{'短评内容': '酒店很干净，位置很好，闹中取静。去的时候很晚，已经半夜了，我们定的大床房没有了，给免费升级成家庭房，不知道有什么区别。 总体来说还不错吧，物有所值！', '短评打分': 5}
{'短评内容': '位置好，整体感觉不错。', '短评打分': 3}
{'短评内容': '酒店很新房间也很干净，地理位置也不错，下次来成都可以再入住', '短评打分': 5}
{'短评内容': '房间非常干净，硬设施和软设施都很好，就是网速太慢，总的来说性价比高，下次有机会还会选择它。', '短评打分': 5}
{'短评内容': '好德，干净又好，真好好德，干净又好，真好好德，干净又好，真好好德，干净又好，真好', '短评打分': 5}
{'短评内容': '看了网上的图片，我真的觉得很好。没想到一去我的妈啊，房间太小了。根本不值这个价。第二天我就换房间了。而且前台就一个工作人员，让我等好久', '短评打分': 5}
{'短评内容': '感觉还不错，地理位置也很好 就是早餐不丰富', '短评打分': 5}
{'短评内容': '位置很好，环境标准，下次来还住，推荐出差的朋友住。', '短评打分': 5}
{'短评内容': '性价比一般般', '短评打分': 3}
{'短评内容': '隔音效果很差，电视和房间都很小，前台服务态度太差。', '短评打分': 3}
{'短评内容': '酒店很干净，离市中心步行街很近走路几分钟就到了，价格也公道值得入住', '短评打分': 5}
{'短评内容': '不错,干净,就是房间小.', '短评打分': 3}
{'短评内容': '酒店环境还是挺好的，倒是位置不好找，服务态度挺好的，价格还是挺合适的。', '短评打分': 5}
{'短评内容': '位置很好！靠街有点吵，早餐在地下室，伙食一般      ', '短评打分': 5}
{'短评内容': '酒店的环境还可以，服务也好，就是这店的现在餐厅只有早餐，中餐和晚餐不提供，边上的餐管也少，吃饭不方便。', '短评打分': 5}
{'短评内容': '酒店不错干净整洁价格适中服务也好', '短评打分': 3}
{'短评内容': '干净 整洁 安静 感觉很不错. 但房间太过简洁了 少了点小温馨', '短评打分': 5}
{'短评内容': '酒店地理位置不错！也挺卫生安逸。', '短评打分': 3}
{'短评内容': '新开业没多久的酒店，地理位置非常好，距离天府广场蛮近的，走路5分钟就能到地铁口，交通很方便', '短评打分': 5}
{'短评内容': '很不错的一家快捷酒店，各方面都还不错，房间装修的很好，比较新，卫生干净，服务比较一般，其他方面都还好', '短评打分': 3}
{'短评内容': '酒店位置不错，在市中心周边出行很方便，房间硬件齐全，卫生很好，酒店外面有个很大的停车场，停车特别的方便', '短评打分': 5}
{'短评内容': '服务周到，位置很好，酒店里面卫生条件也不错，干净整洁，住宿环境很好', '短评打分': 5}
{'短评内容': '酒店地处市中心，购物。去步行街，或者去小吃街都很方便，房间装修的很到位，也很新，隔音做的很不错，房间舒适度很好', '短评打分': 5}
{'短评内容': '酒店装修的比较现代化，卫生条件很好干净整洁，服务很到位，对我们都很友善，住宿条件蛮不错的', '短评打分': 5}
