{'短评内容': '整个维也纳200多间房，临街的房子太吵了，一宿没睡', '短评打分': 3}
{'短评内容': '干净卫生，交通方便', '短评打分': 5}
{'短评内容': '酒店距离阳朔车站很近，走路十分钟，距离西街、印象都不远，完全可以走路过去玩。房间干净，早餐很好，前台接待很热情。楼下有桂林米粉、啤酒鱼，有特色很好吃，出差旅游方便之选！', '短评打分': 5}
{'短评内容': '呵呵呵呵好好好好好好好好', '短评打分': 5}
{'短评内容': '呵呵红红火火哈哈哈好好好的', '短评打分': 5}
{'短评内容': '房间，环境都不错', '短评打分': 5}
{'短评内容': '干净整洁舒适，下次继续订', '短评打分': 5}
{'短评内容': '很好很便捷的酒店，附近的機能真的不錯，酒店的設施少了一點......', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店位置很好，交通方便，我原定的是豪华间，给我免费升到商务大床间，前台接待员服务态度热情、周到，体现良好的职业素养。给酒店赞一个', '短评打分': 5}
{'短评内容': '环境好，设施好', '短评打分': 5}
{'短评内容': '不过不失！性价比还可以！', '短评打分': 4}
{'短评内容': '酒店好大，很干净，特别是床很软，像陷下去一样，真的很舒服', '短评打分': 5}
{'短评内容': '环境很不错，点赞', '短评打分': 5}
{'短评内容': '环境好，服务好，干净，肃静，真好，只是订过才知道，美团比携程便宜！也算不错吧，推荐！', '短评打分': 5}
{'短评内容': '第一天住了一晚退房了，因某种原因第二天又返回住宿，还是给升级了商务房，这次的房间就没有洗手池下水的问题了，看来第一天的房子只是各例。总之这家酒店非常不错，性价比非常的高，下次有机会来阳朔还选择这里！', '短评打分': 5}
{'短评内容': '酒店离西街较远，但也远离了嘈杂，外部环境门口紧邻的大排档有点脏乱，附近餐饮很多，离汽车南站非常近，自助游去十里画廊和兴坪坐车非常方便，入住给升级了商务房，有台电脑，房间够大，装修很显档次，中央空调很暖和，大堂也很气派，早餐也还不错，够四星吧，只是所住房间洗手池可能是堵了下水很慢，其他都还好', '短评打分': 5}
