{'短评内容': '酒店房间很精致', '短评打分': 5}
{'短评内容': '前台很不错，早上11点办入住的时候本来只想寄存一下行李，前台小哥突然告诉我尽量帮我协调一个房间让我先住进去……惊喜！！！其他服务人员就差一些了', '短评打分': 5}
{'短评内容': '这次酒店安排的很好，江景房真心不错！', '短评打分': 5}
{'短评内容': '这个服务，环境，很好', '短评打分': 5}
{'短评内容': '超级美呀', '短评打分': 5}
{'短评内容': '自助的早餐一般、零点的早餐非常好、尤其是煎蛋加牛肉非常棒', '短评打分': 5}
{'短评内容': '灵动的空间可以让您在繁忙旅途中尊享一处悠闲静息之所。', '短评打分': 5}
{'短评内容': '赫卡里联该好好过。fhjjj刚回家呢，', '短评打分': 5}
{'短评内容': '绝对的好，无论是位置、服务还是硬件，值得选择', '短评打分': 5}
{'短评内容': '非常好，下次还再来', '短评打分': 5}
{'短评内容': '酒店位置好，房间装修一般。', '短评打分': 5}
{'短评内容': '酒店非常好 服务环境都不错', '短评打分': 5}
{'短评内容': '享外滩独一无二的地理优势，酒店建筑、内部设施都不错，服务就配不上奢华酒店的称号了', '短评打分': 4}
{'短评内容': '酒店出门就是外滩，散步，逛街都很方便！就是早餐品种略少', '短评打分': 5}
{'短评内容': 'Absolutely fantastic experience. It is located right on the bund. Despite the posh neighborhood, we could still access the local eatery easily. The colleagues offered great service.', '短评打分': 5}
{'短评内容': '交通便利，星级酒店一分钱一分货！', '短评打分': 5}
{'短评内容': '房间蛮好的', '短评打分': 5}
{'短评内容': '咖啡机坏了，速度来换一个，环境不错，风景也很好', '短评打分': 5}
{'短评内容': '很满意，十分满意，下次还是会选择入住此酒店，但是需要提前定，应该提前预定此酒店比当天入住价格便宜很多。', '短评打分': 5}
{'短评内容': '好，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '对房间的床品，卫生间的设施展都非常满意。但SPA不到位，没五星的标准。', '短评打分': 4}
{'短评内容': '服务非常差！没住过五星级那么差的！', '短评打分': 1}
{'短评内容': '设备奢华，服务一流，对得起这个价格', '短评打分': 5}
{'短评内容': '房间位置超好，\u3000补过价格也有点贵贵', '短评打分': 5}
{'短评内容': '非常好！除了价格哈哈，硬件和软件都做得很好。特别喜欢感应自动座便器。非常不错！', '短评打分': 5}
{'短评内容': '如果你不是很在意价格，我极力推荐！你会感受到真正的享受生活\n', '短评打分': 5}
{'短评内容': 'Great hotel all the way around!!! Loved it!', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '挺好的，酒店服务非常好！之前搞错了时间，后经过酒店协商给换了，很好，服务很好，以后还会选择。', '短评打分': 5}
{'短评内容': '非常不错，店内服务设施到位，地理位置交通方便。下次还会去', '短评打分': 5}
{'短评内容': '地理位置好  服务一流  出门就是外滩喜欢哦', '短评打分': 5}
{'短评内容': '酒店非常華麗,員工服務質素非常好.房子又大又寬敞,', '短评打分': 5}
{'短评内容': '奢华典雅 地理位置好 很喜欢 下次再入住哦', '短评打分': 5}
{'短评内容': '外滩2号，在于她的建筑——上海滩第一幢钢筋混凝土结构大楼，非常的美，这些古老的建筑构成了上海独特的风情啊~有种老美特有的风情。干湿区分明，无论是商务办公，还是休息放松都考虑的周到细致,卫浴间内有单独的地暖，可以让奥普浴霸这种东西无地自容了。 镜面电视被嵌在浴室的大块玻璃中，俨然拍电视剧的FU，哈哈哈~\n', '短评打分': 5}
{'短评内容': '给朋友订的这家酒店，结果朋友们都非常满意！下次一定会亲自入住感受！', '短评打分': 5}
{'短评内容': '酒店硬件豪华,服务也很好,就是房间里还有装修的味道.', '短评打分': 5}
{'短评内容': ' 服务是一流的，环境也是一流的。上海酒店首选华尔道夫。', '短评打分': 5}
{'短评内容': '有点粗糙的酒店，硬件不错，软件就差一些了，床单上居然有洗衣粉！！！比同等价位的半岛差的太远了！！', '短评打分': 1}
{'短评内容': '还可以...................................', '短评打分': 5}
{'短评内容': '酒店很新，服务很好。。。地点也在外滩，，，晚上下去走走很舒服', '短评打分': 5}
{'短评内容': '房间装修环境都是非常好，服务态度也很周到，酒店位置是很好的，价格也是比较合理，性价比还是不错的。', '短评打分': 5}
{'短评内容': '很喜欢', '短评打分': 3}
