{'短评内容': '无早，', '短评打分': 4}
{'短评内容': '房间很干净，隔音很好', '短评打分': 5}
{'短评内容': '还可以吧 哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 4}
{'短评内容': '还行，感觉不错', '短评打分': 5}
{'短评内容': '不能加床，没有停车场，带上孩子的话空间有点小。', '短评打分': 3}
{'短评内容': '嗯挺好的，房子很干净，不错', '短评打分': 5}
{'短评内容': '热水都放不出来', '短评打分': 5}
{'短评内容': '重庆到处的酒店问问题也好还是推荐也好，服务都非常好', '短评打分': 5}
{'短评内容': '必须给5分', '短评打分': 5}
{'短评内容': '朋友住的很好，酒店很有特色，很温馨，性价比很不错，值得推荐。', '短评打分': 5}
{'短评内容': '非常好，网速快，服务好，房间干净无味。', '短评打分': 5}
{'短评内容': '还可以吧。电视不行。', '短评打分': 5}
{'短评内容': '不写可以不', '短评打分': 5}
{'短评内容': '还不错，，，，，，，，，，，，', '短评打分': 4}
{'短评内容': '干净卫生，光线不好，房间偏小，比较安静', '短评打分': 3}
{'短评内容': '干净卫生，房间不大，光线不好，但比较安静', '短评打分': 3}
