{'短评内容': '破旧  差  脏  无线连不上  ', '短评打分': 1}
{'短评内容': '房间比其他7天小好多，卫生感觉不是很干净，还好有停车场，基本都是内窗……', '短评打分': 3}
{'短评内容': '很好，住的很舒服，酒店很干净，赞一个', '短评打分': 5}
{'短评内容': '哦哦哦噢噢噢哦哦噢噢噢哦哦哦哦墨墨哦哦哦噢哦哦哦噢噢噢哦哦噢噢噢哦哦哦哦墨墨哦哦哦噢哦哦哦噢噢噢哦哦噢噢噢哦哦哦哦墨墨哦哦哦噢', '短评打分': 5}
{'短评内容': '哦哦哦噢噢噢哦哦噢噢噢哦哦哦哦墨墨哦哦哦噢哦哦哦噢噢噢哦哦噢噢噢哦哦哦哦墨墨哦哦哦噢哦哦哦噢噢噢哦哦噢噢噢哦哦哦哦墨墨哦哦哦噢', '短评打分': 5}
{'短评内容': '位置非常好找，', '短评打分': 5}
{'短评内容': '装修一般，好在价格便宜。', '短评打分': 5}
{'短评内容': '第一次来住，感觉还是非常的好的，很满意', '短评打分': 5}
{'短评内容': '给亲戚住，感觉都换可以', '短评打分': 5}
{'短评内容': '附近有很多小吃店，还不错！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '选择的是自主房，价格及设施方面还算中肯。如果价格还可以再优惠的话，或许更很受欢迎。', '短评打分': 5}
{'短评内容': '感觉还可以，环境挺干净的，网速也很快，只不过美中不足的是传统大床给的洗漱品太少了，只给了一个牙刷和牙膏', '短评打分': 5}
{'短评内容': '前台服务很好', '短评打分': 4}
{'短评内容': '一般环境', '短评打分': 5}
{'短评内容': '7天也就这样了，还行吧', '短评打分': 4}
