{'短评内容': '差！！服务差！！环境差！', '短评打分': 1}
{'短评内容': '很不错的酒店看样子好高档，嗯还是喜欢京东', '短评打分': 5}
{'短评内容': '还不错，&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '不错，很高大上档次，性价比非常高，和维也纳差不多', '短评打分': 5}
{'短评内容': '很大很舒服', '短评打分': 5}
{'短评内容': '没吃早餐，停车场位置很紧张。', '短评打分': 4}
{'短评内容': '奖什么??', '短评打分': 3}
{'短评内容': '房間大，电視小，', '短评打分': 5}
{'短评内容': '離地鐵站有點距離，一公里左右，坐地鐵的話不上不下。附近吃的不算多。房間挺大，有自助洗衣房。自帶酒樓的點心還可以', '短评打分': 4}
{'短评内容': '还可以，就是马路太近了', '短评打分': 5}
{'短评内容': '卫生好上深圳就去他家住', '短评打分': 5}
{'短评内容': '环境好值得去住', '短评打分': 5}
{'短评内容': '环境不错  服务也不错', '短评打分': 5}
{'短评内容': '还不错！值得推荐', '短评打分': 5}
{'短评内容': '房间比较大，离布吉地铁站也不是很远', '短评打分': 5}
{'短评内容': '不错比较满意', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '房间宽敞明亮，出行便利靠近地铁站，吃饭方便。', '短评打分': 5}
{'短评内容': '说点还有待改进的吧。\n1.本人订的是大床房。结果变成双床房。不知道是本人操作过快，还是其它。\n2.入住很方便，但还是给交了400压金（当然压金会退，但还是不需要再交为好）。因是信用住，这个还是可以改进的。\n3.酒店方便没有能提供一次性的刮胡刀，这次是住2天，要是住上5天以上，胡子那得多长，要是能提供一次性刮胡刀会更满意。', '短评打分': 5}
{'短评内容': '环境很好。。。', '短评打分': 5}
{'短评内容': '之前都是住豪华单人房，这次预订的豪华客房不仅沙发大，还带浴缸。但就是淋浴要站在浴缸上，没有单独的淋浴，不太方便。', '短评打分': 5}
{'短评内容': '好酒店，吃住方便，坐车方便，房间大环境舒适。', '短评打分': 5}
{'短评内容': '环境很好，工作人员服务也很好，面带微笑，真心话。', '短评打分': 5}
{'短评内容': '很好用很好用很好用很好用', '短评打分': 5}
{'短评内容': '一如既往的好，每月去深圳必住酒店。', '短评打分': 5}
{'短评内容': '好好好好好，太好了不错，好好好好，不过来晚车位不够，赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '房间面积大，好评。房间面积大，好评。房间面积大，好评。服务态度也很好。。。唯一早餐稍显单一。总体性价比高。。。', '短评打分': 5}
{'短评内容': '下次还会来', '短评打分': 5}
{'短评内容': '服务态度不好', '短评打分': 1}
{'短评内容': '相当给力不错', '短评打分': 5}
{'短评内容': '服务有待改善', '短评打分': 4}
{'短评内容': '房间比较大，设施还算不错，性价比高', '短评打分': 4}
{'短评内容': '挺大的有点旧，吃饭方便但是路段容易塞车，还行吧', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还不错，周围也就这家看起来好', '短评打分': 5}
{'短评内容': '不错，交通方便，酒店档次高，最主要的是价格很便宜', '短评打分': 5}
{'短评内容': '不错，交通方便，酒店档次高，最主要的是价格很便宜', '短评打分': 5}
{'短评内容': '挺不错的酒店 ，位置距离地铁站很近，酒店环境也干净宽敞，值得下次继续入住', '短评打分': 5}
{'短评内容': '布吉性价比较高的酒店。就是前台服务员态度不好。经理比较好。', '短评打分': 3}
