{'短评内容': '早餐丰富，周围比较安静，卫生做的还不错……', '短评打分': 5}
{'短评内容': '停车场在酒店前后，公共的', '短评打分': 3}
{'短评内容': '还凑合吧，屋子显得有点脏', '短评打分': 4}
{'短评内容': '房间很大，这个价格还有电脑，很好，服务态度挺好，很有耐心跟我解释携程预付和现付订单，很周到。位置也挺好找，环境，卫生，硬件设施都不错。附近有超市，有吃饭的地方，就是在朝阳的房间，临近路，有点吵#u14#u17', '短评打分': 5}
{'短评内容': '房间很大，这个价格还有电脑，很好，服务态度挺好，很有耐心跟我解释携程预付和现付订单，很周到。位置也挺好找，环境，卫生，硬件设施都不错。附近有超市，有吃饭的地方，就是在朝阳的房间，临近路，有点吵#u14#u17', '短评打分': 5}
{'短评内容': '厕所没有吹风机', '短评打分': 4}
{'短评内容': '常来常住，很好的，以后还来', '短评打分': 5}
{'短评内容': '接着住在这里', '短评打分': 5}
{'短评内容': '常来的，环境好，住着舒心', '短评打分': 5}
{'短评内容': '非常好，性价比超级值。。下次去，还会住那，这次是第二次住这里了。早点做的也好吃，附近有个东北饭馆的肉做的真好吃。嘿', '短评打分': 5}
{'短评内容': '一般，在小区附近，离镇上有点路，玩什么的不怎么方便！', '短评打分': 3}
{'短评内容': '非常好，没意见，早餐做的也好，前台和阿姨也很好，赞', '短评打分': 5}
{'短评内容': '不错，房间挺干净的，价格便宜，屋子也大，还有前台那个服务员也很热心', '短评打分': 5}
{'短评内容': '不止一次住了。房间大卫生好，安静。很不错', '短评打分': 5}
