{'短评内容': '电梯内卫生环境很差，有点像香港重庆大厦，来往的人很杂！', '短评打分': 3}
{'短评内容': '电梯内卫生环境很差，有点像香港重庆大厦，来往的人很杂！', '短评打分': 3}
{'短评内容': '好好好。。。。。。。。。', '短评打分': 5}
{'短评内容': '价格老便宜', '短评打分': 4}
{'短评内容': '老板热情', '短评打分': 5}
{'短评内容': '房间是很大，但是满是一层灰，杯子脏的不行。这次携程订酒店体验糟糕透了', '短评打分': 1}
{'短评内容': '环境真是差，价格比到地方贵了好多，而且比别家差了好多', '短评打分': 3}
{'短评内容': '为了座去北京机场大巴而选择。房间按价格来考虑的话也就这个程度了吧，简陋。床单枕套应该都是清洗过了的。毛巾有黄斑就没敢用。拖鞋自己带的。也就睡一觉的程度吧。但是大楼的环境真的差，过道石砖都晃，挺让人不安的。', '短评打分': 3}
{'短评内容': '感觉不错。下回还会入住！', '短评打分': 3}
{'短评内容': '南京路边上   电梯人太多，房间挺大，公寓式的  没有浴巾 没有衣架', '短评打分': 5}
{'短评内容': '位置优越，价格合理。但不能刷卡。购物方便。总体上还不错。', '短评打分': 5}
{'短评内容': '楼层较高。可以俯瞰周围。屋子里面也还可以，住在里面比较安静。但是小区不是很好，比较乱的感觉。感觉不是灰常干净', '短评打分': 1}
{'短评内容': '我爸妈去的，他们说不好，服务态度也差，不像个酒店的样子', '短评打分': 1}
{'短评内容': '男老板的服务态度好，公寓地处市中心，位于五大道，房间比较大，有电视、空调、洗浴室、独立卫生间、无线网络等，附近吃饭比较方便。\n不足之处：1、大厦电梯破旧，使用过程令人忧心；2、诚基中心大厦卫生条件不好；3、诚基中心大厦住宿人群较杂。', '短评打分': 1}
{'短评内容': '位置不错，房间设施一般，但作为公寓还算过得去。', '短评打分': 5}
{'短评内容': '酒店服务态度很好，但是房间感觉有点老旧，小问题还是有的。', '短评打分': 3}
{'短评内容': '这里不错哦。地处31楼，天津一览无余啊。服务员很热情，尤其是及阿姨。如果房间里再有电话和送餐服务就更好了。下次来天津继续住这里吧。呵呵。', '短评打分': 5}
{'短评内容': '网速很差，床铺不干净，唯一的卖点也就是地处市中心了', '短评打分': 1}
{'短评内容': '非常差！！！跟当地居民混住，环境脏乱，厨房有蟑螂，厕所反味，根本没有服务意识，房间不太干净，床也很硬，客厅没有窗户，特别的不满意！！！开发票还要我承担税费，严重怀疑是否有营业资格，千万憋住！', '短评打分': 1}
{'短评内容': '房子不错,就是少了冰箱跟洗衣机', '短评打分': 3}
{'短评内容': '  公寓环境尚可，交通方便，就是退房时，找不到人，浪费我好长时间。', '短评打分': 3}
{'短评内容': '房间还是挺干净的，说的有洗衣机、冰箱但是没有，空调不是很冷', '短评打分': 3}
{'短评内容': '住在30楼的豪华一居室，觉得特别好，房间大，窗外风景真好，特别是晚上，整个第五大道附近的灯光景色宜人，阴天的晚上还能看到远处天边划过的闪电，真赞！老板、工作人员的态度也非常好，清洁也做得到位，值得推荐！', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '房间很大，干净又舒服。服务又很好。酒店又靠近步行街。从酒店高楼可以看到城市的风景。吃和交通很方便。', '短评打分': 5}
{'短评内容': '酒店是还不错啦!不过是适合长住一段时间!房间很干净.', '短评打分': 3}
