{'descr': '特别好ᕕ(ᐛ)ᕗ', 'star': 5}
{'descr': '总体一般，不过这个价格可以了', 'star': 4}
{'descr': '总体还好，这个价格也就这样', 'star': 4}
{'descr': '位置方便，服务热情，环境很好', 'star': 5}
{'descr': '酒店位置好！', 'star': 5}
{'descr': '去同仁医院看病很方便，卫生，服务很好', 'star': 5}
{'descr': '性价比很高', 'star': 4}
{'descr': 'good', 'star': 5}
{'descr': '还不错离办事的地方比较近   ', 'star': 5}
{'descr': '还不错   价格实惠  有早餐  交通方便', 'star': 5}
{'descr': '我就进去了五分钟 后来有事情退房了没有住还是扣了我房费', 'star': 3}
{'descr': '很一般', 'star': 3}
{'descr': '一般般', 'star': 3}
{'descr': '吃饭挺好，硬件确实老了', 'star': 4}
{'descr': '从网上预定的时候说好的130多但是到了之后就立马涨了30多…… 这是个诚信问题。以后不会在订了。', 'star': 3}
{'descr': '房间味道很大 房间味道很大 房间味道很大 仅此理由就足矣。', 'star': 3}
{'descr': '可以。。', 'star': 5}
{'descr': '还不错，就是喷头水小', 'star': 3}
{'descr': '干净卫生，环境差点，有时过火车，价位公道！', 'star': 3}
{'descr': '不错、就是洗澡下水有点慢。其它都挺好的。', 'star': 5}
{'descr': '干净卫生，服务员态度很好，网速一般也就1M,下次考虑入住', 'star': 5}
{'descr': '酒店的地方略偏，周围生活设施不太齐全\n大概是因为这家酒店比较久的缘故吧，东西都太旧', 'star': 1}
{'descr': '房间结构较差，其余OK，价格还挺公道的，早餐很好吃', 'star': 5}
{'descr': '很正规的酒店，应有的东西都有，不过卫生情况一般', 'star': 5}
{'descr': '服务员的服务态度挺好的，要比河北路的那个好多了，客房服务也很积极，不用主动打电话，客房服务员就会打电话问用不用做卫生，换毛巾···', 'star': 5}
{'descr': '＋酒店卫生不错，很干净，床挺舒服，要的阳面房间，挺安静的，就是卫生间太小了，地点有点偏，但离金街、去机场大巴站都不远。下次还要住。', 'star': 3}
{'descr': '干净卫生便宜,一个字好下次一定还会入住,速孩子都说好', 'star': 5}
{'descr': ' 酒店还算干净，建议入住，特价房屋子比较小，由于没窗户所以屋里比较暗，总体还是不错的', 'star': 3}
{'descr': '感觉很温馨', 'star': 3}
{'descr': '总体来说环境还是挺好的，就是电视闪得太厉害，厕所一直反味儿。希望能改进下', 'star': 3}
{'descr': '退房时；前台称枕套有染发剂的颜色；说要每个扣20元；当时我很诧异。不可能啊；这时候前台工作人员很武断的说“您新染的头发啊”我当时就急了，我说我没有染头；把枕套拿下来我看一下；当工作人员把枕套拿下来后，我一看；我就反问前台工作人员：您看看这像新染上去的吗？再说了，我还没找你们给我换的是枕套是脏的呢？？？这时前台工作人员不说话了！如果我们没有再次确认枕套是否有染发剂，就每个扣20元了，虽然钱不多，但是', 'star': 1}
{'descr': '位置稍微有一点点偏，房间有点小，不过总体来看还算不错。', 'star': 5}
{'descr': '屋里有蚊子', 'star': 3}
{'descr': '强烈推荐这家酒店，除了地理位置偏僻点以外，其他的感觉还是挺舒适的，房间大，床也大很舒服，就是晚上睡觉地时候建议大家关闭窗户，总是过汽车，有点吵', 'star': 5}
{'descr': '干净，整洁，不错的酒店！应该是新装修过，地段也很安静，如果房间是南面，还可以看到海河的景色，很好。值得推荐', 'star': 5}
{'descr': '超值啊', 'star': 3}
{'descr': '酒店新，干净，卫生，只是离商业区不近，适合自驾车', 'star': 5}
{'descr': '很干净服务态度好，解决问题很有诚意', 'star': 3}
{'descr': '＋酒店很好找，而且所有设施都很新，不错哦！！', 'star': 3}
{'descr': '  条件不错，卫生干净，设备齐全。', 'star': 3}
{'descr': '房间很干净，旅馆是新修的。旅馆的一面可以看见海河。只是位置比较偏。门口的公共汽车要等好久。', 'star': 5}
{'descr': '不错~~~！~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~·', 'star': 5}
{'descr': '刚开业的酒店，感觉不错', 'star': 3}
{'descr': '环境不错 不过还是用会员卡便宜环境不错 不过还是用会员卡便宜环境不错 不过还是用会员卡便宜环境不错 不过还是用会员卡便宜环境不错 不过还是用会员卡便宜环境不错 不过还是用会员卡便宜环境不错 不过还是用会员卡便宜环境不错 不过还是用会员卡便宜环境不错 不过还是用会员卡便宜', 'star': 5}
{'descr': '经济实惠。不错！', 'star': 3}
