{'短评内容': '体验感不错', '短评打分': 5}
{'短评内容': '房间难道没有抽纸吗', '短评打分': 4}
{'短评内容': '服务太差太差太差', '短评打分': 2}
{'短评内容': '整体还可以吧', '短评打分': 5}
{'短评内容': '很安静，房间朴素，离地铁很近，方便。', '短评打分': 5}
{'短评内容': '不错，离东南大学很近', '短评打分': 5}
{'短评内容': '房间很好。就是马路边吵了点', '短评打分': 5}
{'短评内容': '还不错，设施稍有些旧，其他还好', '短评打分': 4}
{'短评内容': '今年己入住多次了，交通很方便，酒店附近环境也很美，有时候还可以去鸡鸣寺古代城墙玄武湖转转很近的，最后1⃣️次去发现旁边还有个和平广场，顺道在广场上溜了一圈，广场上的一座三层小石塔是和汪精卫有关系', '短评打分': 4}
{'短评内容': '地铁3号线出口对面就是，南京市政府、鸡鸣寺、玄武湖公园步行10分钟即可到达，东西南大学5、6分钟即可到达，交通很多便利', '短评打分': 4}
{'短评内容': '房间还不错 空调也很暖和 隔音也好 晚上睡得很好', '短评打分': 4}
{'短评内容': '住的房间空调不怎么有用 半夜被冻醒 因为房间靠路边 晚上隔音效果很差 半夜3点被吵醒就再也没睡着', '短评打分': 4}
{'短评内容': '还不错吧 但是第一天住的房间门是坏的 半夜还有猫叫 朋友说都吓死了', '短评打分': 4}
{'短评内容': '酒店比较旧了。服务一般、门口交通十分方便', '短评打分': 4}
{'短评内容': '离东南大学很近，办事情挺方便。门口交通也挺方便。就是有点旧了。', '短评打分': 4}
{'短评内容': '酒店房间隔音不是很好，最近酒店门前在修路，出行不是很方便，不过距离东南大学还是比较近。', '短评打分': 5}
{'短评内容': '去东南大学考雅思住这里比较方便，走路10几分钟就OK了。离地铁也不远。', '短评打分': 5}
{'短评内容': '距离雅思考点很近，服务也不错，卫生状况还有待改进啊', '短评打分': 5}
{'短评内容': '环境不错，离东南大学很近~前台服务有点不耐烦，希望改进啊~~~~~~~', '短评打分': 5}
{'短评内容': ' 还行，相对干净。', '短评打分': 3}
{'短评内容': '酒店设施一般，但是考托福很方便，位置很好。', '短评打分': 5}
{'短评内容': '已入住二次离东大很近方便参加雅思考试', '短评打分': 3}
{'短评内容': '整洁，服务不错，关键是离南京东南大学近，交通也较方便。', '短评打分': 5}
{'短评内容': '还可以，在这住考雅思力东南大学很近，就是老会停电，网以后改进一下！', '短评打分': 5}
{'短评内容': '春节期间入住的酒店，有如家的感觉，很舒适。唯一不足之处是恰逢春节，附近能解决吃的地方偏少，吃饭问题要坐公交车到别处方能解决，好在出门就有很多公交车可以选择，四通八达，很方便。。。。哈哈，也是一种体验吧', '短评打分': 5}
{'短评内容': '交通方便，房间也算宽敞，总体来说性价比都ok', '短评打分': 5}
{'短评内容': '还不错\n因为正赶上地铁施工,而且还临街的关系,晚上有点吵\n房间收拾的很干净\n不足的地方是,每天收拾房间时,没有更换新的茶杯', '短评打分': 5}
{'短评内容': ' 不错 挺干净 就是门口在修路', '短评打分': 3}
{'短评内容': '一侧临街比较吵，另一侧很安静，但是浴室地漏基本不走水。', '短评打分': 1}
{'短评内容': '酒店还算干净/清净,前面的马路在施工-修地铁,因此交通不是很方便.', '短评打分': 1}
{'短评内容': '东南大学文园宾馆很干净，性价比高。', '短评打分': 3}
{'短评内容': '国庆节帮朋友订了4间，干净，整洁，在珠江路地段竞价比蛮高，液晶电视也不错，推荐', '短评打分': 5}
{'短评内容': '酒店很干净整洁，每间房都配了液晶电视，入住的朋友都很满意，下次还来！', '短评打分': 5}
{'短评内容': '位置不错，高铁南京南的话，地铁到鼓楼站，换乘31路至鸡鸣寺站就到门口了。服务也很好，就是临街房间有噪音，不过不是很要紧，乘坐公交非常方便，支持一下！', '短评打分': 5}
{'短评内容': '讲信用、干净、酒店交通很方便，出门就是公交车站，可直接去很多景点，但周围吃的东西不多。', '短评打分': 5}
{'短评内容': '本来感觉还不错，可最郁闷的是，我定的标准间后来又来了个朋友和我们挤一间，又不是加床还要加钱，钱是小事，但感觉挺不爽的···', '短评打分': 5}
{'短评内容': '环境不错，交通也很方便，服务态度很好！', '短评打分': 3}
{'短评内容': '酒店交通方便，到夫子庙湖南路珠江路都有直达车。房间比一般快捷酒店大，国庆也没有提价。打扫的比较干净，我是第二次住了。以后还会来', '短评打分': 3}
{'短评内容': '可以', '短评打分': 3}
