{'短评内容': '一般一般', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还可以还可以还可以', '短评打分': 5}
{'短评内容': '第二次入住，安静安全，很喜欢', '短评打分': 4}
{'短评内容': '这是在小区里的公寓，条件还可以，就是不太好找!', '短评打分': 5}
{'短评内容': '很好的酒店，这个价位也挺值得，附近环境也挺好。', '短评打分': 5}
{'短评内容': '是热水器，水温掉的蛮快。一个人洗完要等四十分钟左右才能另一个人洗。设施陈旧了，比如空调，启动时还会有零星脏东西吹出来。只能说卫生一般般。我个人是不怎么满意卫生的', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '周圍交通 生活機能便利 地鐵口 世紀聯華 24小時全家便利商店 天虹購物中心 皆在步行5-10分鐘距離內 房間乾淨舒適 ', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '独立套一的房型，干净整洁，也很安静，老板人很好，住了两晚，这价格搭配这个环境真的超安逸！！！推荐！', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': 'good。good。good。good。good。good。', '短评打分': 5}
{'短评内容': '非常不错 就是电视机和空调好难开启', '短评打分': 5}
{'短评内容': '酒店不错 有家的感觉 周边的配套设施也很完善', '短评打分': 4}
{'短评内容': '环境还不错，有电磁炉，洗衣机，虽然没有用到。最后解冻信用卡预授权，花了一周多时间。', '短评打分': 4}
{'短评内容': '环境不错 所以地方不怎么好找 但是挺安静的', '短评打分': 5}
{'短评内容': '住的很舒服,这次体验了一下公寓式酒店，感觉很吃惊，装修的很好可以洗衣做饭，房价只要200多，住的很舒服，房间有花茶．梳洗用品．刚开始已为要收水电费，结账时工作人员说短住是不用收的，服务很亲切．谢谢', '短评打分': 5}
{'短评内容': '房间挺干净的，装修标准准四星，老板人不错，就是地方不太好找，赞一个。', '短评打分': 5}
{'短评内容': '很难找，设施不错，但是没有梳洗用品，就是精装修的酒店公寓，适合常驻的人', '短评打分': 1}
{'短评内容': '酒店不错，不过没有配备洗漱用品。可以做饭，但是电磁炉不是很给力。电费是要另计的，空调也是。不过总的来说还算比较值。建议在checkool官网预定，还有券送。', '短评打分': 5}
