{'短评内容': '房间闷，有些味', '短评打分': 4}
{'短评内容': '都还不错  安静   ', '短评打分': 5}
{'短评内容': '环境不错，', '短评打分': 5}
{'短评内容': '不错，离医院很近', '短评打分': 5}
{'短评内容': '房间不错，还比较实惠！', '短评打分': 5}
{'短评内容': '值得推荐 值得信赖 值得拥有服务很好，环境好，值得拥有', '短评打分': 5}
{'短评内容': '值得推荐，值得拥有，值得信赖', '短评打分': 5}
{'短评内容': '设施老化，房间潮湿，房价实惠。', '短评打分': 4}
{'短评内容': '房间设施实在太烂了，空调也不能用，床硬的不行，牙刷不是一般的烂！沐浴露简直就是垃圾产品！没法说了！以后再不去了！', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境略差，地段不错', '短评打分': 4}
{'短评内容': '给朋友订的。说是设施偏旧', '短评打分': 3}
{'短评内容': '酒店环境很好，住的也很舒服', '短评打分': 5}
{'短评内容': '环境很好，交通方便，价格便宜。', '短评打分': 5}
{'短评内容': '装潢比较老了，，但是挺大，，卫生间超大。。', '短评打分': 4}
{'短评内容': '酒店房间还可以，就是没窗，住着很闷，难受，没地方晒衣服，我一天8天，好难受哦，不过服务阿姨很好，很贴心', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '设施比较旧环境一般，车不好打，吃饭不方便，', '短评打分': 1}
{'短评内容': '整体设施比较陈旧，网络是个大问题总是不能正常使用，早餐啥菜没有了服务员就不会再添加了！', '短评打分': 1}
{'短评内容': '价格不贵，环境挺好。值得选择', '短评打分': 3}
{'短评内容': '酒店服务比较好，但网络的地方不太适合，环境马马虎虎，相对周边的已经是可以的了', '短评打分': 5}
{'短评内容': '不错，比较安静，实惠', '短评打分': 3}
{'短评内容': '房间还可以，就是门不好开，卫生间手盆下部有污垢门下部也有污垢。但是，感觉还可以。', '短评打分': 3}
{'短评内容': '房间小、窗户不能开，设备陈旧', '短评打分': 3}
{'短评内容': '＋比较干净，还送水果和饮料，美中不足电视太老旧了', '短评打分': 3}
{'短评内容': '以这个价格来说，住的很舒适，尤其是洗澡很好很好', '短评打分': 5}
{'短评内容': '房间小，设施设备不全，居然没有闭路电视系统（或机顶盒）。夜里室外很吵', '短评打分': 1}
{'短评内容': '房间太小，有些嘈杂，不过吃饭很方便，味道好！', '短评打分': 1}
{'短评内容': '还可以。酒店后面是一条小吃街，打车还算方便。', '短评打分': 5}
{'短评内容': '房间还算干净，更主要的是离我办事的山西中医学院很近，很方便。遗憾的睡过头了，早餐没有吃到，很想吃山西的面食。', '短评打分': 5}
{'短评内容': '酒店干净，服务很好，我们是去理工大学的距离较远，房间规划不太合理', '短评打分': 3}
{'短评内容': '环境可以', '短评打分': 3}
{'短评内容': '酒店设施，服务都不错。洗浴中心十分干净，方便。酒店位置较好，和中医学院很近，餐饮也还方便。', '短评打分': 5}
{'短评内容': '入住还可有免费的洗浴与桑拿，并每天赠送软包装酸奶。离火车票售票点与工行等都较近。就是酒店位置不大好找，建议在酒店说明上标明在山西中医院附属医院北等与地标建筑相距的位置。', '短评打分': 5}
{'短评内容': '单间的房间略小，不过电视电脑一体机的配置倒是不错\n餐厅的川湘菜都比较地道，性价比不错，就是上菜速度比较慢', '短评打分': 5}
{'短评内容': '早餐种类略少，服务员态度不错，周围餐饮店也比较多。\n', '短评打分': 5}
{'短评内容': '交通便利，设施尚可，性价比也不错，餐厅的菜肴味道不错。桑拿与洗浴免费，还送果盘和酸奶。\n不过东侧豪标的书桌处只有一个插座，台灯也是三相插头，接了本本就无法接台灯，房间不小，但是比较曲折，反而不显大。', '短评打分': 5}
{'短评内容': '酒店的服务很不错，房间卫生条件很好，硬件很齐全，房间舒适度还行', '短评打分': 5}
{'短评内容': '卫生条件很好的酒店，周边交通出行挺方便，房间硬件设施齐全，服务很好', '短评打分': 5}
{'短评内容': '硬件设施稍差了些，不过软件服务比较到位.卫生条件很干净，周边交通很便利.', '短评打分': 5}
{'短评内容': '价格合适，不错，值得推荐，其他的没什么好说的，不好不坏吧', '短评打分': 5}
{'短评内容': '酒店地理位置不错，周边出行蛮方便的，边上有个和记面馆，房间硬件设施很齐全，服务很不错，其他都还好', '短评打分': 5}
{'短评内容': '酒店的服务还可以，服务员都很年轻，服务态度热情周到，房间卫生条件很好，卫生间很宽敞，设计很好，格局不错，卫生条件不错，住宿条件很好', '短评打分': 5}
{'短评内容': '酒店家具家电比较老旧了，卫生间也不是很干净，应该休息，这个档次这个价格不值。', '短评打分': 3}
