{'短评内容': '上次也是这个房，灯是坏的，一直没修', '短评打分': 3}
{'短评内容': '没早餐，卫生不错，有停车位', '短评打分': 5}
{'短评内容': '没有wifi,差评', '短评打分': 4}
{'短评内容': '有停车场，没有早餐', '短评打分': 3}
{'短评内容': '可以啊', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '这次住的后面，房间很大，说是装修过，感觉没有什么太大改善，在KTV上面不过不是很吵，房间特别暗，WIFI也不是很好使', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间很大~很安静，停车方便', '短评打分': 3}
{'短评内容': '住的豪华房～还不错～交通也很方便', '短评打分': 3}
{'短评内容': '不错，蛮好的，，，嗯嗯', '短评打分': 3}
{'短评内容': '酒店离车站比较近，但沒甚么設傋，很多地方仍在裝修', '短评打分': 3}
{'短评内容': '位置靠近高度路口，不过环境一般 整体一般吧', '短评打分': 4}
{'短评内容': '优点：卫生条件还不错，酒店内部治安情况也还好。\n缺点：位置较为偏，周围环境较为乱；找吃的需要花费时间，而且周围西餐厅难找。酒店服务不够好，人性化欠缺。', '短评打分': 5}
{'短评内容': '非常非常差！！！劝君勿入住，宾馆都不如！一次入住一辈子也不会再住了，给骗了一次悔啊悔！', '短评打分': 3}
{'短评内容': '环境差，很炒，隔音不佳。', '短评打分': 3}
{'短评内容': '位置还可以，一下高速就能看到这家酒店，外观看起来蛮漂亮的，房间隔音效果很好，比较安静，卫生很一般，住着还算可以', '短评打分': 3}
{'短评内容': '酒店住着还凑合，房间卫生还行，服务一般，一些基础的硬件设施齐全，舒适度凑合', '短评打分': 5}
{'短评内容': '房间硬件设施挺齐全的，就是有些陈旧，这里的服务还行，卫生条件一般，酒店周边靠近公交车站，坐车还算方便', '短评打分': 3}
