{'短评内容': '可以的', '短评打分': 5}
{'短评内容': '隔壁KTV很吵，空调不能制热。', '短评打分': 4}
{'短评内容': '1.早餐6-9点提供，起晚一点都不行，食物非常简单，餐厅很冷。2.周边距离云南省博物馆10分钟路程，距离官渡古镇（很小就像城乡结合部）15分钟路程，其余去景点譬如西山、滇池、讲武堂、民族村都要公交一个多小时以上路程，每天滴滴出行交通费不低，周边没有地铁。3.前台服务态度冰冷，不给两张房卡的原因就是“安全”，结果第三天门卡就刷不开还要再跑下楼消磁，很生气。4.最重要的一点：房间WiFi信号非常差，电', '短评打分': 3}
{'短评内容': '优点吧，性价比高，便宜的价格五星的环境，房间特别大，而且给免费升了个豪标，已经住过好几次了。但这次入住其实还是有点不愉快，电话面板是坏的，不知道按哪个打前台电话，希望尽快修好吧，一点退房比现在很多酒店感觉要早一些，早上起床时候没有热水，咨询了前台说是装修会议室热水停了，有点运气不好吧', '短评打分': 5}
{'短评内容': '干净，卫生，安净。前台服务也很好，值得下次再来。', '短评打分': 5}
{'短评内容': '舒适温馨，超级棒棒哒！！！', '短评打分': 5}
{'短评内容': '迅速，快捷，安全，舒心～～～', '短评打分': 5}
{'短评内容': '环境很好，空气较为清新，适合旅游休息，周边设施完善，有游泳池可以使用，可谓是一举两得，很是值得推荐。', '短评打分': 5}
{'短评内容': '好了！舒适OK', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '环境整洁干净，早餐有待提高。', '短评打分': 5}
{'短评内容': '还行 不错', '短评打分': 5}
{'短评内容': '环境房间都很好，就是不知道为啥我们入住这几天每天都晚上九十点钟开始唱KTV一直唱到半夜十二点以后。好无奈！', '短评打分': 4}
{'短评内容': '比较满意，下次还会住宿，交通方便，早餐不错，比较满意，性价比比较高，回给朋友推荐，然后继续关注该酒店的优惠！', '短评打分': 5}
{'短评内容': '酒店给的房型不是我预定好的房型，多出的差价也不退还，酒店的代理就是骗子', '短评打分': 1}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '环境，卫生都不错，有个空中的自助餐厅，早饭品种也不少。', '短评打分': 5}
{'短评内容': '整体感觉不错', '短评打分': 4}
{'短评内容': '非常完美！比较可以！还不错！', '短评打分': 3}
