{'短评内容': '挺好的干干净净', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '酒店各方面都很好，服务超棒', '短评打分': 5}
{'短评内容': '服务不错，早餐9点就没了，大家注意点', '短评打分': 5}
{'短评内容': '酒店周边环境很好，游玩购物都很方便，离环翠楼和华联购物广场都很近。最主要的是酒店的服务很好，周到细致暖心，早餐花样丰富，是旅游出差的好选择。', '短评打分': 5}
{'短评内容': '还不错还不错还不错还不错还不错还不错还不错还不错', '短评打分': 4}
{'短评内容': '真心不错', '短评打分': 5}
{'短评内容': '续住一天，美女送来不一样的水果和蜂蜜，临时有事要走，酒店也很人性化算半天。退房前台的配合很默契，尽量缩短客人的等待时间，始终礼貌热情，临走还给塞了个苹果，并问是否需要帮忙叫车，这服务没得说！也给大堂副理韦小姐点个赞！下次来威海，就住这！', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 4}
{'短评内容': '不错  服务人员都很有礼貌 尤其大堂接待 餐饮还行', '短评打分': 5}
{'短评内容': '从进门感觉就比较好，入住办理一分钟不到，非常快捷！大堂经理会主动带领客人乘坐电梯，并带到房间门口，不一会还送来银耳汤，热热的，非常暖心，服务不输五星，姑娘好像叫宋志伟。商务房入住时给升级了套房，房间会有水果、酸奶，客房服务人员，还手写了留言，感觉贴心。房间卫生也很好，毛巾浴巾都是独立包起来的；早餐也还丰富，质量不错！今天先续住，下次来，也还选这里。值得推荐！', '短评打分': 5}
{'短评内容': '酒店不错，对的起这个价位，有点旧。', '短评打分': 4}
{'短评内容': 'oK、oK、oK、oK、oK。', '短评打分': 5}
{'短评内容': '0K、OK、oK、OK、OK、', '短评打分': 5}
{'短评内容': '服务特别好，这个特别值得推荐。', '短评打分': 5}
{'短评内容': '哈哈实话实说说生生世世不是不是不是', '短评打分': 5}
