{'短评内容': '一般般，很老旧。', '短评打分': 4}
{'短评内容': '酒店就在岳阳楼景区边上，卫生条件一般，房间很小。', '短评打分': 3}
{'短评内容': '.就在岳阳楼边上，宾馆门厅不大，楼后有一小停车场，迟了就没停车位了，周边购物不方便。', '短评打分': 5}
{'短评内容': '只能说离景区近。', '短评打分': 3}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '宾馆环境一般，服务一般，更有甚者夜里到第二天退房前一直停电，事先没有任何通知，一副好眼镜确定丢在床头柜上的，打电话去问，前台说没看见。另外，宾馆离岳阳楼最近，但走到岳阳楼出口有相当距离。建议想住岳阳楼附近的朋友们，做好订汴河街飞机的宾馆', '短评打分': 3}
{'短评内容': '离岳阳楼很近，如果要去岳阳楼参观，对住宿条件要求不高可以选择，一句话点评这个所谓宾馆实质就是条件一般的私人旅馆。', '短评打分': 3}
{'短评内容': '为了游览方便选择了这家酒店。入住前虽有心理预期，但是入住后除了停车方便以外，真是叫人后悔不迭，房间小到连只登子都放不下！', '短评打分': 3}
{'短评内容': '酒店有点陈旧，室内设施很全，离岳阳楼最近，服务也不错、价格不贵！住的挺舒适。', '短评打分': 4}
{'短评内容': '酒店有点l日，但也过得去，房间也比较大，电视机也不小，液晶的。', '短评打分': 3}
{'短评内容': '还不错，关键是价格实惠，又离景区很近，吃喝玩乐很方便，下次来还会入住，停车也很方便，总体来说还不错啦！', '短评打分': 5}
{'短评内容': '给父母去岳阳玩的时候定的，就图离景点近，出去玩方便', '短评打分': 3}
{'短评内容': '安静，实惠，适合短时间住宿，，最主要就是狠方便，下面有吃有玩的，离岳阳楼超近，那景色超棒的，又有车坐去君山岛，，狠满意！', '短评打分': 4}
{'短评内容': '虽然有点旧，有点简陋，不过环境够安静，离岳阳楼超近的，狠方便', '短评打分': 4}
{'短评内容': '典型的国营酒店，设施有点陈旧，但是没有乱七八糟的电话。酒店大堂右侧有一个麻将室。此酒店空调和门禁系统无联系，我们在楼下办手续的时候，客房服务员就提前把空调打开了，感觉很好。', '短评打分': 5}
{'短评内容': '卫生还可以服务态度不错', '短评打分': 3}
{'短评内容': '   吉伟宾馆房间宽敞，安静，停车方便，适合自驾游，但位置较偏，自己没开车的话乘车不方便。宾馆设施陈旧(据说是要拆除重建)', '短评打分': 3}
{'短评内容': '处在岳阳楼景区位置，离市区较远，办事不方便，酒店也偏破旧', '短评打分': 1}
{'短评内容': '环境一般，大床标间是套间，外间麻将室，里间卧室空间小', '短评打分': 3}
{'短评内容': '酒店地理位置不错，可在房间看见岳阳楼顶部，但酒店太老设备太旧了，卫生条件也不好，房间有很重的烟味。', '短评打分': 1}
{'短评内容': '性价比还行,但设施陈旧,卫生还好,隔壁打麻将有点吵.', '短评打分': 3}
{'短评内容': '位置很好，就在岳阳楼边上，下次去还会考虑入住', '短评打分': 5}
{'短评内容': '离岳阳楼确实很近 从酒店走到最近的夜宵点15分钟足够 酒店老了些，但还可以，价格实在', '短评打分': 5}
