{'短评内容': '都可以', '短评打分': 5}
{'短评内容': '不错我很喜欢', '短评打分': 5}
{'短评内容': '很喜欢还会再来', '短评打分': 5}
{'短评内容': '位置不错 酒店大气 很好', '短评打分': 5}
{'短评内容': '服务好，位置佳，床非常舒服，房间的配置也很全，很方便，也很现代', '短评打分': 5}
{'短评内容': '很实惠 方便 物流很快！', '短评打分': 5}
{'短评内容': '值得信赖的品牌，推荐一下。', '短评打分': 5}
{'短评内容': '不评价是我的温柔', '短评打分': 5}
{'短评内容': '服务真心一般，但是很喜欢他们的卫浴用品。每一次选择入住就是因为rose 31，房间入住舒适，地理位置不错。', '短评打分': 5}
{'短评内容': '每次来都是没干净房间，除非你是三点以后到，我就纳闷了为了等你们的房间我还得提前一天来啊？说是没干净房间你要是不相等可以加钱啊，有干净房间，挺恶心的这么做', '短评打分': 4}
{'短评内容': '很方便', '短评打分': 5}
{'短评内容': '交通方便的酒店，设施也很不错，是商务出差的好住处。还会再次入住。服务很热情，酒店早餐种类很多，方便各种口味的人享用。', '短评打分': 5}
{'短评内容': '这次很好，第一用品重要齐全了，第二免费升级套房', '短评打分': 5}
{'短评内容': '靠近永安里地铁站，闹中取静', '短评打分': 4}
{'短评内容': '帮同事定的，应该还不错', '短评打分': 5}
{'短评内容': '帮同事定的，应该还不错', '短评打分': 5}
{'短评内容': '不说了。。。这价位也就这样了，房间设施太老，没有健身房，服务不错', '短评打分': 4}
{'短评内容': '每次到北京必住!', '短评打分': 5}
{'短评内容': '服务 位置不错', '短评打分': 5}
{'短评内容': '服务不错 室内不错', '短评打分': 5}
{'短评内容': '环境 服务不错', '短评打分': 4}
{'短评内容': '好的服务和房间，位置也方便！推荐！', '短评打分': 5}
{'短评内容': '酒店设施很好, 服务也不错, 符合奢华酒店的标准, 地理位置也很方便.', '短评打分': 5}
{'短评内容': 'very good hotel, with both Chinese and US elements of decaration.\nvery nice and good service as well.', '短评打分': 5}
{'短评内容': '位置比较好，设施也比较好，服务很到位。价格有些高。', '短评打分': 5}
{'短评内容': '那是相当的高级，没问题，推荐，必须推荐～', '短评打分': 5}
{'短评内容': '房间装修卫生感觉还不错，酒店位置有点不太好找，服务态度还是挺好的，价格感觉偏高了感觉和酒店环境有些不匹配。', '短评打分': 3}
{'短评内容': '位置好，距离国贸很近，交通很方便.而且服务人员也很热情，给我印象还不错.', '短评打分': 5}
{'短评内容': '一如既往的好。。。保持fairmont的水准。', '短评打分': 5}
{'短评内容': '酒店客房还不错。因为比较方便就近选择出行就入住了，并且性价比很好，舒适度也很好.', '短评打分': 5}
