{'descr': '窗户坏了没法修，外面人能直接爬进来，十分危险', 'star': 3}
{'descr': '挺好的，很不错', 'star': 5}
{'descr': '环境优美、安静，交通便利，冬天暖气很给力。', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '不错，就是遇到后面建筑', 'star': 5}
{'descr': '服务很好！', 'star': 5}
{'descr': '京东上订房挺方便的，房间整洁干净', 'star': 5}
{'descr': '第一天晚上没有热水，第二天也只是算温乎，结果用着用着又没了。其他的中规中矩，设施差强人意。就是出差图个方便而已。', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '离考试的地方特别的近，真的很不错呢。。然后环境比较干净整洁吧。。不过晚上有点吵，不过有利有弊，毕竟离主干道比较近么，还不错吧！！好评', 'star': 5}
{'descr': '来办事，图近。住着还满意。', 'star': 4}
{'descr': '酒店服务态度好', 'star': 5}
{'descr': '酒店还挺好，离工作的地还挺近', 'star': 5}
{'descr': '市中心主干道旁，交通还挺方便，有公交直达火车站。设施标配，还挺好。', 'star': 5}
{'descr': '服务好，环境好', 'star': 5}
{'descr': '服务好，环境好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '服务不错 客房不错 就是临街开窗户会有点吵 火车站到这方便', 'star': 5}
{'descr': '交通便利，但是房间比较小，根据不是很敞亮', 'star': 5}
{'descr': '网速白天130K 晚上只有30K。如家反正都一样。附带的餐厅一日供应三餐，可挂账。', 'star': 5}
{'descr': '环境好，人性化。不错。', 'star': 3}
{'descr': '环境不错，很干净，值得一来', 'star': 3}
{'descr': ' 位置很好 出行方便 服务人员也很热情~', 'star': 3}
{'descr': '都挺好   就是隔音效果一般  服务态度很好   以后还回来', 'star': 5}
{'descr': '酒店位置不错，离市中心比较近，出行比较方便，价钱也算合理！', 'star': 5}
{'descr': '环境非常不错，干净，非常满意。', 'star': 3}
{'descr': '新店，环境不错，挺干净的。', 'star': 3}
{'descr': '位置不错,酒店也可以,饭菜一般,总体很满意', 'star': 5}
{'descr': '商务大床房靠排烟道太吵窗户密封不太好', 'star': 3}
{'descr': '酒店不错，经济、干净、大力向朋友推荐,要求20字太多了，表达清足唉', 'star': 5}
{'descr': '感觉不错，就是大床房有点小。', 'star': 3}
{'descr': '总体感觉很好，就是好像宽带的使用需要自己带电脑，所以希望酒店能配置一台电脑打发无聊的时光。', 'star': 5}
{'descr': '我们是考研学生，要求不高，房间挺大，挺干净的，紧临裕华路，交通超级方便。从这里到考点走路也就十来分钟。但是前台有个男服务员，服务差！', 'star': 3}
{'descr': '要不是时间太紧，我不会选择去那儿住，但是没办法，只能选择去那儿。', 'star': 1}
{'descr': '性价比还是挺高的，位置不错，就是服务员的态度有点不怎么样', 'star': 5}
{'descr': '环境挺好服务也不错', 'star': 3}
{'descr': '环境真的很不错，物有所值！', 'star': 3}
{'descr': '新店有些味道\r\n崔建武', 'star': 3}
{'descr': '这个酒店不错，比较干净、舒适、明亮，价格也便宜，比较适合居住', 'star': 5}
{'descr': '有点味，其他还好', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '不错，换碰见一个结婚的，就是餐厅的地方有点别扭', 'star': 5}
{'descr': '酒店环境好，服务周到，餐厅菜样繁多。方便。', 'star': 3}
{'descr': '挺安静，去坐机场大巴还是挺近的，主要是位置不错好打车', 'star': 3}
{'descr': '地理位置很好，酒店的工作人员服务态度很高，住宿也感到很温馨', 'star': 5}
{'descr': '在科技大厦对面，新开张的酒店~ 没有想象中恐怖的装修气味，非常干净，服务态度也很好！还会再来滴！', 'star': 5}
