{'短评内容': '除了下午没有送机的车，其他的都特别好！！', '短评打分': 5}
{'短评内容': '朋友介绍的这个酒店，早餐种类比较少，其他的都很好。', '短评打分': 5}
{'短评内容': '住过几次了，感觉整体还行，房间也很大，有接机师傅。', '短评打分': 5}
{'短评内容': '还不错，有接送', '短评打分': 5}
{'短评内容': '酒店服务很好，有免费接送机，只是下午没有送机，如果下午也可以就更好了。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '性价比高，有接送机，下次会再选择', '短评打分': 4}
{'短评内容': '服务环境还好，房间设备太差。', '短评打分': 3}
{'短评内容': '环境不错，有车送机，不错', '短评打分': 5}
{'短评内容': '很好，前台很漂亮', '短评打分': 5}
{'短评内容': '房屋舒适度杠杠的，服务态度很好，希望加油。', '短评打分': 5}
{'短评内容': '很整洁的酒店，恰好遇上店庆，很是优惠；门口停有一辆老款劳斯莱斯，店内的梅花鹿也很有特点。', '短评打分': 5}
{'短评内容': '酒店还可以，就是地点有点不方便，如以为离地铁很近，但是找不到行人路过去，要打车的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好～～～～～～～～～～～～～～～～～～好～～～～～～～～～～～～～～～～～～好～～～～～～～～～～～～～～～～～～好～～～～～～～～～～～～～～～～～～好～～～～～～～～～～～～～～～～～～', '短评打分': 4}
{'短评内容': '好～～～～～～～～～～～～～～～～～～好～～～～～～～～～～～～～～～～～～好～～～～～～～～～～～～～～～～～～好～～～～～～～～～～～～～～～～～～好～～～～～～～～～～～～～～～～～～好～～～～～～～～～～～～～～～～～～', '短评打分': 4}
{'短评内容': '好。。。。。。。。。。。。。。。。。。。。。。。。好。。。。。。。。。。。。。。。。。。。。。。。。好。。。。。。。。。。。。。。。。。。。。。。。。好。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '好。好。。。。。。。。。。。。。。好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。好。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '房子够大，就是不知什么设备在运行，太吵了', '短评打分': 3}
{'短评内容': '酒店的位置很好，如果不是因为深圳新航站楼启用的话位置就更好了，不过好在酒店有接送班车，也挺方便的，我是晚上11点多到达的，出机场已经12点多了，打了个电话给酒店，15分钟接我的班车就到了，由于是在深夜，车上也就我一个乘客，酒店照接不误，给个赞！', '短评打分': 5}
{'短评内容': '从机场到酒店很近，就是交通不是很方便....', '短评打分': 5}
{'短评内容': '不错～很安静', '短评打分': 5}
{'短评内容': 'Room was huge and spacious.  They have few power receptacles where they are actually useful, and they are already occupied, so you either need a power strip to plug-in all of your travel electronics, ', '短评打分': 4}
