{'短评内容': '除了没窗户，挺好的不贵', '短评打分': 3}
{'短评内容': '还将就吧，这个价位也就那样！', '短评打分': 3}
{'短评内容': '房间挺大的，还不错，有空调，电视，生活用品几乎都有，美中不足的是没有吹风机，希望店家改进啦，总体还是不错的', '短评打分': 3}
{'短评内容': '楼下有网吧，不够安静，其它还不错。', '短评打分': 5}
{'短评内容': '很好 很方便 不错！！', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '性价比比较高', '短评打分': 4}
{'短评内容': '酒店挺实惠，但是服务态度特别差，完全不承认订单，吵吵半天给安排了一个打不开窗户的房间，与效果图差别很大，卫生不好，地上很脏，床还行，马桶坏了，有点儿漏水，总之并不愉快。不推荐入住。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '总体来说还是可以的，就是里面的灯坏了，服务态度也不行，刚过来说是一百四十八，第二次就要168', '短评打分': 3}
{'短评内容': '太一般了.地板是瓷砖的，冬天显得很冷，里面设施非常简陋。不推荐。', '短评打分': 1}
{'短评内容': '属于中下类酒店.设施比较简陋,卫生条件不怎么样,我预定了,好像没有特地预留房间,感觉是挤出一间房间给我.不怎么满意哦!', '短评打分': 1}
{'短评内容': '  感觉还不错，简单经济', '短评打分': 3}
{'短评内容': '这家酒店的位置还不错，就是临街噪音太大，一夜几乎没睡，下次不会再住这家了。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '不错,感觉不低于3星.\n值得推荐,各位旅友可以试试.\n旁边有很多小吃店,交通,餐饮均比较方便.\n物美价廉,房间大,安静.\n总之,真的物超所值.', '短评打分': 5}
{'短评内容': '酒店本身的设施还比较新，挺好的，就是服务上还有待提高。第一，去往交通手段没有很好的说明。明明有公交线路的，却说只有出租车。第二，网页上写明了付送早餐的，等到早晨询问时却说没有的。\n所以，如果不嫌弃稍微远一些的话，趁着现在刚开业一年设施还新的时候住住是可以的。', '短评打分': 5}
{'短评内容': '宾馆卫生干净，房间比较宽敞，，，，停车方便~！', '短评打分': 5}
{'短评内容': '干净整洁，交通方便！', '短评打分': 3}
{'短评内容': '比想象中的满意，价格还不贵，性价比相当高，只是空调制冷效果不太好。', '短评打分': 5}
{'短评内容': '比较实惠。整体还不错，适合普通出差的人事，还有早餐', '短评打分': 5}
{'短评内容': '这个宾馆真的不怎么样，居然还说是挂牌三星的，别骗了。最可气的是不能刷卡，郁闷透顶', '短评打分': 3}
{'短评内容': '环境还可以', '短评打分': 3}
{'短评内容': '酒店条件非常好，住着非常舒服。唯一缺点是离机场比想象的远，打的需要半个小时左右，早晨打的也不是特别方便。但总体是来看还是不错的，给个好评吧O(∩_∩)O~', '短评打分': 5}
{'短评内容': '酒店还不错，房间装修环境还都是挺好的，就是隔音效果不好特别吵，价格的话还算合适，位置也不难找。', '短评打分': 3}
{'短评内容': '房间硬件设施很新，服务到位，空间也蛮大的，住宿条件不错', '短评打分': 5}
{'短评内容': '环境不错，蛮安静的，这里的服务很到位，性价比高，房间舒适度不错', '短评打分': 5}
{'短评内容': '房间装修还不错，位置倒是挺好找的，价格和服务态度都还行能够接受。', '短评打分': 5}
{'短评内容': '很安静  买东西非常方便 不过离市区很远 要做好久的地铁', '短评打分': 5}
{'短评内容': '  环境挺好', '短评打分': 3}
{'短评内容': '房间还可以，地理位置出行还好离我需要目的地还是比较近的，价格还是比较合理的，服务态度很好。', '短评打分': 5}
{'短评内容': '地处远郊，交通不便；\n设施较新，非常简陋；\n临街房间，晚上很吵；', '短评打分': 1}
{'短评内容': '房间较宽敞干净', '短评打分': 3}
{'短评内容': '不错，价格便宜，也很干净，就是离机场远了点呢', '短评打分': 5}
{'短评内容': '环境不错，挺干净的，隔音不太好，离市区比较远，不过购物还算方便', '短评打分': 5}
{'短评内容': '环境很不错，是我喜欢的类型，服务态度也不错，唯一不好的就是隔音不怎么好，而且外面的大妈叫的声音太响，影响我睡觉…', '短评打分': 3}
{'短评内容': '该酒店开业不久，设施比较简单，但是还比较崭新。\n适合低消费人群来此短住', '短评打分': 5}
