{'短评内容': '整体上感觉还不错！', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '毛巾陈旧、有味，建议立即整改，换新毛巾！房间隔音一般般，优点是附近交通不错，临近地铁站，出行较方便！有早歺还可以！', '短评打分': 5}
{'短评内容': '房间卫生不错服务很好', '短评打分': 5}
{'短评内容': '早餐还可以', '短评打分': 5}
{'短评内容': '要中毒的', '短评打分': 2}
{'短评内容': '不错的地方，环境非常不错。值得推荐', '短评打分': 5}
{'短评内容': '值得你去住，经济实惠！环境极好！', '短评打分': 5}
{'短评内容': '行程有变，没住，进行退款了。', '短评打分': 5}
{'短评内容': '还可以 定错了 酒店给改了入住日期', '短评打分': 5}
{'短评内容': '棒棒哒的！下次继续啦', '短评打分': 5}
{'短评内容': '消费京东商城数年，深知各产品琳琅满目。然，唯此宝物与众皆不同，为出淤泥之清莲。使吾为之动容，心驰神往，以至茶饭不思，寝食难安，辗转反侧无法忘怀。于是乎紧衣缩食，凑齐银两，倾吾之所有而能买。东哥之热心、快递员之殷切，无不让人感激涕零，可谓迅雷不及掩耳盗铃儿响叮当仁不让世界充满爱。待打开包裹之时，顿时金光四射，屋内升起七彩祥云，处处皆是祥和之气。吾惊讶之余甚是欣喜若狂，呜呼哀哉！此宝乃是天上物，人间又得几回求！遂沐浴更衣，焚香祷告后与人共赏此宝。人皆赞叹不已，故生此宝物款型及做工，超高性价比之慨，且赞吾独具慧眼与时尚品位。产品介绍果然句句实言，毫无夸大欺瞒之嫌。实乃大家之风范，忠义之商贾。', '短评打分': 5}
{'短评内容': 'beiorzsyunvekoump5sepeiminge', '短评打分': 5}
{'短评内容': '...................', '短评打分': 5}
{'短评内容': '服务态度很好，环境很好，中间房子就是噪音大不隔音', '短评打分': 5}
{'短评内容': '这个酒店距离出差的公司很近，价格呢也相对便宜，说是4星级别的酒店，入住感觉也还好，之后有机会还会预定', '短评打分': 4}
{'短评内容': '呃，北京的机场都好贵，这个酒店一般吧房间特别黑', '短评打分': 4}
{'短评内容': '哈哈哈哈 毛巾上面有毛 简直好脏的酒店', '短评打分': 3}
{'短评内容': '不错，周边配套很方便', '短评打分': 5}
{'短评内容': '地理位置不错，服务很好，就是洁具清洁度有待进一步提高！', '短评打分': 4}
{'短评内容': '蛮有情调～', '短评打分': 5}
{'短评内容': '房间比较小，但还干净  房间比较小，但还干净  房间比较小，但还干净 房间比较小，但还干净 房间比较小，但还干净', '短评打分': 4}
{'短评内容': '風格主題間房型很小，不適合商務旅行。浴室空間也很小，無法好好享受淋浴。地毯不乾淨，看起來像是不常吸。櫃台服務很不錯，詢問都會熱心回答。對面有個頤堤港商場很方便。但商務出差很容易會改變行程，可是Ctrip無法讓用戶改變訂單，導致提前一天結束行程也無法退費，日後商務出差不太會再考慮使用Ctrip。', '短评打分': 3}
