{'短评内容': '很干净的，设施老了点', '短评打分': 5}
{'短评内容': '环境好，离伏羲庙近', '短评打分': 5}
{'短评内容': '早餐家常饭尚可，停车方便，酒店位置可以。', '短评打分': 4}
{'短评内容': '离伏羲庙很近，酒店很大，四星级的，下次还来住这里', '短评打分': 5}
{'短评内容': '酒店看起来很大气，老牌酒店，位置比较好，靠近伏羲庙，十字路口。门口有十几个停车位是免费的，如果没有位置就停后面的华天电子公司内，一晚10元。酒店的设施有点旧了，但是设备比较齐全，房间干净，卫生条件很好。入住感觉好。', '短评打分': 5}
{'短评内容': '房间电视太小了  卫生一般 设施一般', '短评打分': 4}
{'短评内容': '很舒适，经济划算，交通方便', '短评打分': 5}
{'短评内容': '酒店位置挺好，离伏羲庙很近，周围吃饭的地方多。周围车位紧张，住宿的可以停在华天工厂里面，10元。酒店房间干净，有赠送矿泉水，床偏软，睡得舒服。我们住的是不靠马路靠工厂的一边，早上七点准时大喇叭放中央台新闻和广播体操起床号。很多很多年没有听到这样的声音了，还是当年在部队军训会这样。', '短评打分': 5}
{'短评内容': '酒店位置较好，周边交通很方便，到天水主要景点伏羲庙和玉泉观很方便，酒店很新，房间宽敞明亮，总体感觉不错，浴室比较大，窗外视野开阔，酒店闹中取静，而且有超市，生活方便。周围靠近华天办公地点和住宅楼，环境不杂。酒店早餐一般和四星级标准有差距，停车在后边的华天集团院里，停车场很大也很安全，不足的是不能从酒店大堂直接到停车场，得从外边大街绕一圈。', '短评打分': 4}
{'短评内容': '酒店位置较好，周边交通很方便，到天水主要景点伏羲庙和玉泉观很方便，酒店很新，房间宽敞明亮，总体感觉不错，浴室比较大，窗外视野开阔，酒店闹中取静，而且有超市，生活方便。周围靠近华天办公地点和住宅楼，环境不杂。酒店早餐一般和四星级标准有差距，停车在后边的华天集团院里，停车场很大也很安全，不足的是不能从酒店大堂直接到停车场，得从外边大街绕一圈。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很满意 一贯的选择', '短评打分': 5}
{'短评内容': 'wIFI不行，周边一般，其他还可以。', '短评打分': 4}
{'短评内容': '房间经常满客', '短评打分': 5}
{'短评内容': '离伏羲庙很近，走路5分钟就能到，酒店装修有些陈旧，床有些不舒服，热水不够热。', '短评打分': 3}
{'短评内容': '停车方便，离伏羲庙近', '短评打分': 3}
{'短评内容': '非常完美，不错的选择。房间很大', '短评打分': 3}
{'短评内容': '嗯，其实就是三星级水平，可能天水也没太好的酒店！', '短评打分': 5}
{'短评内容': '在当地是个不错的选择，设施还可以，服务也不错，位置很好，周边较好玩。', '短评打分': 5}
{'短评内容': '酒店应该算新，但房间内的地毯已经比较脏了，早餐实在是无话可说了，比快捷酒店还差，而且无法做信用卡预售权', '短评打分': 1}
{'短评内容': '今年国庆节我们是自驾车从额济纳返回途中为了去麦积山在天水停留。从网上选择的这家酒店，因为是今年才装修开业，结果也确实是不错，房间宽大设施还算舒适，早餐也还丰富，从性价比来讲算是较合适的。但美中不足的是我们住的房间淋浴房的花洒混水出了问题凉水水量很大一到热水水量就极小，旅途劳顿一天洗个冷水浴，可想很让人心里不快！细节决定成败刚开业宾馆设备的维护和质量不可小视！', '短评打分': 3}
{'短评内容': '房间位置离市区要走20分钟的路程，整体还是不错，但是晚上睡觉能听到马路上的车声。', '短评打分': 5}
{'短评内容': '好！价格200以内就更好！', '短评打分': 5}
{'短评内容': '+硬件很不错，服务也不错，早餐好吃，中秋还送了月饼。', '短评打分': 5}
