{'descr': '房间大，干净，位置好', 'star': 5}
{'descr': '喝多了 订的房间  感觉没多少 半夜到的     主要没窗户这点很别扭    不知道到底是几点     ', 'star': 3}
{'descr': '喝多了晚上来住的   没啥感觉  就是没窗户这点不喜欢', 'star': 4}
{'descr': '就那么回事。不出差是不会住在这里的', 'star': 3}
{'descr': '越来越差劲了，电视效果简直次到不行，房间无线不稳定。早餐没有什么东西。要不是出差，真不会来这入住', 'star': 3}
{'descr': '酒店提示牌显示，停业装修，怎么页面可以接受预定？我去店一片狼藉…………', 'star': 1}
{'descr': '一般吧，，，，，，，，。', 'star': 3}
{'descr': '环境很好，很干净', 'star': 5}
{'descr': '床单房间结构不科学', 'star': 3}
{'descr': '快捷酒店比较方便，出差常住。。', 'star': 4}
{'descr': '很好，有家的感觉，强烈推荐大家。', 'star': 5}
{'descr': '环境不错，就是可惜没有数字电视', 'star': 3}
{'descr': '很不错的一次旅行，下次还会来', 'star': 3}
{'descr': '很不错的一次旅行，下次还回来', 'star': 3}
{'descr': '酒店很不错，位于中心区域，干净整洁！最好的要算餐厅的大姐了，早上的一句你好让人心情好一天，赞一个！', 'star': 5}
{'descr': '价格较合理，酒店位置不错，离万达广场很近，吃饭在开发区饭店也多。', 'star': 3}
{'descr': '就是龙塔附近，出行还是比较方便，酒店内部设施还是不错的，性比价合适。', 'star': 5}
{'descr': '还不错，挺干净，就是各种不隔音。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '环境不错值得推荐，餐饮便利，交通方便，周边设施齐全', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '住宿很好，环境也不错，服务态度还行，可能只是某个服务员没什么笑容，脸色不怎么好看，难道是因为晚上入住的？', 'star': 5}
{'descr': '地理位置好,酒店干净整洁, 性价比较高~~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '酒店地理位置好，房间内卫生和整体布置还不错，只是被品差了点。', 'star': 1}
{'descr': '只能说是一般！都5.6月份了，还告诉没有空调，问什么时候能开，回答是哈尔滨洽谈会的时候，你们酒店是为洽谈会开的吗？？？？？？？？？？？？？？？？？', 'star': 1}
{'descr': '设施不错', 'star': 3}
{'descr': '哈尔滨龙塔速8酒店 垃圾酒店！不行！下次不会考虑的！', 'star': 5}
{'descr': '哈尔滨龙塔速8酒店，价格高了！条件一般！', 'star': 1}
{'descr': '房间太小了,不厚道!', 'star': 3}
{'descr': '酒店位置很好，闹中取静，室内有地暖，但早餐一般。', 'star': 5}
{'descr': '位置方便,周边设施全.卫生不错,服务一般.早餐地点有点小,东西也不太好.', 'star': 5}
{'descr': '很不错的服务质量!我想下回自己还会入住!前台接待的服务人员有些少!', 'star': 5}
{'descr': '位置还可以，价格服务都还不错，酒店的环境是挺好的，挺不错的。', 'star': 5}
{'descr': '房间设施有点旧，服务一般，附近有购物的大商场，挺适合出差的。', 'star': 5}
{'descr': '硬件还算齐全，性价比一般，卫生还不错。', 'star': 5}
{'descr': '酒店卫生不错，出行很方便，步行可以到达龙塔。', 'star': 5}
{'descr': '酒店隔音效果好，晚上很好入睡，附近有很多小吃，味道不错！', 'star': 5}
{'descr': '房间卫生挺干净的，服务员对我们也挺热情的，总体不错。', 'star': 5}
{'descr': '酒店有中央空调，房间温度也可以自己调节，不错，隔音效果也很好。', 'star': 5}
{'descr': '这家速8位置一般，但是配置硬件设施都很好。性价比也很合理。', 'star': 5}
{'descr': '这家速8位置一般，但是配置硬件设施都很好。性价比也很合理。', 'star': 5}
{'descr': '服务员很热情，感觉很亲切。环境设施也都很不错。', 'star': 5}
{'descr': '服务员很热情，感觉很亲切。环境设施也都很不错。', 'star': 5}
{'descr': '酒店装修不错，房间每天都会打扫，很干净，前台服务也很好，不错。', 'star': 5}
{'descr': '酒店装修不错，房间每天都会打扫，很干净，前台服务也很好，不错。', 'star': 5}
{'descr': '地处繁华的位置，服务人员很热情，房间的摆设有家的感觉。', 'star': 5}
{'descr': '地处繁华的位置，服务人员很热情，房间的摆设有家的感觉。', 'star': 5}
{'descr': '房间挺宽敞的，设施配置硬件齐全。', 'star': 5}
{'descr': '服务比较周到，价格要略高.隔音效果不好.去展会很方便，周边购物还可以.', 'star': 5}
{'descr': '房间挺宽敞的，设施配置硬件齐全。', 'star': 5}
{'descr': '服务比较周到，价格要略高.隔音效果不好.去展会很方便，周边购物还可以.', 'star': 5}
{'descr': '地毯脏，床不平，价格高', 'star': 1}
{'descr': '地毯脏，床不平，价格高', 'star': 1}
{'descr': '位置不错，靠近高尔夫球场和高档住宅区，晚上很安静。走路5分钟就能到万达广场，有大润发超市、万千百货、快餐、各种娱乐设施齐备。临近美食街，各种档次均有，爽！就是房间小了点，洗澡的花洒出水太细，洗得不是很舒服，其他都好。', 'star': 5}
{'descr': '位置不错，靠近高尔夫球场和高档住宅区，晚上很安静。走路5分钟就能到万达广场，有大润发超市、万千百货、快餐、各种娱乐设施齐备。临近美食街，各种档次均有，爽！就是房间小了点，洗澡的花洒出水太细，洗得不是很舒服，其他都好。', 'star': 5}
