{'短评内容': '空调不制冷 还不如开窗户', '短评打分': 3}
{'短评内容': '不舒服，环境卫生太差，客房里面的台面和阳台的桌子凳子都是厚厚一层灰，房间有异味，不值这个价钱', '短评打分': 1}
{'短评内容': '朋友推荐的特不错的很棒特不错的很棒特不错的很棒特不错的很棒特不错的很棒特不错的很棒特不错的很棒', '短评打分': 5}
{'短评内容': '很棒环境很好特不错的很棒特不错的很棒特不错的很棒特不错的很棒特不错的很棒特不错的很棒特不错的很棒', '短评打分': 5}
{'短评内容': '特不错的很棒特不错的很棒特不错的很棒特不错的很棒特不错的很棒特不错的很棒特不错的很棒特不错的很棒特不错的很棒', '短评打分': 5}
{'短评内容': '客栈在告庄里面还是挺方便，只是隔壁有个酒吧太吵，房间太小太小，两个大人加一个两岁小孩差点挤炸，卫生倒是挺干净的，一楼的院子也舒服。', '短评打分': 4}
{'短评内容': '干净，实惠', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 4}
{'短评内容': '位置好找就在入口右边，环境好有个很有特色的院子，房间每个房间都有阳台，餐厅出门就是夜市，态度好干净卫生，强烈推荐！', '短评打分': 5}
{'短评内容': '客栈服务好得没话说，环境也不错，出差或是游玩，是个很不错的选择，舒适干净卫生，服务也好，是个不错的选择！', '短评打分': 5}
{'短评内容': '客栈很有特色，位置也不错，周围很多特色小吃，晚上的夜市也是个不错的选择，简直是吃货的天堂。老板人很多，热情贴心，有机会还来住这里！', '短评打分': 5}
{'短评内容': '酒店地处一个民族村，不过基本就是政府规划特设那种，民族类装修风格。不过酒店隔壁是酒吧，很吵，而且窗户就是很老式的推拉式，插销锁，楼下阿姨扫地都一清二楚，根本睡不着。房间小，造价也不低，这个价格在当地可以有很多选择，而且寨子里饮食很贵，20元的菠萝饭要35，我以后不会再来！', '短评打分': 3}
{'短评内容': '下次还来，值得选择一家', '短评打分': 3}
{'短评内容': '很不错，干净，方便', '短评打分': 5}
{'短评内容': '还不错的酒店，性价比很高！', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '优点：设施新没有气味，环境安静，景色很好，推开窗子能看见泛起晨雾的远山。临近一个即将竣工的大塔，夜间灯光布景迷人。服务到位，每天还送一份小果盘。楼中间一个天井，有水井、流水、摇座、古筝一些田园风格的设施，同时经营茶庄来的，至少意境比较搭，没有生硬的感觉。价格适中，价格比金地大酒店便宜一半，感觉还要好很多。\r\n缺点：离市中心有点远。周边配套还在修建，相信建好以后会更好。如果还有机会去版纳，还会去那里', '短评打分': 5}
