{'短评内容': '酒店位置好', '短评打分': 5}
{'短评内容': '床比较低，没有有限电视，门缝比较大，晚上透光太严重。看其他房间会不会好点。别的各方面都不错。', '短评打分': 5}
{'短评内容': '早餐怎么样', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '有停车场。 清洁阿姨很轻切 前台服务态度很好就是隔音不怎么样 。被子睡了皮肤会痒！卫生方面还需加强退房方便快捷…', '短评打分': 5}
{'短评内容': '地点不错，算市区中心，房间干净整洁，设施齐全。', '短评打分': 4}
{'短评内容': '地点不错，房间干净整洁，设施基本齐全。', '短评打分': 4}
{'短评内容': '402厕所抽风机的声音跟发动机一样，吵的要死，我还以为是楼上的，然后洗手盆那下水道那条管子借口那也是坏的，洗脸盆的水多的话就会把它冲掉下来，房间还算大，隔音一般，厕所纸巾太少，就半捆都没，除了位置还行。', '短评打分': 3}
{'短评内容': '环境很好。服务态度很不错。。。。', '短评打分': 5}
{'短评内容': '房间宽敞，位置也还不错', '短评打分': 5}
{'短评内容': '房间宽敞，位置也还不错', '短评打分': 5}
{'短评内容': '总体环境不错，特别早餐很好的', '短评打分': 5}
{'短评内容': '好地方', '短评打分': 5}
{'短评内容': '房間舒适，服務周到，卫生满意，个性化服務体现，周边旅遊景點介紹较为细心，服務员微笑服務另人倍感舒心，赞！', '短评打分': 5}
{'短评内容': '服务态度好！尤其是餐厅服务员，服务态度好，饭菜做得好！', '短评打分': 5}
{'短评内容': '就是菜市场旁边，有点嘈杂！但是也算方便！其他反正就是连锁酒店中规中矩', '短评打分': 4}
{'短评内容': '每次到潮州都会住这里，周边吃的很多，交通挺方便的', '短评打分': 4}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '一个不错的酒店。', '短评打分': 5}
{'短评内容': '地段很不错，楼下很多夜宵，帮棒哒！', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '淋浴房超大。只配有洗手液和三合一洗发水加浴液，幸好随身带着香皂和洗发水。', '短评打分': 5}
{'短评内容': '市中心，很新很干净，里面一排房间很安静，朝大街那边可能会有点吵。比较牛b的是在里面有免费封闭管理的停车场！', '短评打分': 5}
