{'短评内容': '还不错 环境可以的', '短评打分': 5}
{'短评内容': '总体软件服务水平能跟上就好了。前台入住在玩手机。打电话有气无力。', '短评打分': 4}
{'短评内容': '周边比较荒凉……里面还可以吧 内部宿舍也齐全。有麻将桌子。就是软件有点问题。第一天定了D区别墅，第二天定的是E区。要搬的早上几件衣服忘记带走了。晚上洗完澡要穿的时候才发现。然后打电话去客房部。说服务员下班了，要等第二天上班了再问。不是应该发现客人物品主动交接吗，客人不问就不说了吗？如果是贵重物品是不是也等没人要了收下？衣服只是睡衣根本不值钱。要不要也无所谓。重要的的是态度。', '短评打分': 4}
{'短评内容': '公司旅游，订的别墅，别墅挺大，适合一群朋友一起，早餐一般，介绍上写着有垂钓实际上没有，评价里说可以别墅里烧烤，实际也不行，有点小失望，活动太少了', '短评打分': 4}
{'短评内容': '环境非常好，旁边就是湖，适合度假', '短评打分': 5}
{'短评内容': '这家酒店的价格和硬件其实啊可以超三星的，不过住了以后发现问题太多，热水供应不稳定，晚上有时只有温水。酒店内到处都是随处吸烟的人，连走廊里都长期有浓重的烟味。前台接待服务态度随意，类似以前的招待所那种模式。有的房间异声较大，无法入睡，比如8317房，投诉无用，说是热水器只能深夜换房。反正下次我是不会入住滴！', '短评打分': 2}
{'短评内容': '还算可以的', '短评打分': 5}
{'短评内容': '地方很安静 ', '短评打分': 5}
{'短评内容': '不错 ，非常满意。', '短评打分': 5}
{'短评内容': '不错。非常满意。', '短评打分': 5}
{'短评内容': '度假村环境还是很幽静的…适合家人聚会…别墅还可以BBQ…晚上还有烟火…', '短评打分': 4}
{'短评内容': '安静 吃喝玩乐 设施齐全 就是有点小远', '短评打分': 4}
{'短评内容': '适合朋友出游，服务再好一点就更完美了！', '短评打分': 5}
{'短评内容': '去的时候因为路不熟，开错了一点，进去的道路不大好走，出口在维修，车辆通行很麻烦，但是进去以后就好了，环境不错，服务也很好，房间干净，空调强劲，住着很舒服，', '短评打分': 5}
{'短评内容': '性价比还可以，朋友聚会可以勉强凑合，卫生有待改进，特别是早餐餐厅的地毯实在不敢恭维，应该要换洗了！早餐一般。整体感觉在卫生环境方面不够档次，还需要提高', '短评打分': 4}
{'短评内容': '   酒店房间面积相当可以，房间内整体布置还是比较让人满意，想打牌的在房间内就可以了，不用另外在订棋牌间了.', '短评打分': 4}
