{'短评内容': '环境非常不错,服务也很到位,在当地算很有档次的酒店了。', '短评打分': 5}
{'短评内容': '酒店位子不错', '短评打分': 3}
{'短评内容': '去曲靖可能是最好的选择了。酒店大楼算是曲靖的地标，内部设施也不错。满对得起这个价格。服务人员很热情，早餐也还可以，地处讪中心位置，交通很方便。', '短评打分': 5}
{'短评内容': '位于市中心，购物交通方便，服务，卫生都好。', '短评打分': 3}
{'短评内容': '前台服务好，快捷，宾馆位置很好，交通、购物方便，免费电话和宽带也为客人提供了方便。', '短评打分': 3}
{'短评内容': '卫生，服务好，位置好，交通方便。房间宽带线位置不好，找不到，找到又不好使，线不够长，信号时有时无。', '短评打分': 3}
{'短评内容': '前台服快捷，房间卫生好，饭店位置不错，购物、吃饭方便。我住的房间卫生间太小。', '短评打分': 3}
{'短评内容': '什么酒店吗，晚上特服电话打不完，完全就是卖淫场所。这些地方居然能这么嚣张，在重庆的话，老王早把你灭了。', '短评打分': 1}
{'短评内容': '没有暖风，内在硬件有点不值这个价哦', '短评打分': 3}
{'短评内容': '地理位置优越，周边购物吃饭十分便利，酒店设施也很好。在当地属于较好的选择', '短评打分': 5}
{'短评内容': '酒店性价比较高，酒店设施齐全，每天都有水果赠送，免费得早餐品种较多，只是设施有些陈旧，停车不太方便。', '短评打分': 5}
{'短评内容': '服务员的服务水平有待提高。房间里是有些陈旧，但是还算好啦。早餐可以，隔音尚可。交通很方便，市中心。对面就是沃尔玛和必胜客。', '短评打分': 5}
{'短评内容': '地处闹市，可惜晚上玻璃不太隔音，有些吵闹', '短评打分': 5}
{'短评内容': '天气降温，空调没有热风，房间冷。服务好，卫生都好。', '短评打分': 3}
{'短评内容': '卫生，环境都好，免费电话方便。晚上房间温度偏低，要是提供暖风就好了。', '短评打分': 3}
{'短评内容': '房间整洁，位置好，交通、购物、餐饮都很方便，前台服务好。', '短评打分': 3}
{'短评内容': '环境不错，服务好，交通便利。虽然在市中心，一点都不吵闹。', '短评打分': 5}
{'短评内容': '性价比很不错的酒店，酒店设施很齐全，还有吹风，只是卫生间有些陈旧，每天有水果赠送！还有免费得早餐。如果装修能更新下会更好！ \n', '短评打分': 5}
{'短评内容': '不错。推荐。', '短评打分': 3}
{'短评内容': '房间很好，饭店位置好，下次还会入住。', '短评打分': 3}
{'短评内容': '房间还行，晚上还有水果跟豆浆送', '短评打分': 3}
{'短评内容': '酒店偏老，而且服务态度很差，酒店大门还没有我家的门大，有点上当的感觉。\n并且特色服务真的太猖狂了，电话响个不停，什么江湖呀！', '短评打分': 1}
{'短评内容': '酒店位置很不错， 周围有较多的餐饮店。 房内设施有点陈旧，酒店每天还会送豆浆和水果。', '短评打分': 5}
{'短评内容': '性价比高，老酒店，但是房间比较大，早餐也还好', '短评打分': 5}
{'短评内容': '价格太高，环境和实施都很陈旧，同等价位的其他酒店比这舒适多了，坑人', '短评打分': 1}
{'短评内容': '地利位置好，房间整洁，早餐不错，还会再来', '短评打分': 3}
{'短评内容': ' 金麟饭店还是挺好住，就是房间不太通风，比较闷一点', '短评打分': 3}
{'短评内容': '各方面都不错，地理位置、停车、服务、等等，如果装修能及时再翻新下，会更棒', '短评打分': 5}
{'短评内容': '很周到，谢谢！', '短评打分': 3}
{'短评内容': '非常好。', '短评打分': 3}
{'短评内容': '已经入住，感觉还行', '短评打分': 3}
{'短评内容': '总体来说不错，但是因为两点我不会推荐（1.房间隔音太差2.晚上骚扰电话太多，说了不需要还是会不断打电话，最晚可能凌晨一点左右还会打来，不得已只能拔了电话线）', '短评打分': 1}
{'短评内容': '已经入住，感觉还可以', '短评打分': 3}
{'短评内容': '才一进房间的时候，又闷又热\n隔音效果也不好\n其他还不错', '短评打分': 5}
{'短评内容': '喜欢这里的单间.比较舒适.但是早餐的品种和质量就有点次了.希望能改进.', '短评打分': 5}
{'短评内容': '曲靖金麟饭店位置不错，房间舒适度也可以，就是晚上骚扰电话太多，房间隔音差一些！！！', '短评打分': 5}
{'短评内容': '位置不错，房间舒适度也可以，就是晚上骚扰电话太多，房间隔音差一些！！！', '短评打分': 5}
{'短评内容': '多次入住。最喜欢单间。有床头大镜子。空间感好。', '短评打分': 3}
{'短评内容': '房间不错,位置也可以,但似乎房价贵了点.', '短评打分': 5}
{'短评内容': '还不错。交通很方便。周围美食多', '短评打分': 5}
{'短评内容': '酒店大堂的服务真是不敢恭维，房间倒是干净，明亮。总而言之还可以，毕竟和发达地区星级酒店是不好比较的。', '短评打分': 5}
{'短评内容': '今天前台接待新来的实习员工像谁欠他的一样,一个男人面无表情,说话有气无力,做事拖拖拉拉,让人看着心里就不舒服.有可能是生病,但是生病就可以以这种态度接待客人?建议酒店不要这种服务意识差的员工.\r\n其他还行.', '短评打分': 5}
{'短评内容': '交通便利，周围繁华，值得推荐', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '作为四星级的酒店，设施还是可以的，但是如果是吃的酒店的话，他们附加的餐饮消费比较多，比如餐巾纸等', '短评打分': 5}
{'短评内容': '这家酒店就很一般了，感觉服务人员办事效率很低，房间里卫生还不错，就是 设施比较陈旧，酒店的位置还可以，出行还是比较便利的，价格方面一般了，感觉性价比不是很高，我是不会推荐的。', '短评打分': 1}
{'短评内容': '位置极佳 设施还可以 基本达到四星级标准 价格一般', '短评打分': 3}
{'短评内容': '性价比高,不错', '短评打分': 5}
{'短评内容': '这家酒店条件都好，只是太吵了，到半夜还被酒店的KTV吵醒，不少房客还大声喧哗。', '短评打分': 5}
{'短评内容': '位置很好，不错的选择。', '短评打分': 5}
{'短评内容': '位置很好，房间隔音很好，早餐不行，床有点硬，大床间面积不大，标间面积大', '短评打分': 5}
{'短评内容': '在曲靖很好的选择', '短评打分': 5}
{'短评内容': '是一家性价比非常高的酒店！地理位置佳，房间大，装修不错，设备齐全。难能可贵的是在闹市居然一点都不吵。是个理想的旅游休闲的好酒店。', '短评打分': 5}
{'短评内容': '酒店设施不错 服务也过得去 上网速度也很快\r\n作为一个准4星来说 算是不错的 \r\n早餐没有去吃 不知道什么情况..', '短评打分': 5}
