{'短评内容': '一直住这家酒店，干净卫生', '短评打分': 5}
{'短评内容': '酒店位置不错，去看演唱会的，离场馆很近，唯一的缺点就是网络太渣。。信号特别差，而且自己的流量信号也超级弱。。', '短评打分': 4}
{'短评内容': '总体来说这个价格已经很不错了', '短评打分': 5}
{'短评内容': '环境不错,面积挺大,设施虽然有些旧了,但洗手间非常整洁,价格很实惠。服务挺好,帮忙把行李送到房间，一路还有简单介绍，常来的，每次都是住在这里，晚上很安静，有度假的感觉。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。 ', '短评打分': 5}
{'短评内容': '一直住这家酒店，很有家的感觉，哈哈', '短评打分': 5}
{'短评内容': '环境不错,面积挺大,设施虽然有些旧了,但洗手间还算整洁,性价比不错。服务挺好,帮忙把行李送到房间，一路还有简单介绍。', '短评打分': 5}
{'短评内容': '一直住这家酒店，干净，会继续选住。', '短评打分': 5}
{'短评内容': '一直住这家酒店，环境稍微旧了点，但是干净，会继续选住。', '短评打分': 5}
{'短评内容': '一直住这家酒店，环境稍微旧了点，但是干净，会继续选住。', '短评打分': 5}
{'短评内容': '一直在京东上订房间，挺好的', '短评打分': 5}
{'短评内容': '一直在京东上订房间，挺好的', '短评打分': 5}
{'短评内容': '一直在京东上订房间，挺好的', '短评打分': 5}
{'短评内容': '一直在京东上订房间，挺好的', '短评打分': 5}
{'短评内容': '一直在京东上订房间，挺好的', '短评打分': 5}
{'短评内容': '一直在京东上订房间，挺好的', '短评打分': 5}
{'短评内容': '为什么要评价之后才消失，京东差评', '短评打分': 1}
{'短评内容': '一直住梦笔酒店，挺好的。', '短评打分': 5}
{'短评内容': '一直住梦笔酒店，挺好的。', '短评打分': 5}
{'短评内容': '交通还算便利，网络不好，其他还行。', '短评打分': 4}
{'短评内容': '一直住这家酒店', '短评打分': 5}
{'短评内容': '一直住这家酒店', '短评打分': 5}
{'短评内容': 'eutggyyg', '短评打分': 5}
{'短评内容': '一直住梦笔酒店，干净', '短评打分': 5}
{'短评内容': '网络不怎么样，其他都还不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '换了个房间 那个床睡的感觉是个歪的', '短评打分': 4}
{'短评内容': '沟沟壑壑改革规划', '短评打分': 5}
{'短评内容': '哈哈哈哈小张', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '酒店干净卫生，不错不错', '短评打分': 4}
{'短评内容': '服务员态度一般般。', '短评打分': 4}
{'短评内容': '一般，比较实惠', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还可以，挺干净的，周围也有吃饭的地方', '短评打分': 3}
{'短评内容': '梦笔还不错，退房的时候还得知刚开业没几个月，装潢蛮新，订的大床房，很干净，床很舒服，浴室蛮亮蛮大，跟老婆睡过头到12点半才下去退房，但是前台还是蛮客气的，也没多收钱，不错的酒店，下次去虹口玩还定这家，离龙之梦步行也才5分钟，很方便，赞一个！', '短评打分': 3}
{'短评内容': '酒店不大，房间也不大，但是蛮新的！ 虹口足球场走10~15分钟左右就到了，早餐是阿姨是帮我们去外面买的，跟想象中有点出入。', '短评打分': 5}
{'短评内容': '很新的酒店，门面不大，也不起眼，进入酒店里面装潢还是很好，很干净，服务态度也很热情，推荐入住。', '短评打分': 5}
{'短评内容': '房间布局不错，浴室也很大，床也蛮舒服，周围环境也很安静，性价比挺高的', '短评打分': 5}
