{'短评内容': '酒店还可以吧。标准的快捷酒店。京东服务很好。', '短评打分': 5}
{'短评内容': '酒店距离世界之窗很近，去玩很方便。跟朋友去深圳旅游，订的这家酒店，干净卫生，服务很好。退房后可以寄存行李', '短评打分': 5}
{'短评内容': '位置比较好，6号楼老人的爬楼梯，预定时有说明就好了。', '短评打分': 5}
{'短评内容': '酒店外面看挺漂亮，就是房间偏小，设施有点旧，最大优点就是离世界之窗近', '短评打分': 4}
{'短评内容': '房间不算大，上午七点多到的。很多人退房了，但前台还是不给办理入住，一直多次要求，在10点钟才予以登记办理入住，放行李。太累了。位置很好，周边环境也漂亮，适合情侣旅游。', '短评打分': 4}
{'短评内容': '为什么没有夜房？', '短评打分': 3}
{'短评内容': '位置挺好的，就是房间里设施比较成旧。', '短评打分': 5}
{'短评内容': '空间小', '短评打分': 2}
{'短评内容': '条件很好，交通十分方便，下次去深圳一定还住这里。', '短评打分': 5}
{'短评内容': '除了房间比较小，别的还可以。', '短评打分': 5}
{'短评内容': '真心不怎么样。。。估计深圳的物价也就只能住这样的房吧。。', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '很好很好，物美价廉，送货速度很快，京东很放心', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '实在太差了，没住过这么差的酒店。房里一张床，走路的地方都没有', '短评打分': 1}
{'短评内容': '还行 性价比高 下楼就是地铁', '短评打分': 5}
{'短评内容': '好，很近很近，很方便。', '短评打分': 5}
{'短评内容': '东西很不错，物流也很快', '短评打分': 5}
{'短评内容': '非常不错的体验。', '短评打分': 5}
{'短评内容': '房间在一楼，对面可能是酒单员工休息室，吵闹得很，还有对讲机的声音，就不能用个耳机吗？床单下能隐约看到毛发，有点恶心！酒店没有吹风机。早上吃早饭服务员态度不怎么好，早餐也没有什么品种和团队餐一样！唯一优点离地铁口和世界之窗很近很近，前台服务员态度很好！', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '离世界之窗特近，酒店位置好。设施旧。', '短评打分': 4}
{'短评内容': '房间干净卫生，就在景区旁边，很方便，装修很有特色！', '短评打分': 5}
{'短评内容': '觉得挺好的，地理位置好，交通方便', '短评打分': 5}
{'短评内容': '不错，和世界之窗紧挨着，对面是商场，游玩购物餐饮都方便', '短评打分': 5}
{'短评内容': '不隔音，晚上很吵！', '短评打分': 4}
{'短评内容': '设施很差劲了！！！房间狭小，床角挂腿！', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很不错的酒店 清洁阿姨的态度非常棒啊！房间环境不错 有小阳台 简直棒棒的', '短评打分': 5}
{'短评内容': '酒店装修还行，不过地理位置还是蛮好的，蛮方便', '短评打分': 4}
{'短评内容': '房间不大，地理位置好。性价比一般。', '短评打分': 4}
{'短评内容': '一般吧，快捷酒店就那样，比较安静！', '短评打分': 4}
{'短评内容': '还不错。就是卫生间发洪水了', '短评打分': 4}
{'短评内容': '酒店很一般，房间小，而且装修也很简单，舒适度很一般。但是位置不错，紧靠地铁。', '短评打分': 3}
