{'短评内容': '很好，很方便。哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '为了凑字数，必须要写50个字才可以得积分。宝宝这么的是觉得打这么多字好累得感觉。但是为了积分没有办法。', '短评打分': 2}
{'短评内容': '酒店环境不错，交通也方便，就是楼下公交站早上有点吵，总体还不错', '短评打分': 5}
{'短评内容': '感觉好像山寨的，卫生也不太好', '短评打分': 3}
{'短评内容': '怎么说呢，私人开的酒店，第一次网上订的时候以为很高大上的酒店呢，结果进去窗帘上有蟑螂一只，心里不是滋味，果断换了一间房，结果第二天一大早停水，洗漱都是问题，被套也是烂的。哎，建议后来人：省钱+出行方便+对卫生要求不高=可以住。其他就算了～', '短评打分': 3}
{'短评内容': '都很一般，只能说黄金周时间里，仅值这个价，如果不是黄金周，不值。   本来黄金周前2星期是在携程定好酒店（前后2家，一家在武汉，另一家在长沙）的，但在黄金周前，为防止万一，打电话到酒店确认，发现全部都不认帐了。 向携程要说法，携程很无耻的说不是他们的责任。我出示了酒店的确认消息，他们不得不认，但是来回折腾N回以后，武汉给调了个差的，钱还没减少，至少我同意了这个安排。长沙那个，让我自己加钱住，说找不', '短评打分': 3}
{'短评内容': '环境太差。设备差', '短评打分': 2}
{'短评内容': '还可以，就是没有早餐。', '短评打分': 4}
{'短评内容': '环境很好，交通也很方便，服务也不错。', '短评打分': 5}
{'短评内容': '不错不错，交通方便，还有早饭', '短评打分': 5}
{'短评内容': '不错不错，交通方便，还有早饭', '短评打分': 5}
{'短评内容': '交通方便。住宿舒适。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '交通便利、卫生不错。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '周边交通方便，小吃较多。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境不错，床大睡得舒服…', '短评打分': 3}
{'短评内容': '价格还好，地理位置也很很。总体还不错，经济实惠', '短评打分': 5}
{'短评内容': '酒店还可以了，就是相对之前的莫泰可能稍微差一点，硬件设施，电视的频道少一点，不够前台的服务特别好，还有免费送两瓶矿泉水这个不错~', '短评打分': 5}
{'短评内容': '环境蛮好，卫生间很大，很干净，服务员服务也好，设施很给力，距离归元寺很近。床单是蓝色的小碎花，很温馨，衣服丢在酒店了，电话通知后很快就发快递发过来，服务态度很好，下次还住这里\n', '短评打分': 5}
{'短评内容': '环境蛮好，卫生间很大，很干净，服务员服务也好，设施很给力，距离归元寺很近。', '短评打分': 5}
{'短评内容': '性价比较高，但打车高峰期较难。放假较小。', '短评打分': 5}
{'短评内容': '房间偏小，但价格实惠。性价比较高。打车高峰期不好打', '短评打分': 5}
{'短评内容': '酒店设备过于陈旧，电视收不到几个台，附近打车不方便', '短评打分': 1}
{'短评内容': '酒店设备过于陈旧，电视收不到几个台，附近打车不方便', '短评打分': 1}
{'短评内容': '酒店设备过于陈旧，电视收不到几个台，附近打车不方便', '短评打分': 1}
{'短评内容': '上楼的时候要上台阶带行李不方便，房间里面装修太一般，窗户外面大约10M就是居民楼，总体感觉一般。', '短评打分': 5}
{'短评内容': '酒店的设施一般，看起来相对旧一些，周边餐饮不多', '短评打分': 5}
{'短评内容': '服务态度很满意。酒店环境还行。设施较齐全。希望能增加wifi', '短评打分': 5}
{'短评内容': '价格比较实惠，房间也很干净，门口就是公交车站。', '短评打分': 5}
{'短评内容': '总体还是不错呢，交通方便，服务态度好，还免费提供两瓶水，值得表扬。有点小遗憾附近吃饭的地方不是很多。', '短评打分': 5}
{'短评内容': '还好，卫生间还算大，房间小，有股味道。但是，但是服务态度好很多很多，热情自然，很喜欢。', '短评打分': 5}
{'短评内容': '挺经济实惠的，交通也挺便利！距离归元寺走路10分钟就到！', '短评打分': 5}
{'短评内容': '房间干净整洁，周边交通方便，有超市有饭店，总之不错！', '短评打分': 5}
{'短评内容': '很好    就是隔音有一点点问题     其他的都特好', '短评打分': 5}
{'短评内容': ' 房间里有异味，房间也比较小。', '短评打分': 3}
{'短评内容': '感觉没有莫泰其他的店好  洗浴物品是拿袋子装的···另外房间也比其他的莫泰要小很多', '短评打分': 5}
{'短评内容': '非常好非常好非常好非常好非常好非常好非常好', '短评打分': 5}
{'短评内容': '房间还可以，就是有点小，靠街边的房有点吵', '短评打分': 5}
{'短评内容': '环境和设施都还不错，唯一的缺点就是靠马路，有点吵', '短评打分': 5}
{'短评内容': '房间里有一股味道··住进去6个小时就退房了··很难闻··希望改进 前台很热情 态度很好 房间不是很隔音·', '短评打分': 1}
{'短评内容': '交通方便', '短评打分': 3}
{'短评内容': '这是我住的最差的莫泰商旅好在价格也是最低的。', '短评打分': 3}
{'短评内容': '房间还可以，价格也挺实惠的，最重要的是前台的服务态度很好，唯一美中不足的是上电梯前要先走半节楼梯，如果是拿了重行李的客人就不方便了。', '短评打分': 5}
