{'短评内容': '位置很好，风景秀丽，远离喧哗！有大型停车场！', '短评打分': 4}
{'短评内容': '设施有点旧，卫生一般，早餐一般，停车方便。', '短评打分': 4}
{'短评内容': '有一个湖，还有自己的一个山谷，挺好的，环境不错，度假村适合开车出游，不然不太方便，环境优雅，里面还能走走，安静，就是设备老了点', '短评打分': 4}
{'短评内容': '东西有点老旧', '短评打分': 3}
{'短评内容': '东西有点老旧', '短评打分': 4}
{'短评内容': '酒店服务态度有点差，位子偏，在山窝窝里', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '早餐很不错，比较角落', '短评打分': 4}
{'短评内容': '环境很不错', '短评打分': 5}
{'短评内容': '中规中矩的标准三星度假村，沉稳大气。铮亮的美标洁具，叠放整齐的浴巾，仿佛时光倒流二十年。虽然有些老旧，收拾得还整洁。宽敞的大院停车方便，后有小山风景秀美。离我们当天出游的十里潜溪和第二天的十九峰都只有十几分钟半小时车程。服务员和前台都很热情。晚餐可以在餐厅解决。虽然只有两人也安排了一个带卫生间的包厢。菜价一般。菜色尚好。早餐中式，也算中上。唯一不足的是可能住的人多，热水有一会儿忽冷忽热，wifi忽', '短评打分': 5}
{'短评内容': '价格优惠，设施陈旧，地段比较偏，打车比较难', '短评打分': 5}
{'短评内容': '别墅有7个房间  可住14人  有2、3个房采光差点  总之环境不错  性价比高 值得推荐', '短评打分': 3}
{'短评内容': '来咯哩咯哦看看咯哦咯了了几个把此事', '短评打分': 3}
{'短评内容': '酒店还不错 就是有点老 开车的话还蛮方便的 走路没车的 就不行 周围没什么车 空气很好', '短评打分': 4}
{'短评内容': '酒店外围环境不错。有山有水，就是内部有待改善，，房间里连瓶水都没有啊，，不用说别的了。。。还是挂牌的3星啊', '短评打分': 3}
{'短评内容': '房间干净在新昌这个小城市已很不错了，出门也方便有几家饭店，推荐大灶头不错。', '短评打分': 5}
{'短评内容': '酒店性价比较高，环境不错！下次推荐朋友再去。', '短评打分': 5}
{'短评内容': '度假村离大佛寺的距离不止网上说的3公里，地理位置较为偏僻，但是空气比较好，适合有车一族，基本上很难自己叫车，让度假村叫车起价30元以上，出行不便，度假村吃饭不是很实惠，一客炒饭38元，还是出去吃比较划算，住进去发现床单上有许多头发，床单明显没有换过就继续给客人住，要求员工更换竟被说成上海人“精明”，我想精明无关乎地域吧，每个城市都有这样的人，更何况更换床单是酒店应尽的义务，为啥那么敌视上海人，我们', '短评打分': 1}
{'短评内容': '地理环境：离开新昌县城在开发区或者中国茶城旁边，在山腿下，进出相对较方便。不建议住新昌城中，车极多，不按次序开车，也极堵，郊区反而通畅，空气也好。高速下来，要绕一下，建议事先看下地图。\n酒店环境：度假村模式，房间很多，还有别墅，适合举办大型会议，去的时候，正好有婚宴举办，房间内部还算干净整洁，三星宾馆标准吧。\n服务：态度可以，餐厅服务员素质相对更好点，领班也不错，\n早餐：一般，没有牛奶，面条粉丝尚', '短评打分': 5}
{'短评内容': '要去住的朋友们，你们在拿到房卡的那一刻一定要仔细再三的检查一遍你们的房卡，像我们到那边晚上十一点半，累都累死了，怎么会想到看房卡，结果就悲剧了，早上退房的时候一交房卡就说，房卡损坏赔偿30.（有点佩服的，拿到手就知道房卡上有条裂缝了，怎么我们就没看到呢）。老实说30块不是拿不出，但是非常不爽，这一条小裂缝是人都看得出不是新的裂口，所以，对这个酒店的印象完全差到极点。。。。再来说说早餐，不知道是入住', '短评打分': 1}
{'短评内容': '酒店在山里，环境挺好，但早餐太差，吃饭也不方便。', '短评打分': 1}
{'短评内容': '酒店在山上，空气好环境好，房间也很干净，自驾游的好去处。', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 3}
{'短评内容': '房间条件还不错，提供的早餐种类比较多，味道也不错的，住着感觉还好.附近有个大佛寺可以去看看.', '短评打分': 5}
{'短评内容': '酒店位置有点偏，去新昌市区有些远，而且周边打车也不是很方便，室内环境非常不错，住着干净舒适.', '短评打分': 3}
{'短评内容': '房间里边舒适度和环境都挺好的，有中央空调.配置不错，而且酒店是属于综合型，住宿及娱乐为一体.', '短评打分': 5}
{'短评内容': '酒店环境不错，而且位置好些比较方便出行，周边交通也很便利.空气也很好.园林设计.', '短评打分': 5}
{'短评内容': '酒店环境不错，周边景色怡人，而且空气也好，在山里的渡假村，不过娱乐设施一样都不少.', '短评打分': 5}
{'短评内容': '位置有点偏了，周边交通出行不是很便利，其它各方面都还不错.', '短评打分': 5}
{'短评内容': '客房整体条件都很不错，主要是位置好，适于渡假，不过周边交通不太方便，在山里的酒店，出行不方便，不过自驾没问题.', '短评打分': 5}
{'短评内容': '配置设施还算不错.就是电视机还是老式的，其它各方面都还可以.', '短评打分': 5}
{'短评内容': '客房服务人员态度很好，很热情而且客房卫生也不错，住着舒适干净.', '短评打分': 5}
{'短评内容': '酒店的娱乐设施挺齐的，而且还有泳池，在这里休闲渡假还是很不错的选择，整体来讲比较好.', '短评打分': 5}
