{'短评内容': '还不错，京东也能订酒店了', '短评打分': 5}
{'短评内容': '性价比较高', '短评打分': 4}
{'短评内容': '靠近西湖和地铁附近，挺方便。', '短评打分': 5}
{'短评内容': '不错，房间稍小，不过寸土寸金的地方，能这样又便宜，满意了', '短评打分': 5}
{'短评内容': '不错。周围很多店铺，去哪里都可以。', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '没有早餐，周围用餐方便，地铁，公交方便，去西湖，火车站方便，点赞，前台接待很好，会推荐朋友来的，隔音效果有点小遗憾，不过睡着了也听不见了。', '短评打分': 5}
{'短评内容': '觉得地方挺好的，隔音不太好', '短评打分': 5}
{'短评内容': '一分价钱一分货，比较失望', '短评打分': 3}
{'短评内容': '位置不错，很热闹', '短评打分': 5}
{'短评内容': '房间卫生比较干净，周边环境非常棒，属于西湖景观的周边地带吧，步行到西湖20分钟，满意', '短评打分': 5}
{'短评内容': '比我之前在福州住过如家酒店好多了', '短评打分': 5}
{'短评内容': '房间干净', '短评打分': 5}
{'短评内容': '地理位置优越，服务态度很棒，出门就是美食街，各种美食应用尽有，南宋御街更是古香古色，地铁站就在酒店附近。下次一定再来。', '短评打分': 5}
{'短评内容': '这价格简直绝了，位置很棒，走十分钟就是地铁站，房间干净舒适，性价比很高，住两晚还有点舍不得走了，哈哈', '短评打分': 5}
{'短评内容': '房间干净、卫生，前台热情，还免费升级三床房，出行方便，周边热闹，但房间安静，很满意！', '短评打分': 5}
{'短评内容': '其他都挺好的，就是Wi-Fi太慢QAQ', '短评打分': 5}
{'短评内容': '规规矩矩的连锁酒店', '短评打分': 4}
{'短评内容': '位置不错，价格也合适，就是房价小了一点', '短评打分': 4}
{'短评内容': '经济实惠 离火车站两站地 比较好找', '短评打分': 5}
{'短评内容': '酒店地段很好，地处商业街里，很热闹，有吃有喝有玩', '短评打分': 5}
{'短评内容': '快捷酒店，卫生方便，位置也不错，离地铁公交很近', '短评打分': 5}
{'短评内容': '以为便宜应该不怎么样,谁知道相当干净漂亮,很满意的', '短评打分': 5}
{'短评内容': '服务很好，两点之前退房真的很给力，虽然前台也催了一下，希望一点前退房，但沟通一下酒店还是同意两点前退房的。对面有一家蓝庭餐厅，是我的最爱，东西好吃且不贵，还有WIFI能用，走路5分钟，就能去河坊街逛，坐车什么的都非常的方便。杭州城站打车到酒店，只需要11块钱。不足的地方就是酒店只有大厅里有WIFI，房间只有有线的网络，希望能早点改进。', '短评打分': 5}
{'短评内容': '位置好，离西湖很近。服务热情周到，如果房间再大点就更好了。', '短评打分': 4}
{'短评内容': '还算满意。', '短评打分': 4}
{'短评内容': '房间有点偏小，不过还可以适应，洗澡热水很给力的，离步行街很近，晚上还可以去逛逛，就是还有人在塞黄色小广告，有点害怕。', '短评打分': 4}
{'短评内容': '酒店位置好  喜欢酒店所在的那条街 \r\n房间小  不过 只是睡觉够了  热水不太好', '短评打分': 4}
{'短评内容': '很不错啊！位置好，出来就是好玩的地方。家庭房虽然略贵些，但是一大一小两张床，确实很不错', '短评打分': 5}
{'短评内容': '这家店，真心不错，地理位置很好很好。。。如家品质嘛，经济实惠。', '短评打分': 5}
{'短评内容': '条件不错，如家嘛，经济实惠，住着也舒服。离杭州站很近，附近就是南宋御街，逛街很方便。', '短评打分': 5}
{'短评内容': '住了三天晚上。。。位置很不错，出门就是夜行街。。。房间也挺好，比较宽敞。。总体来说不错，以后还来这', '短评打分': 5}
{'短评内容': '在步行街上，环境还是蛮不错的。装修倒是标配，全国的如家都一个样。', '短评打分': 5}
{'短评内容': '感觉很不错，老板人也好，比较干净，而且离步行街很近。', '短评打分': 5}
{'短评内容': '感觉很不错，老板人也好，比较干净，而且离步行街很近。', '短评打分': 5}
{'短评内容': '还算干净，就是太小了，早餐很差，一定要住有窗的', '短评打分': 3}
{'短评内容': '酒店比较新。距离西湖也不远。有的房型偏小~', '短评打分': 5}
{'短评内容': ' 服务较好，人性化。', '短评打分': 3}
{'短评内容': '酒店位置很好，出门就是南宋御街', '短评打分': 3}
{'短评内容': '还不错，就是小了点', '短评打分': 3}
{'短评内容': '很干净。不错。感觉很好。房间比较小了些。', '短评打分': 5}
{'短评内容': '第一次住如家，感觉很不错。室内的装潢所用的颜色十分别致，让人有耳目一新的感觉。同时感觉很温暖，很有活力，有家的感觉。', '短评打分': 3}
{'短评内容': '24、25日入住，感觉不错，进出很安心。比较贴心的是离开酒店行李还可暂陈，方便在周边景点游玩', '短评打分': 5}
{'短评内容': '安静， 在步行街上，但距离西湖有点远，住宿很合适，去“曲园风荷”“苏堤”等最好自己开车或乘车。', '短评打分': 5}
{'短评内容': '很不錯的酒店，服務員很好人又親切，房間清潔，近西湖。', '短评打分': 5}
{'短评内容': '家庭房没有网上说的25平方，很小，', '短评打分': 3}
{'短评内容': '如家的假窗都是用来坑爹的，起不到什么通风作用。这家性价比一般，房间还是偏小，最不爽的是假窗呀~~~', '短评打分': 1}
{'短评内容': '这家店很不错，晚上也很安静。定的是单人间，也没有别人说的那么差。东西都很新，房间虽然不是靠正街的窗子，但也是有窗子的！\n如家还是一贯的好，卫生，设施也齐全，以后还会住的！', '短评打分': 5}
{'短评内容': '房间里有些异味，房间不大，水但是很热且快', '短评打分': 3}
{'短评内容': '值得推荐，虽然离西湖有一段距离，但是在南宋御街上，是非常干净幽静的步行街，离小吃一条街和商业街非常近。酒店也比较干净，房间少校是美中不足。但是值得推荐。', '短评打分': 5}
{'短评内容': '服务态度非常好，位置非常不错，晚上可以吃到很多小吃，积极推荐', '短评打分': 5}
{'短评内容': '不是很潮 还蛮舒适', '短评打分': 3}
{'短评内容': '新店,环境不错,就在步行街中,环境很不错', '短评打分': 3}
{'短评内容': '地理位置很好 去国美办事 很方便 离西湖也特别近 周围吃饭 购物都不错 \n下次还会考虑入住', '短评打分': 5}
{'短评内容': '地理位置好，很干净，很好找，出行也方便，房间里有网线，但是没有无线网络\n晚上还算安静，水很大洗澡很舒服，设施比较齐，麻雀虽小，五脏俱全', '短评打分': 5}
{'短评内容': '相信如家一贯的品质才预定的，不知道其他房间怎么样，可能只是单人房不够好吧，入住前也明白单人房肯定不会大，可是也太小了。。基本的三星品质还是有的，房间干净，电视是挂壁式的。可是吹风机是坏的，窗户打开后还有一层厚磨砂玻璃，怎么都打不开，所以光照很微弱，空气不流通，开了一晚的排气还是闷，没找到非一次性拖鞋，所以洗澡不太方便。\n前台貌似人手不太够啊，两个女孩子看着都要忙坏了~~~\n地理位置还不错。离西湖1', '短评打分': 1}
{'短评内容': '房间有点小，有点不好找，但就在南宋御街上，超方便！', '短评打分': 5}
{'短评内容': '在南宋御街的步行街里，购物吃饭很方便的，也很干净，位置很好。', '短评打分': 5}
{'短评内容': '房间有小虫，咬了7个包，到现在还痒，窗户打不开，房间有异味', '短评打分': 1}
{'短评内容': '还不错，挺干净的，周围环境很好，下次还会住在这里。', '短评打分': 5}
{'短评内容': '兴价比不高，尤其是没有外窗，空气流通很差，房间闷，有异味。地段还可以，也是一个老街景点。下次不会选择。', '短评打分': 1}
{'短评内容': '环境好，温馨、干净、服务态度非常好，是一个像家的地方。下次去杭州还会订的。谢谢。', '短评打分': 5}
