{'短评内容': '还可以吧！就是没有窗户的房间感觉有点闷', '短评打分': 4}
{'短评内容': '从来没有住过这么差的酒店，门一开一股霉味，空调也不冷，服务员都找不到一个', '短评打分': 1}
{'短评内容': '噪声有些大', '短评打分': 4}
{'短评内容': '订两间，墙纸开裂，大床房很小，开门竟然给把钥匙然后理直气壮的说门禁卡刷是坏的，要求换房各种理由各种推。换房成功各种登记各种理由再来一遍，弄好差不多半小时还多，进房间床单补丁还带洞，次日离开时朋友说空调还是坏的……朋友面前丢人呀……很失望……不建议入住', '短评打分': 2}
{'短评内容': '总体说真心不行，门边上的宾馆因为朋友来而订了住宿。第一间大床房有窗，标的23平方左右，进去完全不是。墙角壁纸大面积开裂，去前台要求更换房间被告知没房间了，找服务台说了半天给换隔壁也是他家的宾馆。去了各种登记各种麻烦，折腾半小时。进房间竟然床单烂大洞，本想要求再换可朋友说凑合住算了，当时已经晚上十点左右……很差的了……', '短评打分': 2}
{'短评内容': '哦哦哦哦哦', '短评打分': 4}
{'短评内容': '不错的选择', '短评打分': 5}
{'短评内容': '无力吐槽了！', '短评打分': 2}
{'短评内容': '个人住凑合了，实惠', '短评打分': 3}
{'短评内容': '个人住住还凑合了，实惠', '短评打分': 3}
{'短评内容': '周围吃东西的地方很多，酒店虽然没有停车位但是外面到处都可以停车，挺方便。卫生还可以。', '短评打分': 5}
{'短评内容': '房间设施一般。地方还不错。wifi完全没用', '短评打分': 3}
{'短评内容': '干净、卫生，服务态度好', '短评打分': 3}
{'短评内容': '干净，卫生，服务态度好！', '短评打分': 3}
{'短评内容': '屋子挺大，挺舒服，推荐，，，，', '短评打分': 3}
