{'短评内容': '停车很方便', '短评打分': 5}
{'短评内容': '住的还是和之前一个房间，太巧了，这边早餐还是很不错的，交通也比较便利', '短评打分': 5}
{'短评内容': '早餐一般，不过已经算不错的了，唯一不好的就是房间里面有点味道，后来自己喷了香水，除了这点其他都挺好的，值得入住', '短评打分': 5}
{'短评内容': '早餐非常好，房内非常温馨，好评！', '短评打分': 5}
{'短评内容': '值得推荐！', '短评打分': 5}
{'短评内容': '价格实惠，服务很好，环境一般', '短评打分': 4}
{'短评内容': '卫生条件还行，服务不错，价格实惠', '短评打分': 4}
{'短评内容': '都还不错，价格实惠，服务很好。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '1，离东站步行5分钟路程 2，免费的早餐丰富好吃，赞一个， 3，员工的服务态度非常好，这个也一定要赞，', '短评打分': 5}
{'短评内容': '比以前住感觉更好了，还送了水果，服务更好哦', '短评打分': 5}
{'短评内容': '还行，就是房间卖品太多了，连茶叶，咖啡都要钱', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '停车确实方便，只是不近市中心，设施略微陈旧但可以接受，房间很多，入住的房间水龙头很松，早餐相当不错，是比较用心的。', '短评打分': 4}
{'短评内容': '不怎么样的酒店,特别是前台服务人员素质奇差,问个问题,相当不奈烦,像欠了她家钱似的.酒店地理位置偏,交通相当不方便.早上拦出租车,等了半个多小时.', '短评打分': 1}
{'短评内容': '酒店环境还可以，地理位置不错，方便出行，早餐要是再丰富点，就更加好！', '短评打分': 5}
{'短评内容': '挺好的，去了2次了，很干净，很舒服，小归小，住住够了', '短评打分': 5}
{'短评内容': '酒店环境不错，早餐很不错，但电脑网络太差了，而且酒店提供的电脑也不好，酒店应该和国际接轨，不好的东西应该淘汰', '短评打分': 5}
{'短评内容': '，该酒店环境不错，花园式，一片芳香。早餐较为丰富，也比较可口。就是床太软了，不怎么习惯，不过，下次还会住这里的。', '短评打分': 3}
{'短评内容': '抢购价订的，性价比很高，早餐也还可以。希望这个活动一直有。', '短评打分': 5}
{'短评内容': '是去过的同价位中最好的，酒店地理位置好，容易找；客房很干净，设施也完善。早餐很不错，早餐厅旁是小树林般的花园，吃早餐时可以欣赏。', '短评打分': 5}
{'短评内容': '环境还可以，房间小了点，交通还算是方便，公交东站就在旁边。', '短评打分': 5}
{'短评内容': '晚上睡觉听到莫名的老鼠生，吓坏，没休息好，早饭还可以。', '短评打分': 3}
{'短评内容': '酒店很不错 ，就是暖气方面需要多加点热度', '短评打分': 5}
{'短评内容': '酒店挺舒服的，早餐也很美味，下次还定这里。', '短评打分': 5}
{'短评内容': '酒店比相像中的还要好，交通方便，离东站很近。下次还会续住。', '短评打分': 5}
{'短评内容': '第N次入住此酒店了！房间虽小但是128的价格绝对超值，环境又好！', '短评打分': 5}
{'短评内容': '酒店很不错，早餐很美味，环境也不错，还是花园式的感觉，性价比非常高', '短评打分': 5}
{'短评内容': '第一次入住该酒店，感觉这家酒店不错，早餐也很好。总的印象还行！', '短评打分': 5}
{'短评内容': '房间太小了，早餐券只有一张,服务员态度可以，总体还可以', '短评打分': 5}
{'短评内容': '推荐！多次入住了。很满意。特价房很实惠。。。', '短评打分': 5}
{'短评内容': '性价比很高，非常好。卫生间小了点，其他都不错。位置可能偏了点。', '短评打分': 5}
{'短评内容': '很不错的酒店！值得推荐!!早餐很丰富，口味也不错！', '短评打分': 5}
{'短评内容': '早饭很丰盛，而且在餐厅可以看到花园，真的很不错。交通方便，服务态度好，下次来慈溪肯定还住这。', '短评打分': 5}
{'短评内容': '要么没有，有的都还行，另外环境挺不错', '短评打分': 3}
{'短评内容': '很好的酒店。无论设施，服务都很好。价钱太便宜了，是抢购价，性比价超高，下次去，一定还订', '短评打分': 5}
{'短评内容': '又一次入住，不用多说这个价，这个服务值得！', '短评打分': 5}
{'短评内容': ' 环境很好  性价比赛很高', '短评打分': 3}
{'短评内容': '每次从宁波去慈溪都会去住，离汽车东站非常近，酒店服务非常好，设施也很好，去市区也很方便，会继续支持。', '短评打分': 5}
{'短评内容': '酒店的服务还是很不错的给人呢亲切感，第五次入住了。酒店环境不错，很安静。餐厅可以看到花园还可以到花园中吃早饭很好。唯一的缺点是空调早上3点就关闭了，虽然外面的天气在25.26度但是房间时密闭的，而且都是厚厚的杯子所以睡的出汗热醒了，还是希望下次不要提早关空调！！\n\n', '短评打分': 5}
