{'短评内容': '位置还可以，酒店条件比较差，不过符合这个价位', '短评打分': 3}
{'短评内容': '还不错，交通方便', '短评打分': 5}
{'短评内容': '有蚊子，不通风，住的憋屈', '短评打分': 1}
{'短评内容': '没有早餐 不过周围特别多吃的 交通挺方便的  很满意这里的环境 价格也挺实惠的 房间很棒棒哒啦 哈哈哈哈', '短评打分': 5}
{'短评内容': '很方便。整体条件也是这个级别的吧', '短评打分': 5}
{'短评内容': '还不错～～～值得购买～～～', '短评打分': 5}
{'短评内容': '挺好的，经常住，比较熟悉', '短评打分': 4}
{'短评内容': '挺好，比较熟悉', '短评打分': 4}
{'短评内容': '卫生环境和服务都一般其他还行', '短评打分': 4}
{'短评内容': '房间卫生太差了，隔音效果太差太差了', '短评打分': 4}
{'短评内容': '很一般', '短评打分': 4}
{'短评内容': '好的哈哈哈你给我不行好的不要的', '短评打分': 5}
{'短评内容': '房间还是不错 就是价格略贵', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '地点还算好，就是设施差点，房间太小，插座不够用，手机充电都麻烦，还得自己上街购买，吹风机也没。态度尚可，这个季节也找不到好房间，一般般吧。', '短评打分': 5}
{'短评内容': '我7月27日至29日已入住大连汇嘉时尚宾馆212房(宾馆登记用的是家属曹彦柳的名)。7月30日换401房间住2天。请核对。王现锁', '短评打分': 3}
{'短评内容': '洗头没有吹风机， 只有前台1个，全酒店使用！！\n\n前台态度不好，不过，看上去是她们忙到不行，估计她们工资也不高，没有积极性吧。', '短评打分': 1}
{'短评内容': '酒店风格还不错，就是静音方面需要很大改进,', '短评打分': 5}
{'短评内容': '没有期待的好房间小、一进屋有一种怪怪的味道，洗漱用品最差。', '短评打分': 3}
{'短评内容': '很好，很干净，设施也算新，出行比较方便，性价比比较好，下次还会去住', '短评打分': 5}
{'短评内容': '酒店气味不好，到处很杂乱，而且管理不太完善，不推荐。', '短评打分': 1}
{'短评内容': '价格还可以接受，适合年轻的情侣居住。属于时尚宾馆', '短评打分': 5}
{'短评内容': '还不错，挺干净，也挺安静，离大连星海广场蛮近的', '短评打分': 5}
{'短评内容': '性价比不错也干净', '短评打分': 3}
{'短评内容': '还行~就是房间没有床头柜，凳子就一个~有点不方便~', '短评打分': 5}
{'短评内容': '不错，位置坐车很方便，就是房间有点小，不过也算对得起这个价格。', '短评打分': 5}
{'短评内容': ' 住得还算不错...交通挺方便。', '短评打分': 3}
{'短评内容': '地理位置还不错，房间的空间较小，卫生间排风扇是摆设，宽带没人检修。', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 3}
{'短评内容': '服务态度不好，热水器的水忽冷忽热。确实隔音很差', '短评打分': 1}
{'短评内容': '感觉一般.听大连出租车司机说那里的治安比较差', '短评打分': 3}
{'短评内容': '服务很好，环境也和图片一样，只是圆床房没有窗户，有些阴，冬天的话会潮湿一些，价钱也不高，很适合年轻人住，低层的隔音没有高层的好', '短评打分': 3}
{'短评内容': '圆床房有些潮湿，但是别的房间都很好，住 的拼床房，卫生很好，和图片上一样，态度很好啊，价格不高，而且很适合年轻人去住', '短评打分': 5}
{'短评内容': '还算不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': ' 还不错', '短评打分': 5}
{'短评内容': '总的来说感觉还可以，房间硬件设施很齐全，卫生条件很干净，住着很舒服', '短评打分': 5}
{'短评内容': '该酒店位于大连白山路与高尔基路交汇口，距离星海广场较近，新装修，室内虽小，但干净整洁，易于居住，特别是一家三口住一个标间即可。周边临近居民区，中小饭店较多，价格低廉实惠，适于旅游居住。', '短评打分': 5}
{'短评内容': '8月20日左右入住的，房间太小，隔音超差，根本睡不好。不会再住了！', '短评打分': 1}
{'短评内容': '酒店很干净，交通和吃的都很方便，七楼的标间是阁楼式的，也挺可爱，只是，也太小巧了吧', '短评打分': 5}
{'短评内容': '酒店环境很好，很安静，服务特别好，位置极佳，下次还会住的', '短评打分': 5}
{'短评内容': '出行还行挺方便的，卫生设施还可以，价格的话还是有些贵。', '短评打分': 5}
{'短评内容': '酒店的员工很热情，酒店就在星海广场附近，出行特别的方便，房间装修的风格是我喜欢的，住着特别好', '短评打分': 5}
{'短评内容': '酒店的服务员态度很好，很热情周到，价格也蛮适中的，住宿环境还可以', '短评打分': 5}
{'短评内容': '酒店不错，位置不错，设施都是新的，唯独不好的就是入住的人太多，有点超；服务人员也很热情', '短评打分': 5}
{'短评内容': '昨晚入住的大连鸿博时尚宾馆.服务态度极差.他们的商务服务一点职业道德也没有', '短评打分': 5}
{'短评内容': '宾馆不错，位置不错，也很热情；位置方便；', '短评打分': 3}
{'短评内容': '总体来说这是一家非常好的宾馆，员工也都很热情，位置在星海广场，开始打车找了一会才找到；后来发现位置不错；酒店装修是我喜欢的品味；价格适中，第一天老板还帮着找了吃的地方；很热情，卫生条件是没的说新开的；安静，适合旅游出差；美中不足就是没有餐厅；', '短评打分': 5}
{'短评内容': '总体还算可以。卫生状况、设备设施都较好。位置偏僻，不好找。最后补充一点，大连的城市非常美，可是出租车司机素质较差，与大连的形象严重不符。', '短评打分': 5}
{'短评内容': '很一般的酒店，感觉价格偏高。', '短评打分': 1}
{'短评内容': '服务态度热情，价格适中，但房间内有蚊子。', '短评打分': 5}
