{'短评内容': '大床房空间很大，比同价位的其他旅馆大多了，窗户大，位置也挺安静，停车没有问题，另外自助早很划算，下次还会去的', '短评打分': 4}
{'短评内容': '环境优雅，交通便利', '短评打分': 5}
{'短评内容': '停车很方便，酒店也很干净，值得推荐', '短评打分': 5}
{'短评内容': '携程没有艺龙好我觉得', '短评打分': 4}
{'短评内容': '同等价位的，感觉还是不错的，有早餐，房间也比较大', '短评打分': 4}
{'短评内容': '非常不错的酒店，便宜实惠，干净卫生，房间超大。', '短评打分': 5}
{'短评内容': '性价比可以', '短评打分': 4}
{'短评内容': '一直以来的支持', '短评打分': 4}
{'短评内容': '我是在网上订购的房间，当时是95然后前台就觉得特别便宜，然后整个态度就变了，体验感觉很差，以后不会在去住这家酒店，服务差', '短评打分': 2}
{'短评内容': '还过的去', '短评打分': 4}
{'短评内容': '啊我想要你怎么了啊我的脸上有酒刺', '短评打分': 5}
{'短评内容': '房间比较大，住的很宽敞，网络信号太差，淋浴喷头出水不好，早餐还算丰盛，整体满意', '短评打分': 3}
{'短评内容': '环境不错，靠近汽车东站，值得推荐', '短评打分': 4}
{'短评内容': '房间很大  交通便利  入住很方便  下次还来', '短评打分': 5}
{'短评内容': '房间很宽敞，走廊也很宽敞，总体满意。', '短评打分': 5}
{'短评内容': '地点在市区东面，属于新建区，配套不多（消费、购物、吃饭都不方便），离主城区很远。房间大小合适，就是屋内设施简单，还好没什么异味。吃饭在5F，早餐超级简单', '短评打分': 1}
{'短评内容': '房间宽敞，早餐还可以，但房间的门不好开，没次都要服务员开门。', '短评打分': 5}
{'短评内容': '酒店挺大的，价格也比较实惠。就是早餐比较简单！', '短评打分': 3}
{'短评内容': '服务不错，房间非常宽敞', '短评打分': 3}
