{'短评内容': '前台男生服务差', '短评打分': 1}
{'短评内容': '房间环境还可以，半夜12点左右确实比较吵，到夜里2左右就安静下来了，估计跟赛马长比较近。有关系。带孩子还是住澳门半岛比较好，不能加床，酒店位置不太繁华。', '短评打分': 3}
{'短评内容': '临时住了一晚，干净，安静。', '短评打分': 5}
{'短评内容': '酒店不在澳门半岛，但公交车比较多，交通还算便利，旁边就是四面佛，整体还不错，免费的咖啡喝着也挺不错，下次去了还会考虑', '短评打分': 5}
{'短评内容': '性价比一般，时间不够，未能认真体验', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店离威尼斯很近，在金沙附近玩耍是不错的选择', '短评打分': 5}
{'短评内容': '的干活分开吧考过看过聚聚放假就发，大呼小叫聪明的也如vi恐怖v发，经常出差局开会i把单号v金刚看过i体罚，kgif函数郭斯特就赶快波不开工！', '短评打分': 5}
{'短评内容': '不错的酒店 性价比还不错', '短评打分': 5}
{'短评内容': '刚回家都好都好大卡司哥哥我绝地反击发货后患得患失啥时候发货假的假的好的v电击文库八点半到吧几点叫你生根发芽第几好的好的好分就分减肥的吧v大概多久是男是女', '短评打分': 5}
{'短评内容': '枕头太不舒服了！', '短评打分': 5}
{'短评内容': '枕头太不舒服了！', '短评打分': 3}
{'短评内容': '枕头太不舒服了！', '短评打分': 5}
{'短评内容': '酒店总体像国内3星到4星之间，前台服务感受像3星。两间房间，洗手间面积差异太大，其中一间感觉上厕所都要撞到洗手台的角上了。隔音效果一般，隔壁说话大声的还是能听见，交通位置还可以，步行去官也街10多分钟。', '短评打分': 5}
{'短评内容': '不错的酒店，前台服务也很热情，好评！望再接再厉！', '短评打分': 5}
{'短评内容': '很好很好?????。', '短评打分': 5}
{'短评内容': '环境不错，交通方便，服务态度很好！房价性价比高！', '短评打分': 5}
{'短评内容': '房间没有异味打扫得很干净睡得很舒服', '短评打分': 5}
{'短评内容': '相当好，在凼仔岛，离银河、官也街，****很近', '短评打分': 5}
{'短评内容': '酒店还不错，价格在澳门算比较划算的啦', '短评打分': 4}
{'短评内容': '酒店还不错，只是设施有些老了，跟我第二晚入住的四星级比相差好远啊！', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境不错。服务也好。卫生干净。', '短评打分': 5}
{'短评内容': '房间在十六楼。嗯，房间大小呢，也不是特别大，跟大陆比前了还是小了点。房间的卫生呢？倒是干净。关键就是我去澳门的那几天啊，特别冷，然后也没有热风。最后让他给我加了一床被子。这个我还是感冒了。总体来说还是非常不错的。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '还不错吧，价钱便宜', '短评打分': 5}
{'短评内容': '住宿环境很好，值得推荐！', '短评打分': 5}
{'短评内容': '出行方便，离银河很近！非常好！', '短评打分': 5}
{'短评内容': '出行比较方便', '短评打分': 5}
{'短评内容': 'we were visiting Macau for Marathon race.  the hotel is very close to the event venue which take only 5 min walk.  the hotel decoration is a bit old fashion but clean and more than decent.  casino is ', '短评打分': 3}
{'短评内容': '房间卫生，干净利落', '短评打分': 5}
{'短评内容': '房間舒適乾淨', '短评打分': 5}
{'短评内容': '十二年後再入住，依舊那麼溫馨。只是周邊的環境桑海山田了⋯', '短评打分': 5}
{'短评内容': '还是很不错的，在这种地方这个价位，绝对对得起价格科。推荐。', '短评打分': 5}
{'短评内容': 'just so so  ', '短评打分': 3}
{'短评内容': '酒店環境舒適、整潔，服務員工態度不錯，而且酒店位置方便，附近有巴士站，餐廳飲食也不錯，酒店附近有幾家超市，可以逛逛街，下次繼續光顧！', '短评打分': 5}
{'短评内容': '不错～', '短评打分': 5}
{'短评内容': '一般般吧', '短评打分': 4}
{'短评内容': '一般般吧，就是比较便宜相对于其他酒店。  本来酒店有去港澳码头的车，门口等了半天，还跟服务人员说了，车来了，也没叫我', '短评打分': 4}
{'短评内容': '十分好的一間酒店, 附近有超市, 又有7-11, 巴士站也離很近, 附近也有很多美食可以選擇, 酒店3樓也有酒家, 可以去吃個點心. ', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '交通方便，旅游娱乐休闲一体的好地方', '短评打分': 5}
{'短评内容': '大堂好像在21层，房间有点小，不规则。冬天房间没有暖气，挺冷的。', '短评打分': 1}
{'短评内容': '酒店的位置较好，步行到官也街、银河和威尼斯人都不远，门口有巴士站和超市，坐车过海也很方便。房间（标双）很小，卫生也可以。自助早餐品种不多，前台服务态度不错。', '短评打分': 5}
{'短评内容': '硬件设施不错，服务也很好，地理位置也方便，晚上很安静', '短评打分': 5}
{'短评内容': '不错 服务好', '短评打分': 3}
