{'短评内容': '高大上的外表，中干的内在。', '短评打分': 3}
{'短评内容': '早餐比较丰富', '短评打分': 5}
{'短评内容': '有停车场', '短评打分': 5}
{'短评内容': '靠近江边，好舒服，', '短评打分': 5}
{'短评内容': '9摄氏度的天气，中央空调居然是摆设，没暖气！这次入住很不舒服！', '短评打分': 4}
{'短评内容': '马上入住，应该还不错。。。期待入住。。。。希望休息的不错。。。', '短评打分': 5}
{'短评内容': '很不错，以后常用。。使用起来也是简单方便得很。。。。。。', '短评打分': 5}
{'短评内容': '环境非常好', '短评打分': 5}
{'短评内容': '好好好好好好，非常好，超级好。要不到台的好。', '短评打分': 5}
{'短评内容': '一般吧，不是很好', '短评打分': 5}
{'短评内容': '订的阳光大床房最后变成双床房，反馈最后也没解决', '短评打分': 1}
{'短评内容': '在朝阳大桥边上，比较偏僻，好的方面有停车方便，早餐丰富，热水供应舒适，不好的方面就是太偏僻了还要这么贵', '短评打分': 4}
{'短评内容': '没有赶上好时间，酒店正在翻修，除了位置，其它真心不值这个价位。', '短评打分': 5}
{'短评内容': '环境优美', '短评打分': 5}
{'短评内容': '酒店位置就在T3楼走路5分钟，酒店非常安静！在机场转机最好的选择！房间也很大，洗澡水超大很爽！早餐也不错！！', '短评打分': 5}
{'短评内容': '房间有点小', '短评打分': 4}
{'短评内容': '非常非常好', '短评打分': 5}
{'短评内容': '还不错啦', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 4}
{'短评内容': '每次来红谷滩出差都会住这，整体感确实不错！不过最近早餐品质有所下降了！', '短评打分': 5}
{'短评内容': '人少，服务一般', '短评打分': 2}
{'短评内容': '位置较偏，环境不错，无论是酒店还是周边。早饭水平一般，周围有点荒凉，吃饭买东西的地方不是很方便。总的来说不错的酒店，欧洲风，但设施有些陈旧了。', '短评打分': 4}
{'短评内容': '   除了紧靠赣江的自然环境，没有任何可以称道的地方。没有门童服务，他们忙着在闲聊。空调跟酒店员工一样有气无力，开到32度室温永远是23度。房间隔音？有隔音吗？你是假日酒店连个健身的地方都没有，为什么还叫假日酒店。不知道为什么要住这家酒店，定了4晚，住了1晚，赶紧走吧！携程总是把所有的酒店包装的那么好客房那么紧张！     最近老是上当！！', '短评打分': 4}
{'短评内容': '可以的', '短评打分': 5}
{'短评内容': '房间面积比较小，整体感觉比较像holiday inn', '短评打分': 5}
{'短评内容': '位置好远，一点也不方便。临街，酒店附近什么都没有，一点也不方便。', '短评打分': 1}
{'短评内容': '酒店内部环境不错。卫生有待提高。夏天入住的，蚊子比较多。。。。\n', '短评打分': 5}
{'短评内容': '不错的酒店！临江，环境幽静，设施较齐全。不足是附属餐厅（泰味）价格太贵。', '短评打分': 5}
{'短评内容': '酒店不错，离高速非常近，下了高速很容易找到', '短评打分': 5}
{'短评内容': '住宿条件不错', '短评打分': 3}
{'短评内容': '酒店外观可以 就是房间偏小', '短评打分': 3}
{'短评内容': '酒店环境不错！就是交通不便，打车很难！早餐还算丰盛！', '短评打分': 3}
{'短评内容': '房间还行，希望在隔音上有进步。', '短评打分': 3}
{'短评内容': '希望以后隔音能做的好一点，目前这块最差，早餐还不错！', '短评打分': 5}
{'短评内容': '房间隔音不好，早餐比较丰盛，建议定房间的时候要挑房间。', '短评打分': 3}
{'短评内容': '＋早餐很丰盛，但是房间隔音很差，影响休息，下次可能会考虑换一家酒店。', '短评打分': 3}
{'短评内容': '交通不便，是在一个角落，打车很不方便。周围吃饭的地方都太高档了，吃不起啊。如果是一个人住的话不适合那边。', '短评打分': 1}
{'短评内容': '酒店位置不错，环境很好，价格也还可以。就是窗户隔音差,希望能改善。', '短评打分': 5}
{'短评内容': '位置比较偏，不大好找；周围无商业，购物不方便。', '短评打分': 1}
{'短评内容': '酒店位置不错，环境很好，价格也还可以。就是空调不太制热。', '短评打分': 5}
{'短评内容': '酒店位置很好，服务细致温和，布局风格都非常好，就是点点滴滴的卫生状况要抓好，细节决定着管理！', '短评打分': 5}
{'短评内容': '在新区，位置稍微有点偏，不过带车去的没有太大关系了，整体还算不错啦', '短评打分': 5}
{'短评内容': '酒店位置不错,在江边,散步很好,周围,吃饭很方便,福满楼不错,物美价廉.酒店是泰式风格,很不错,还有露台,就是外面看过去,酒店玻璃脏些,毛巾有些硬,没有中巾,早餐也不错,总体还不错,性价比不错.', '短评打分': 5}
{'短评内容': '个人觉得赣江新天地是个温馨舒适的酒店，里面的装修风格具有亚泰风情，非常适合度假旅游。服务人员热情周到，让我住的很开心。', '短评打分': 3}
{'短评内容': '在酒店能看到大的摩天轮，床铺很软很舒服，很安静。唯一不满意的就是冷气不是太好，房间有点闷！', '短评打分': 5}
{'短评内容': '在赣江边上，环境优美，房间整洁，很优闲。早餐丰富。 \n', '短评打分': 5}
{'短评内容': '环境优美，在同档次酒店中入住费用较低，可以送双早，适合度假、会议入住。', '短评打分': 5}
{'短评内容': '在赣江边上，环境优美，房间整洁，很优闲。早餐丰富。', '短评打分': 5}
{'短评内容': '还可以吧，在江边，空气很好、就是位置太偏了', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '干净舒适,泰国风格,环境宜人,就是有点偏', '短评打分': 3}
{'短评内容': '刚入住发现牙杯里既然还有干牙膏在里面，让人感觉卫生特别得不好。衣柜打开，全是蚊子飞出来，少说也有3.40只，虽然用了灭蚊器，但是早上起床发现身上多处被叮咬。房间的装修一般，洗澡的水龙头感觉比较劣质。\n最糟糕的是房间的隔音效果太差，半夜被隔壁的声音吵醒，早上被走廊上来来往往客人的声音吵醒，总之，一晚没休息好！唯一让人感觉到欣慰的是酒店前台的服务态度不错。', '短评打分': 1}
{'短评内容': '刚办好入住', '短评打分': 3}
{'短评内容': '无论是临街还是面向江面的 都比较欠缺隐私性。\n吃饭的时候想加点饭竟然要收3元钱 晕死\n配的早餐也很一般 牛奶和果汁都很水', '短评打分': 1}
{'短评内容': '1) 酒店富有泰國色彩, 外面環境亦很寧靜, 站在江邊看風景也不錯\n2) 位置較偏, 房間比較小, 泰國餐廳內以廣東菜為主, 服務員不太親切', '短评打分': 5}
{'短评内容': '有泰国feel。挺新挺干净，服务有待加强。总体感觉可以。', '短评打分': 5}
{'短评内容': '地理位置有点偏！晚上进出不方便！早餐品种有点少！', '短评打分': 1}
{'短评内容': '很不错，早餐也很好吃！环境也很漂亮，装修也很有风格。。。。价格也挺适中的~~~~~~~~~~`', '短评打分': 5}
{'短评内容': '挺好的，沿江而建，比较舒适。\n挺好的，沿江而建，比较舒适。', '短评打分': 5}
{'短评内容': '＋房间设备需要更换，卫生间的门都是坏的', '短评打分': 3}
{'短评内容': '比较满意', '短评打分': 3}
{'短评内容': '我住的1121房间窗边就是一个地下室出风口（很晚入住，早上起床才发现的），风机整夜轰隆作响，一夜没睡好！！！！！', '短评打分': 5}
{'短评内容': '地方比较偏远~房间比较小……因为是低层酒店，所以路边上的房间免不了受噪声干扰……但房间很有特色。另外，电视机实在太袖珍了……', '短评打分': 5}
{'短评内容': '整体环境还不错，房间干净整洁，服务也很不错，下次还有再光临。', '短评打分': 5}
{'短评内容': '环境很好，也很安静，服务员态度也很好，就是地段有点偏。', '短评打分': 5}
{'短评内容': ' 当天空调坏了 冷死了  电脑有问题    房间不错 很大 床要是有两米就不错了', '短评打分': 5}
{'短评内容': '这家酒店在江边，环境不错，也很有风格。房间设施也不错，只是位置有点偏，如果想逛街就有点远了。总之不错。', '短评打分': 5}
{'短评内容': '感觉蛮好的，就是周围餐厅很少，而且消费很高，人气少，只有个西餐厅比较合适。', '短评打分': 5}
{'短评内容': '这酒店我推荐！自助早餐物美价廉，品种多。房间不错，床铺干净，服务也很好，特别在大堂服务的小生，帮我们到酒店门口招了两辆出租车，谢谢他！还有值得推荐的是酒店餐厅的泰国菜也很好吃。酒店在新区，够安静而且舒服。', '短评打分': 3}
{'短评内容': '+房间不错,很大又干净,服务也不错,酒店地段是新区,安静舒服。餐厅的泰国菜正宗,早餐物超所值,品种多而且美味。推荐!', '短评打分': 5}
{'短评内容': '这里位置在南昌新开发区内，靠近赣江和摩天轮，初次从火车站坐出租过来要30元，酒店服务的种种细节都考虑到了，下次来南昌还会优先考虑这里。', '短评打分': 5}
{'短评内容': '还不错就是床有点小，                                          ', '短评打分': 5}
{'短评内容': ' 住的是江景套房，服务员的态度很好，江景也不错，但是浴室的水忽冷忽热，差点烫死我…', '短评打分': 5}
{'短评内容': '环境不错, 酒店也很有特色.', '短评打分': 5}
{'短评内容': '新酒店，硬件不错，就是有点偏', '短评打分': 5}
{'短评内容': '旁边有挺多吃的，不过好像都是招待政府官员的，看样子档次比较高。酒店没什么特别。', '短评打分': 1}
{'短评内容': '环境很好，如果硬件更好些会更受欢迎', '短评打分': 5}
