{'短评内容': '总体来说还行 就是没有吹风机', '短评打分': 5}
{'短评内容': '考研住的很舒适 方便 ', '短评打分': 5}
{'短评内容': '三年前考研的时候住了这家酒店，在个巷子里，好多人不知道，那时候才装修，虽然有点味道，不过整体卫生，设施还是挺好的，那时候是288一晚。今年弟弟考研，我又给他定了这里，开心的是一个月前订的，还没涨价，价格挺低，房间设施还不错。就是卫生间有点小，如果洗澡的话会把水弄到外边地上，电视遥控用不了，只能在机顶盒上按，退房速度有点慢，图个昂的时候，前台还在埋头吃她的油泼面。不知道是不是舍不得我们退房，情绪比较', '短评打分': 3}
{'短评内容': '酒店在西安建筑科技大学西门对面，当时想着离西安建筑科技大学很近才订的，结果不是一般的后悔！！！酒店的床和被子旧、薄，看上去有点受潮的样子；卫生间镜子已经有脱落，浴室的水排不出，水压很小，热水不热，后来沟通后工程部维修后才热！！！！早餐品种不多，我们过去吃的时候已经有点凉了。如果是到西安旅游和出差，不推荐大家入住！！！！', '短评打分': 3}
{'短评内容': '国庆出游住的这，房间卫生尚可，价格小贵，有早餐但是可吃性较差，离大雁塔不远，只有不到2公里路，酒店街对面有一家兰州烧烤摊不错，价格公道味道巴适，特别值得表扬的是由于我是网上订的房间，走的时候多给了一天房费，我自己其实都忘记了，但店家非常诚信，主动把钱打给了我，让我很感动！', '短评打分': 5}
{'短评内容': '位置不是很好!距离大唐芙蓉园和海洋馆不太远', '短评打分': 4}
{'短评内容': '环境很干净，设施也很齐全', '短评打分': 4}
{'短评内容': '房间很大，有个大窗户光线很好，空气流通住着舒服，洗手间干净整洁，院内有个小停车场非常不错，国庆节房间很紧张，还带早餐，值得推荐！', '短评打分': 5}
{'短评内容': '好好好好好好好好 ！！！！', '短评打分': 3}
{'短评内容': '主要是离朋友家近，临时过渡一个晚上，不然不会住这里的', '短评打分': 3}
{'短评内容': '推荐入住', '短评打分': 4}
{'短评内容': '一般的酒店，有骚扰电话', '短评打分': 3}
{'短评内容': '太一般了！还不能刷卡', '短评打分': 3}
{'短评内容': '水早上不热，房间基本可以，前台不能刷卡。离我客户较近。', '短评打分': 1}
{'短评内容': ' 环境不错', '短评打分': 3}
{'短评内容': '床不错。隔音效果有待改进，在房间里面，能够听到走廊上的人说话声。总体还好.', '短评打分': 5}
