{'短评内容': '酒店服务好', '短评打分': 5}
{'短评内容': '不错吧', '短评打分': 5}
{'短评内容': '前面的酒店服务就是比后面的公寓服务好', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '酒店位置很好，周边配套设施很齐全。停车场也很方便。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境好，干净卫生。', '短评打分': 5}
{'短评内容': '常住非常好早饭可以更好的…………………………………………………………………………………………………………………………………………………………………………………', '短评打分': 5}
{'短评内容': '客户证件忘在酒店居然不主动打电话，还让客户自己主动，你知道这样会耽误很多事情吗。', '短评打分': 5}
{'短评内容': '非常好的一次入住体验！！！', '短评打分': 5}
{'短评内容': '经常来这里住，房间很大，服务也很好！', '短评打分': 5}
{'短评内容': '经常去住，服务很好，房间也很大！', '短评打分': 5}
{'短评内容': '房间很舒服，空间很大，经常去住', '短评打分': 5}
{'短评内容': '住过很多次了，还是不错的！', '短评打分': 5}
{'短评内容': '房间里有没有清理的拖鞋，服务态度一般，够不上真的五星级标准。', '短评打分': 4}
{'短评内容': '卫生清理并不干净，服务不行，达不到五星级标准。', '短评打分': 4}
{'短评内容': '这个酒店非常不错，硬件设施没得说，还比皇冠假日便宜。更值得赞的是服务，很贴心。本来打算点送餐的，服务员随口推荐自助餐，抱着试试看的心情去，结果住店客人又有优惠，悠闲的享用了自助美食。特别表扬帮我寄回了我遗忘的充电器。这酒店值得推荐！', '短评打分': 5}
{'短评内容': 'good.', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店位置好，装修很新，设备较新，周围环境应该是襄阳的核心区域。房间很大，干净整洁，早餐很丰富，服务也很热情，在襄阳就是很不错的酒店了，出差旅游是不错的选择，下次还会选择这里。', '短评打分': 5}
{'短评内容': '床上不干净，睡着身上长疹子', '短评打分': 4}
{'短评内容': '可以 不错 早餐品种不多 品质需要提高 品种需要增加 其他不错。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '环境非常好，用的TOTO卫浴，上档次，泡澡真舒服，早餐品种略少，但味道不错', '短评打分': 5}
