{'短评内容': '很好很舒适的一次感受！！！！！', '短评打分': 5}
{'短评内容': '很好很舒适的感受，值得一提', '短评打分': 5}
{'短评内容': '不错的酒店烤鸭很棒', '短评打分': 4}
{'短评内容': '我只是单独顶的房间，门票是另订，不清楚你问的，至于哪个有至于哪个有私汤，不知道，我订的时候介绍里说有，也不知道在哪里。要是放在外面的话还真不怎么样，但是放在心上温泉度假村里协这个环境还是对的起这个价钱的。头天入住时小姑娘跟亲切，退房时感觉不怎么样。怪我自己粗心，洗面奶落在卫生间，大姨查房后第一遍电话说没问题，前台就给我退押金了，我走了没几步听见前台接电话，电话里说“他们走了吗？”前台说“走了”，当', '短评打分': 3}
{'短评内容': '还行吧 早饭差一点', '短评打分': 4}
{'短评内容': '快400的价格，酒店房间不含温泉，不是很满意', '短评打分': 4}
{'短评内容': '环境好，服务好，度假好去处', '短评打分': 5}
{'短评内容': '很好很舒适的感觉，值得一住', '短评打分': 5}
{'短评内容': '很好很舒适的感觉，值得拥有的时刻。', '短评打分': 5}
{'短评内容': '住的还行，但是温泉脏乱差，服务不行。', '短评打分': 5}
{'短评内容': '房间有霉味，墙壁掉皮严重，电水壶烧水有一层漂浮物，一大早还有人拍错门……室外温泉池开放4个，可能是修缮的缘故。就温泉酒店来讲，房价不贵，但硬件还有待改善。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店没有标配瓶装水，没有一次性拖鞋。', '短评打分': 4}
{'短评内容': '环境挺好的，就是泳池~~没法用', '短评打分': 5}
{'短评内容': '不错，下次还会入住。。。。。。。。。。。。。。。。。。  周末有些小贵。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '这么低的价格这么好的服务真的是太棒了，价格太亲民了，普通老百姓都能接受，本来还以为看错了，真是太不可思议了', '短评打分': 5}
{'短评内容': '酒店给安排在一楼，房间很潮湿，设施倒是蛮齐全的，去温泉度假不错，只是希望房价能够做好抽湿工作，吃的不错，酒店自配全聚德！', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '早餐没有肉。凉菜太多。热菜太少', '短评打分': 4}
{'短评内容': '环境还好 就是空调只有夜间开，白天屋里很冷 服务很好', '短评打分': 5}
{'短评内容': '杜阿姨人很亲切', '短评打分': 4}
{'短评内容': '住宿的环境和条件比较不错，性价比还可以。服务态度挺好！那个全聚德餐厅真的很不好，味道一般，价格不低。温泉是见到最差劲的了，号称开放很多池子，实际上室外才开放了不到10个，而且20点不到就开始把仅有的几个开始关闭了，更衣室和室内温泉更是象大众澡堂。最让人不满的是，温泉的服务员很看不起农民，附近一个村里集体来温泉，找这个那个理由不让人家进，而且把洗浴用品都收了起来，难道客人还要看是城里还是农村的吗？', '短评打分': 5}
{'短评内容': '酒店很不错，周围环境超级棒，很安静！酒店配套设施也很好，住起来很舒服，床很大。就是阳台的窗户没办法上锁，睡觉的时候很怕有人从阳台进来！', '短评打分': 5}
{'短评内容': '酒店处在郊区很宽阔的地方，园区绿化很不错，建筑也很有特色。美中不足的是，温泉很早就关了，让我们这些商旅人士很不爽。凉台的门怎么也关不上，害得我怕进来小偷。淋浴间地面倾斜方向不对，水不往地漏方向流，反而往外流。空调不可调温，有点热。怀疑此处多为GWYFB的场所......早餐的地方就有“法院调解纠纷改革文艺晚会”的字样，呵呵.....', '短评打分': 5}
{'短评内容': '如果要度假，休闲，旅游的朋友可以考虑在这里度假。自助餐的选择不是很多。', '短评打分': 5}
{'短评内容': '酒店总体来说相当不错，房间很干净、宽敞，宽带速度也很快。不足之处，大堂到电梯距离较长，还有台阶，对腿脚不灵活的老人不太方便。', '短评打分': 5}
{'短评内容': '酒店内部的硬件设施算是四星级的，服务员态度也还可以。\n配套设置真的一般，四周绿化没做好，风沙大。去那里玩就是泡温泉的，住在温泉酒店，吃住玩都在这儿了，但是过了晚上八点半就什么吃的都没了，而且两三个人去还没有点菜服务，只能吃自助，坑爹呢这是\n你把餐厅包给全聚德没意见，服务跟不上去还是酒店的问题。\n去玩就是为了开心，饿着肚子生一肚子气，真不值当', '短评打分': 1}
{'短评内容': '不错的酒店。特色就是温泉，相信每个到这里入住的客人都会喜欢的， 就是房间的味道稍有点大，需要改进些。服务还可以。', '短评打分': 5}
{'短评内容': '酒店住宿条件还不错，不过吃得不怎么样，38元一位的自助餐，没大有什么东西。而且正好遇上团队回忆，吃自助的时候基本很多菜都没有了。', '短评打分': 5}
{'短评内容': '温泉不错，餐饮还可以，就是冬季室内温度有点低，需要多穿点衣服，温泉是最大的亮点，值得一去', '短评打分': 5}
