{'短评内容': '早餐不好吃，地理位置还好，健身房里的设备太少，房间里没有化妆台。', '短评打分': 4}
{'短评内容': '早餐还不错，房间大，卫生间感觉不错', '短评打分': 5}
{'短评内容': '在兴义一直都住富康，性价比很高', '短评打分': 5}
{'短评内容': '五星级标准超值，干净卫生', '短评打分': 5}
{'短评内容': '非常好的住宿体验', '短评打分': 5}
{'短评内容': '房间很大，就是窗户遮光不好', '短评打分': 5}
{'短评内容': '一直过来都是在这的定房休息，确实不错', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '第二次入住，5分', '短评打分': 5}
{'短评内容': '酒店很好，在市区。早餐丰富，旁边一个大大的广场，很壮观。', '短评打分': 5}
{'短评内容': '不错的选择', '短评打分': 5}
{'短评内容': '环境交通都好，周边吃也方便，', '短评打分': 5}
{'短评内容': '环境不错，好评', '短评打分': 5}
{'短评内容': '经常住感觉不错', '短评打分': 5}
{'短评内容': '酒店很好', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '位置很好，停车方便，周围有很多吃的', '短评打分': 4}
{'短评内容': '11.30号入住，环境好，服务各方面都不错。12.1号继续入住，还是用携程预订的，现在酒店方面一直没查询到我的住房情况，发个单号给酒店查询 下', '短评打分': 5}
{'短评内容': '满意，满意，非常满意，就续订要麻烦些', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '3星的价格5星的亨受不错，有机会还会选择', '短评打分': 5}
{'短评内容': '非常满意，干净整洁方便，下次还会入住这家酒店！', '短评打分': 5}
{'短评内容': '还好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': ' 价格可以，早餐烂', '短评打分': 3}
