{'短评内容': '酒店位置好，还有入住水果，非常赞', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好，服务好', '短评打分': 5}
{'短评内容': '好，服务好', '短评打分': 5}
{'短评内容': '位置挺好，前台小琳服务不错，热情，房间干净，房间还有水果，赞', '短评打分': 5}
{'短评内容': '一如既往的碧桂园品质', '短评打分': 5}
{'短评内容': '太偏远了。感觉这边就是看房团住的', '短评打分': 4}
{'短评内容': '很不错的房间，环境很好，房间很大', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '卫生不错，卡通房很特别，但早餐很一般', '短评打分': 4}
{'短评内容': '酒店干净整洁，还可以在碧桂园山河城看房子，一举两得。', '短评打分': 5}
{'短评内容': '客人住得非常满意', '短评打分': 5}
{'短评内容': '房间宽敞舒服，环境安静，睡的踏实', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '很意外的一次旅行，在路上遇到了下大雨，结果就选择了这家酒店入住，虽然有点偏，幸好也不难找，交通嘛，还算方便，适合自驾游，一路进来，幸好这酒店的环境不错，绿化很好，够清静，是度假的好地方，而且我们还发现了酒店外面还有一个水库，很多人都在钓鱼，环境真的很美，真的很意外发现了这个地方。', '短评打分': 5}
{'短评内容': '床头没有插座，不知道什么原因，空调没有暖风，北方人好不习惯。', '短评打分': 4}
