{'短评内容': '还可以，设施有点损坏', '短评打分': 4}
{'短评内容': '牙膏竟然都没有盖，只有用刀来戳破。', '短评打分': 3}
{'短评内容': '从携程上订的晚上9点多到.灯光昏暗，估计就我们一家入住。一进去桌子上就摆放着物品赔付单，感觉很不好，设施陈旧跟一般小旅馆差不多，还不如快捷酒店。再说睡觉！！！简直是服了！！！准备睡觉，关上灯发觉有动静，以为是东西没放好，起来重新放，躺下关灯，又有动静，开灯起来观察，什么都没动，在关灯又有动静，反反复复有7.8次，都想倒霉点钱换一家了，可是那时已经快12点了，别的地方也没有住的了，结果开了一宿灯，凑', '短评打分': 3}
{'短评内容': '携程显示预定完成，到达之后现实没有预定', '短评打分': 5}
{'短评内容': '屋子整体还行旅店的老板也很热情.不过屋子里好像没有无线上网而且旅店正门口正在施工道路比较不好走.', '短评打分': 3}
{'短评内容': '总的来说性价比还算可以', '短评打分': 4}
{'短评内容': '房间很宽敞，位置便利，就是有虫子和蚊子', '短评打分': 4}
{'短评内容': '不错哦！好评！', '短评打分': 3}
{'短评内容': '本人亲眼看见 如有假话 不得好死! 总结：床单 被套 枕头套都没换！！！！！！\n\n能住吗？？？？？', '短评打分': 1}
{'短评内容': '房间挺大的，就是房价贵了点', '短评打分': 3}
{'短评内容': '该酒店的价格比原价格高200元，卫生环境差，房间比较臭，电视信号中断没法看电视，', '短评打分': 1}
{'短评内容': '设施还好', '短评打分': 3}
{'短评内容': ' 干净 安静 呵呵 小镇不大 晚上也没什么娱乐  距离东栅近 汽车站近 据西栅远 但小镇的“远” 也没多远', '短评打分': 5}
{'短评内容': '酒店地理位置很好，去哪里都方便，老板很热情', '短评打分': 5}
