{'短评内容': '很愉快的一次购物。', '短评打分': 5}
{'短评内容': '体验不错 。很赞。', '短评打分': 5}
{'短评内容': '挺好挺好挺好挺好挺好，字数够啦', '短评打分': 5}
{'短评内容': '太旧了，有些吵', '短评打分': 3}
{'短评内容': '放在20年前应该还是很辉煌的酒店', '短评打分': 3}
{'短评内容': '还可以，就是设施有点旧！', '短评打分': 4}
{'短评内容': '', '短评打分': 5}
{'短评内容': '灵动的空间可以让您在繁忙旅途中尊享一处悠闲静息之所。', '短评打分': 5}
{'短评内容': '酒店位置很好找，车位充足。每个楼层装修时间不一样，部分房间可能还有装修味道，不过可以找前台进行调换哦', '短评打分': 5}
{'短评内容': '还可以，离家近', '短评打分': 4}
{'短评内容': '感觉还行吧', '短评打分': 4}
{'短评内容': '位置不错，出行方便', '短评打分': 5}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '位置和交通不错', '短评打分': 5}
{'短评内容': '一般般   房间没有wifi   外面找不到吃饭的地方    不过附近也没有什么酒店了', '短评打分': 3}
{'短评内容': '老国营企业的感觉', '短评打分': 3}
{'短评内容': '不太好，价格贵，设施差，服务态度也一般', '短评打分': 4}
{'短评内容': '从酒店可以看出来，房山是北京的落后地区。不仅设施老旧，服务意识服务水平差距更甚。作为首都北京的一个4星酒店，甚或连中部一个县级酒店都不如。为房山脸红。', '短评打分': 3}
{'短评内容': '房间不算大设施尚可，位置适中周边环境出行购物就餐还算方便，大堂服务稍显不足，房山这边算是条件好的了，网上定房标间306元还可接受，到店价就有点小贵，与市里边四星酒店相比还是有点差距', '短评打分': 4}
{'短评内容': '交通方便，设施一流，休息很舒适，值得推荐。', '短评打分': 5}
{'短评内容': '大堂接待服务太差，环境与星级不符，看起来是没有经过专业培训', '短评打分': 1}
{'短评内容': '据说是房山最好的酒店了，设施有些旧，性价比不高。', '短评打分': 1}
{'短评内容': '已经入住,谢谢您的服务!', '短评打分': 3}
{'短评内容': '住的是豪华间，很宽敞，舒服!服务好!下次还来住!', '短评打分': 3}
{'短评内容': '第一次到良乡，选择了这个酒店，总体不错。但是只待了几小时', '短评打分': 5}
{'短评内容': '不是太好，设备陈旧，最好重新装修一下。不过这附近也没有其他可住的了。', '短评打分': 5}
{'短评内容': '设施陈旧，价格很贵。我认为酒店应该更新一下设施，而且房间里还有一种不好的味道。不是理想的酒店。', '短评打分': 1}
{'短评内容': '这家酒店也就这样了，房山地区最好的一家了。', '短评打分': 1}
{'短评内容': '还可以吧,就住一晚，没感受到什么服务', '短评打分': 3}
{'短评内容': '交通方便，房间设施齐全，装修一般', '短评打分': 3}
{'短评内容': '酒店位置不错， 但装修时间太久， 且服务需提高， 按星级的话应该在3星以内， 自驾的话下次会选其他酒店！', '短评打分': 1}
{'短评内容': '感觉挺时惠', '短评打分': 3}
{'短评内容': '很不错的酒店，很满意', '短评打分': 3}
{'短评内容': '入住。', '短评打分': 3}
{'短评内容': '服务一般般啦，不过住的人还真多，房间还成，就是旧了点', '短评打分': 5}
{'短评内容': '酒店服务真的不是很多，我去定房的时候没人理我。', '短评打分': 5}
{'短评内容': '\r\n我觉得旱天假日酒店服务很好，也很卫生，但是早餐有点贵，20元一位但是种类不是很多。', '短评打分': 3}
{'短评内容': '不错的酒店，就是前台指路太差了，说了半天也没说清楚位置', '短评打分': 5}
{'短评内容': '感觉还可以,良乡也就是住这里了,有些设施好像在装修,下回再看看吧', '短评打分': 5}
{'短评内容': '交通便利，服务有进步', '短评打分': 3}
{'短评内容': '第一次住感觉还可以，下次还可以入住', '短评打分': 3}
{'短评内容': '昊天的设备有点旧.去年国庆我入住有冰箱.今年没有了.为什么?卫生和服务很好.', '短评打分': 3}
{'短评内容': '淋浴不好，不能上网，电视也坏，住了三个房间，一间不如一间，\n地毯特脏，定的是特价豪华标间，其实给的只是普通标间', '短评打分': 1}
{'短评内容': '房间干净，价格便宜，但电脑不能用，挺麻烦', '短评打分': 5}
{'短评内容': '酒店交通方便，只是设备有些旧，服务说得过去！', '短评打分': 5}
{'短评内容': '服务员很热情，但是硬件条件太差，亟待改善！！！', '短评打分': 5}
{'短评内容': '酒店设施老旧。服务水平不到4星级。......................................', '短评打分': 1}
{'短评内容': '酒店地理位置不错，但设施太陈旧了，大厅和房间里都有一股不好的味道。', '短评打分': 5}
{'短评内容': '酒店很不错，性价比高', '短评打分': 3}
{'短评内容': ' 还不错。', '短评打分': 3}
{'短评内容': '一般，不大值。房间挺大的。感觉不出是四星级。', '短评打分': 5}
{'短评内容': '我得客户对该酒店比较满意，对价格也比较认可。该酒店是房山地区比较豪华的酒店，准四星级的。在你们网上预订的价格是最低的，谢谢你们！下次我还会用ELONG！', '短评打分': 5}
{'短评内容': '可能房山的整体酒店条件都很一般，这就算好的了。推荐的理由是位置很不错。', '短评打分': 5}
