{'短评内容': '还不错的酒店', '短评打分': 5}
{'短评内容': '房间挺大的，设施陈旧点，早餐还好吧，其他都挺好的。', '短评打分': 5}
{'短评内容': '房间挺大的，床品挺舒服，设施有些陈旧，早餐还好，总体还是不错的。', '短评打分': 5}
{'短评内容': '整体不错。周边环境安静舒适。房间内部的整体硬件设施很好，餐饮运动等配套服务也很齐全。不足之处就是，服务员对房间的清理打扫不够及时。', '短评打分': 5}
{'短评内容': '早餐还行，就是空调不知道是没开，还是调好，总之挺棒的', '短评打分': 5}
{'短评内容': '酒店管理不错，比较喜欢', '短评打分': 4}
{'短评内容': '停产方便，早餐一般。', '短评打分': 5}
{'短评内容': '延安枣园宾馆位于延安市边，昨天去到酒店刚好碰上酒店空调和热水系统出了问题，没有热水和空调，后来晚上才搞好，酒店为了表示歉意送了水果。我们住的房间洗澡间洗澡时，洗澡间漏水，洗完澡后，整个洗手间都全湿了。有停车场。自助早餐尚可。', '短评打分': 4}
{'短评内容': '延安城区算最好的酒店了吧。。', '短评打分': 5}
{'短评内容': '服务跟不上', '短评打分': 4}
{'短评内容': '每次去延安都会选择这家酒店、干净、高大尙', '短评打分': 5}
{'短评内容': '性价比超高', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '服务好', '短评打分': 5}
{'短评内容': '整体还不错哈，交通不方便！！！', '短评打分': 5}
{'短评内容': '酒店硬件好，服务也不错', '短评打分': 5}
{'短评内容': '环境不错，房间也不错', '短评打分': 5}
{'短评内容': '超大超豪华，停车啥的都很方便，就是离吃东西地方远了点', '短评打分': 5}
