{'短评内容': '有异味，隔音效果差', '短评打分': 2}
{'短评内容': '房间该不错', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '周边欠缺特式美食店，且暂商圈刚开展，还不知以后能否作为热点位置', '短评打分': 3}
{'短评内容': '我觉得还好吧，只是要求一个落脚地的话，还不错，至少安全空调也还可以', '短评打分': 4}
{'短评内容': '过年出游，不错。', '短评打分': 5}
{'短评内容': '蛮干净的，不错。', '短评打分': 5}
{'短评内容': '就是早餐差，又冷又式样少', '短评打分': 5}
{'短评内容': '房间太旧了，而且卫生差。钱付完了后来也没有住', '短评打分': 1}
{'短评内容': '温馨舒服，环境卫生什么的都不错，服务也蛮好。', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '朋友说还不错', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '不错可以推荐舒服卫生', '短评打分': 3}
{'短评内容': '卫生比较差，携程推荐的不靠谱。', '短评打分': 3}
{'短评内容': '房间有点小！', '短评打分': 3}
{'短评内容': '一般一般一般一般一般一般一般一般一般一般一般一般一般', '短评打分': 5}
{'短评内容': '今年入住明显没有去年干净，早餐依然简单不可口。有点失望。', '短评打分': 3}
{'短评内容': '房间有点小，早餐稍微有点简陋，不过周边有超市和吃饭的地方，倒还算是方便', '短评打分': 5}
{'短评内容': '旁边就有超市，很方便捏，就是房间有点小，早餐太简陋了~~', '短评打分': 5}
{'短评内容': '酒店的设施太差了！前天的接待员服务态度不错！', '短评打分': 1}
{'短评内容': '卫生干净，出行方便，酒店旁边有一个物美大卖场。', '短评打分': 5}
{'短评内容': '酒店还好，卫生干净,就是停车场小了点，不过挤挤也凑合停了。。', '短评打分': 5}
{'短评内容': '干净卫生,服务挺好.', '短评打分': 3}
{'短评内容': '只能说还行。园床房比较小。 大厅比较杂乱。早餐很一般。房间还行。价位和房间匹配度尚可。', '短评打分': 1}
{'短评内容': '酒店的刷卡机有问题，总是重复刷预授权，其实刷了两笔却认为只刷了一笔，麻烦修理一下。其他还算中规中矩，卫生间潮气较重。', '短评打分': 5}
{'短评内容': '很温馨服务态度很好。', '短评打分': 3}
{'短评内容': '房间好小  有异味，下次不会选择了。空调不给力', '短评打分': 1}
{'短评内容': '房间还行，就是小了点。', '短评打分': 3}
{'短评内容': '温馨的圆床，很舒适。服务也不错。\n房间空间再大点，会更好。', '短评打分': 5}
{'短评内容': '再次帮朋友订了这家酒店，希望继续提高硬件服务质量', '短评打分': 5}
{'短评内容': '不错的店只是路偏了些', '短评打分': 3}
{'短评内容': '每次出差经常住这个酒店，周围环境还好，逛街也方便', '短评打分': 5}
{'短评内容': '每次出差差不多都会住在这个酒店，周围交通还好，附近还有夜市。挺方便的。', '短评打分': 5}
{'短评内容': '经常来这家酒店，周围交通便利，服务也很好。', '短评打分': 5}
{'短评内容': '价格还行，位置也不错，就是卫生间的味道比较大，地毯也很脏，希望把卫生再搞好一些。早餐太不值了。其他还行', '短评打分': 5}
{'短评内容': '地段偏点，其他尚可以', '短评打分': 3}
{'短评内容': '＋房间太小，还算干净，交通方便，周围环境优美。', '短评打分': 3}
{'短评内容': '房内还可以，液晶电视，床也不错，装修很好，就是偏了点。要不是前天送人去浙大紫金港校区报到，也不会定那边的房间了。总体不错', '短评打分': 5}
