{'短评内容': '帮朋友定的', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '房间内很大股霉味', '短评打分': 3}
{'短评内容': '很方便，很好', '短评打分': 5}
{'短评内容': '房间设施配置很好，中央空调效果好，正好在江边也算是江景房吧。电梯配置多，不需要等，酒店等车方便。不过自助早歺品种少了点，但酒店周围饭店多，吃饭很方便，价格实惠，味道也不错。', '短评打分': 5}
{'短评内容': '属于醴陵最好的酒店了，并且旁边就是绿江，环境还可以，吃饭也不贵；不过早饭就显得太一般了，配不上4星级，总体也算不错了', '短评打分': 5}
{'短评内容': '属于醴陵最好的酒店了，并且旁边就是绿江，环境还可以，吃饭也不贵；不过早饭就显得太一般了，配不上4星级，总体也算不错了 ', '短评打分': 5}
{'短评内容': '较差', '短评打分': 3}
{'短评内容': '江景房夜景很美', '短评打分': 4}
{'短评内容': '酒店太差', '短评打分': 2}
{'短评内容': '交通便利，值得推荐。    ', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '服务态度很一般，早餐也不太好', '短评打分': 3}
{'短评内容': '超级差的酒店', '短评打分': 1}
{'短评内容': '小地方实在没啥可住的了凑合吧小地方实在没啥可住的了凑合吧', '短评打分': 5}
{'短评内容': '还不错，当地最好的酒店。卫生间排水有点问题，洗个澡搞得水漫金山', '短评打分': 5}
{'短评内容': '房间太小，窗户也小，感觉像高墙内！价格不是很便宜，县级城市而已。', '短评打分': 1}
{'短评内容': '这是第N次入住了，硬件设施有点旧了，服务水平也有所下降，但还算不错，没有找到更好的之前还会入住。', '短评打分': 5}
{'短评内容': '总体来讲还可以，是醴陵相对很好的酒店了。', '短评打分': 5}
{'短评内容': '感觉还好，只是厕所有股异味，服务员说没办法解决，关上厕所门会好点。无语', '短评打分': 5}
{'短评内容': 'Room facility is About 3 star hotel quality...\nService is O.K.\nBreakfast is Good.', '短评打分': 5}
{'短评内容': '在醴陵来讲各方面都算不错的，性价比较高。', '短评打分': 5}
{'短评内容': '当地最佳酒店，已多次入住了', '短评打分': 3}
{'短评内容': '不错，住过了还要续住', '短评打分': 3}
{'短评内容': '挺好的，位置方便，又在河边，可远眺河岸风光', '短评打分': 3}
{'短评内容': '不是第一次住了，是家性价比不错的酒店。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
