{'短评内容': '无早餐，虽然老旧但挺干净的，就在火车站旁边很方便', '短评打分': 4}
{'短评内容': '离北京站很方便，就是空间小了一点，其他都很好', '短评打分': 5}
{'短评内容': '服务一般，反应迟钝', '短评打分': 2}
{'短评内容': '总体来说还是不错的，距离北京站很近，也很方便。可能是太往里的缘故致使酒店的Wi-Fi不太好用。', '短评打分': 4}
{'短评内容': '不满意', '短评打分': 2}
{'短评内容': '酒店离北京站很近，出站左转穿过一个停车场就到了，房间不大，床单很脏，枕头烟味很大，应该是前面的旅客退房只是整理一下没有换新的。只是过站住半宿，穿着衣服对付了几个小时，早晨就离开了。建议卫生搞好一点。', '短评打分': 4}
{'短评内容': '干净卫生，屋子不大，地段很好，挨着北京站，过马路有小胡同，可以吃早点', '短评打分': 5}
{'短评内容': '小屋子不大，但是很干净，位置很好，出门就是北京站，周围吃的不多，需要过马路', '短评打分': 5}
{'短评内容': '很好，很方便，性价比高！', '短评打分': 5}
{'短评内容': '房间不大，但是干净整洁，虽然紧邻北京站，却很安静', '短评打分': 5}
{'短评内容': '车站附近住，不错的选择', '短评打分': 5}
