{'短评内容': '很好', '短评打分': 4}
{'短评内容': '好的话好的华', '短评打分': 5}
{'短评内容': '房间干净，就是有点冷。', '短评打分': 5}
{'短评内容': '位置很好，酒店不错', '短评打分': 5}
{'短评内容': '服务特别好，前台说普通话，吴起来说一流，价格便宜媲美西安一些高级酒店，床很软房间隔音效果特别好和小情人一起泡浴缸能双飞', '短评打分': 5}
{'短评内容': '还行，虽然我没住&hellip;&hellip;我要的是延安的酒店，给我推荐了这个，关键是我不知道吴起是个地名，离延安还有100多公里，定了个不可取消的预付&hellip;&hellip;', '短评打分': 5}
{'短评内容': '酒店环境挺好，当地最好的酒店了，早饭种类比较多，下次有机会来肯定还住这里。', '短评打分': 4}
{'短评内容': '价格很实惠，住着很舒服。卫生间里有个大浴缸，泡澡缓解疲劳效果很好。', '短评打分': 5}
{'短评内容': '还行吧 床品不太好', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '酒店很干净，高层风景特别好，每次都会住，价格也不便宜。', '短评打分': 5}
{'短评内容': '周围环境一般，太吵闹，酒店设施不错', '短评打分': 4}
{'短评内容': '很干净，还会选择在这里住宿，值得选择。', '短评打分': 3}
{'短评内容': '个人感觉吴起地区最好的酒店，四星的环境，三星的价格。', '短评打分': 3}
{'短评内容': '虽然服务一般，不过已经是吴起县最好的宾馆了。', '短评打分': 3}
{'短评内容': '酒店很好，设施设备环境都好，在当地算得上最好的了，价格还便宜，推荐入住。', '短评打分': 5}
{'短评内容': '来武器就住这家吧！如果能报销的话。挺好的', '短评打分': 5}
{'短评内容': '这虽然是一个县城里的酒店，但是真的不错！前身是当地政府的招待点，很气派，装修很到位，不比城里的差', '短评打分': 5}
