{'短评内容': '不错，环境可以，离广场近，坐游1去动物园很方便', '短评打分': 5}
{'短评内容': '外面看起一般，但里面很好，位置也很好，比我之前住秦道酒店好太多太多了，很好!', '短评打分': 3}
{'短评内容': '有点陈旧，水小，空调有的房间不行。但是离大雁塔超近，出门即是。', '短评打分': 3}
{'短评内容': '很好！离景点也很近...................很不错的一家宾馆！', '短评打分': 5}
{'短评内容': '差！房间没窗户！设施陈旧！停车免费！(+﹏+)~狂晕', '短评打分': 1}
{'短评内容': '这个酒店那叫一个烂，西安六月底那么热居然后半夜关空调，第二天竟说是怕有的客人着凉，交涉后当时同意不关空调，第二天晚上还是关了；不能上网一直到走也没来人给解决，这是我住过最郁闷的酒店。', '短评打分': 1}
{'短评内容': '没有窗，不太好！', '短评打分': 4}
{'短评内容': '没窗，不太好！', '短评打分': 4}
{'短评内容': '就在大雁塔的脚边 地段很好，早餐还凑合。晚上看喷泉很方便，附近就是没有什么大点的超市', '短评打分': 5}
{'短评内容': ' 大唐长安会馆，不错，升降的车库电梯挺不错，保安小伙子挺不错还提醒我们地库停车免费。屋内有窗很安静不错交通也方便，十几分钟就到地铁', '短评打分': 3}
{'短评内容': '酒店还算可以 位置不错 服务可以 早餐可以 没什么大的问题 总体说的过去 ', '短评打分': 5}
{'短评内容': '该酒店交通位置方便，但周边吃饭的地方少。酒店内设施较旧，坏的应该及时更换。', '短评打分': 3}
{'短评内容': '服务很好  酒店环境不错', '短评打分': 3}
{'短评内容': '只有一个优点：离大雁塔近。其它皆差：1，前台办手续不分先后，一个人手忙脚乱，满脸怒色。2，房间里卫生特差，尤其是浴盆，马桶和烧水器。3，房间的服务员叫不动，坐在办公室聊天，一等就按小时算。4，定的是宽带房，里边没电脑，一问说：宽带接口有，电脑自备，换带电脑的最少加100元，第一次听说。5，房间里除过毛巾，洗浴用品其他全部收费，经济观念很强！！！', '短评打分': 1}
{'短评内容': '地理位置优越，去高新方便，打车较好打，装修独特，网速快，缺点是床不够软。', '短评打分': 5}
{'短评内容': '酒店地理位置非常的好，房间也比较大，设施只能是一般！  附近吃饭游玩的地方都非常多，小吃和各种吃的都有，毗邻大雁塔景区！', '短评打分': 5}
{'短评内容': '位置好 干净 服务也不错 都可以 下次还住', '短评打分': 5}
{'短评内容': '条件一般，最要命的是洗澡水要放半个多小时才能热起来，水池的热水开关一直就是冷水。走廊里总是有做饭的油烟味，甚至在房间里也能闻到。性价比不高。隔音还行，比较安静。', '短评打分': 1}
{'短评内容': '被子太薄,卫生间陈旧', '短评打分': 3}
{'短评内容': ':地理位置优越，很方便，房间很大，洗澡水挺小，能改进就更好了！昵称，豆丁。', '短评打分': 3}
{'短评内容': '整体感觉不错，干净舒适，环境优雅，交通便利。', '短评打分': 5}
