{'短评内容': '还可以还可以还可以还可以', '短评打分': 5}
{'短评内容': '酒店前台绪慧经理服务很好，酸奶很好，环境也很好。', '短评打分': 5}
{'短评内容': '位置应该不错，电梯太慢，大床房房间不大，洗漱用品不好，登记入住前台缺乏礼貌，无亲和感，总之扬州金陵给人感觉一般！', '短评打分': 4}
{'短评内容': '扬州金陵大饭店客房环境好，5星级的档次，餐饮有特色，周围交通便利，停车方便，服务员好，尤其为服务员闫颖点赞。', '短评打分': 5}
{'短评内容': '店环境很不错，价格也不贵。性价比高。酒店服务更是特别好。尤其是吕彬。房间干净。', '短评打分': 5}
{'短评内容': '酒店环境很不错，价格也不贵。性价比高。酒店服务更是特别好。尤其是吕彬。房间干净。', '短评打分': 5}
{'短评内容': '酒店周边环境不错，距离车站各景点都较近，房间干净卫生，前台小姑娘谈颖妍服务不错，临走时还赠送我两瓶酸奶，很感谢。', '短评打分': 5}
{'短评内容': '环境很好，不错', '短评打分': 5}
{'短评内容': '酒店地理位置不错，靠近大润发，酒店酸奶很好吃，前台张莉莉退房还送了零钱包，服务很好，下次还会来。', '短评打分': 5}
{'短评内容': '房间不错，性价比高，前台张莉莉服务好。', '短评打分': 5}
{'短评内容': '哦公民面膜新名字', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店住的很舒服，整体很好，酒店的位置很方便，旁边就有富春个和大润发，房间的卫生很干净，设施设备也很好和齐全，性价比还是很高的，房间还送酸奶很温馨很好喝。酒店的服务非常好，前台美女何仪服务很热情很亲和。很开心的一次入住，下次还会选择的？', '短评打分': 5}
{'短评内容': '房间住的很好，干净卫生，很舒适，价格也不贵，，房间赠送了酸奶，之前看网上评价说很好喝，常了下，发现真的很不错，很赞，酒店位置也很好，周边有商场和超市，也靠近火车站，汽车站，适合坐车出行的朋友，不得不说下前台周玥的服务，很周到热情，询问了我入住感受，并且还帮我叫车，总体性价比高，下次来，还会住金陵，不愧是老品牌。', '短评打分': 5}
{'短评内容': '高档次', '短评打分': 5}
{'短评内容': '环境设施比较陈旧', '短评打分': 5}
{'短评内容': '服务周到，为人热情，近市区靠超市，逛街景点都很方便！', '短评打分': 5}
{'短评内容': '非常的满意', '短评打分': 5}
{'短评内容': '酒店交通很便利而且靠近富春早茶，出门就能打到出租，服务总体说起来挺不错的，房间卫生干净也很宽敞，各方面都符合五星的标准，性价比很高，退房的小伙寿梓豪太热情了，服务很周到。酒店的酸奶很好吃，非常有特色。', '短评打分': 5}
{'短评内容': '京东旅行给人意外，很好', '短评打分': 5}
{'短评内容': '酒店大部分设施较好，就是卫生间的沐浴不是太满意，希望可以改善。', '短评打分': 5}
{'短评内容': '还好吧，这价格还行，四星吧', '短评打分': 4}
{'短评内容': '上次酒店服务有待改进的提议后这次确实改进了，很开心，还是推荐的', '短评打分': 5}
{'短评内容': '酒店被夜總會包圍著 完全國營企業風格 不過酒店酸奶實在好吃至極', '短评打分': 3}
{'短评内容': '酒店被夜總會包圍著 完全國營企業風格 不過酒店酸奶實在好吃 希望可以儘早網上買到', '短评打分': 3}
{'短评内容': '作为一名职业经理人，酒店的服务还算满意', '短评打分': 5}
{'短评内容': '环境蛮好，房间也不错~推荐~', '短评打分': 3}
{'短评内容': ' 人住时有赠酱菜礼盒，挺惊喜的，有无线网络就好了。服务不错且入住手续快捷。晚上还有水果和剪纸', '短评打分': 3}
{'短评内容': '还不错，出行方便，位于主干道上，周围吃的也挺多的，离大润发超市近，很方便', '短评打分': 5}
{'短评内容': '房间豪华干净', '短评打分': 3}
{'短评内容': '周围环境还不错的，，， 离京华城 也不是很远，，', '短评打分': 5}
{'短评内容': '服务周到，卫生舒适，很好！', '短评打分': 3}
{'短评内容': '酒店不够五星级，卫生间很挤，网速慢的像蜗牛，大多数时间上不了', '短评打分': 1}
{'短评内容': '设施很新，很不错，还送了蛋糕和水果，值得一住', '短评打分': 5}
{'短评内容': '设施还不错，很新的酒店。交通也很方便，但大门不面向路口，需要往里面有一点。总体值得一住！', '短评打分': 5}
{'短评内容': '酒店很棒值得再来', '短评打分': 3}
{'短评内容': '五星的酒店肯定好啊。要是打折能再多一点就更好了。', '短评打分': 5}
{'短评内容': '不错的酒店，值得推荐，地理位置很好，在主干道边上，就是停车场比较小，停车不方便', '短评打分': 5}
{'短评内容': '非常不错的酒店，各类设施都很好，酒店服务人员也比较专业，早餐还需要改进，才能符合酒店的档次', '短评打分': 5}
{'短评内容': '位置不错，环境也很优雅，硬件比较新，早餐品种也很多。', '短评打分': 5}
{'短评内容': '房间有点小，床铺卫浴很干净。早餐一般。', '短评打分': 3}
{'短评内容': '新开的酒店 设施新 服务热情周到 门口不靠街边 有时出门不太好打车 会推荐给朋友', '短评打分': 5}
{'短评内容': '环境很好，给免费升级了豪华房。很大，五星的标准，以后还会再去。\n就是网速慢了点。', '短评打分': 5}
{'短评内容': '干净！可能天冷暖气一直开着，室内温度太高，不太好通风，室内可以有个加湿器就不错了！', '短评打分': 5}
{'短评内容': '入住很舒服，一日三餐都有的吃，有自助餐，价格还行，服务好', '短评打分': 5}
{'短评内容': '酒店的设施和服务都不错。\n但是房间内水压有点小。', '短评打分': 5}
{'短评内容': '晚上送水果还有剪纸艺术很不错。就是苹果带皮，没刀不好吃，希望能改经哦！', '短评打分': 5}
{'短评内容': '该酒店很温馨，房间干净，床和枕头舒适，早餐也比较丰富。我每次到扬州都下榻于此。', '短评打分': 5}
{'短评内容': '给客人订的，客人没有反应不好！但是刚下车到门口的时候居然没有门童帮忙拿行李！', '短评打分': 5}
{'短评内容': '在扬州的出租车上听司机说，这是扬州唯一家真正的五星级宾馆。住后感觉：物有所值。干净，安静，交通便捷，服务热情，尤其是服务中心的服务员更是热情周到。下次再到扬州首选就是你们了！', '短评打分': 5}
{'短评内容': '品牌酒店 设施较新   服务不错   餐饮很好 位置尚可   ', '短评打分': 5}
{'短评内容': '保持了金陵的风格,房间舒适,以后还会入住', '短评打分': 5}
{'短评内容': '整体非常好,服务也很好,舒适温馨!', '短评打分': 3}
{'短评内容': '房间整洁，服务热情周到，去瘦西湖也蛮近的。', '短评打分': 5}
{'短评内容': '酒店环境服务都很好！', '短评打分': 3}
{'短评内容': '设施一般', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '单人大床房有些狭小，其他都不错', '短评打分': 3}
{'短评内容': 'OK', '短评打分': 3}
{'短评内容': '扬州金陵大饭店设施比较新，餐厅服务不错，美中不足的是窗帘较薄影响睡懒觉，并且房间隔音不好，总体可打90分', '短评打分': 3}
{'短评内容': '很好，软件硬件都比较好，下次还会入住，真的很好', '短评打分': 5}
{'短评内容': '扬州金陵大饭店为我升级套房，很开心！金陵饭店以后还会经常光顾！推荐', '短评打分': 3}
{'短评内容': ' 整体不错 很新 大堂太小', '短评打分': 3}
{'短评内容': '预订房间时看客户点评基本都是褒扬，不以为然，以为无非是“指定人选”或“去贬存褒”之类的把戏，直至入住后方知并非虚妄。服务、设备等其他客户评述很多，不多赘述，感受较深的是该店在为方便客户着想方面真是心思慎密，（如：不间断插座、取电卡、地毯地砖平接、床头灯、牙刷牙膏的选择…）反正想得到的都想到了，处处让你觉得方便。附近周围城市（譬如南京）的同星级宾馆实在不能与之相比。有网友说价格稍贵，我到觉得价格公道', '短评打分': 5}
{'短评内容': '饭店整体上不错。下次到扬州还会考虑住酒店。希望饭店房费中不包括早餐，这对因公出差的人带来一些麻烦，希望能改进。', '短评打分': 5}
{'短评内容': '房间干净，床大，设施也不错，服务也到位。饭店本身的中餐厅不错，早餐有点小贵。酒店附近有一个文化广场，有人唱戏，附近还有大润发，九鼎香火锅，富春茶社。离瘦西湖西门打车9元。', '短评打分': 5}
{'短评内容': '还可以总的来说，就是空调比较吵，周围环境还可以', '短评打分': 5}
{'短评内容': '酒店服务生态度很热情，酒店设施也不错，交通也很方便，以后去的话，也会选择这家酒店', '短评打分': 5}
{'短评内容': '酒店入住环境非常不错，酒店附近就是富贵茶社吃早点非常不错，而且酒店免费为我们房间升级商务房，下次还来住。', '短评打分': 5}
{'短评内容': '酒店服务蛮好，房间布局很合理，停车场也蛮大的，总理感觉很不错', '短评打分': 5}
{'短评内容': '非常好的五星级酒店\n带了2个男孩入住，中间出现n多服务要求 ，都得到了很满意的服务，很感谢金陵集团提供这么好的管理。\n未来还会入住集团下面的n个连锁酒店 ', '短评打分': 5}
{'短评内容': '酒店客房新颖，清洁，前台服务态度不错，入住和结账都很快，自助早餐还不错，酒店地处市中心，我下次来扬州可能还选择此酒店入住。\n', '短评打分': 5}
{'短评内容': '还不错，但我们房的阅读灯两个MS都不能用。', '短评打分': 3}
{'短评内容': '非常不错的酒店。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店已入住，内部还算干净整洁 服务态度不错。早餐还没吃 先不评价。', '短评打分': 3}
{'短评内容': '酒店环境和服务都行！', '短评打分': 3}
{'短评内容': '＋房间设施和服务很好。', '短评打分': 3}
{'短评内容': '非常好的酒店，房型、环境、服务都很好，早餐品种少了些，但价格实惠；很值得推荐！！！！！！！！！', '短评打分': 5}
{'短评内容': ' 很好的酒店。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店不错啊,环境也还可以,位置也是不错的,离市中心比较近点,停车也方便,如果能便宜点就更好了,下次还会预订这里的', '短评打分': 5}
{'短评内容': '酒店很不错，因有金陵饭店贵宾卡，升级为套房，房间很大，很舒服，服务也很好，不知为什么，扬州的大部分酒店都不含早餐。', '短评打分': 5}
{'短评内容': '酒店很新，房间挺大，早餐50元，在五星级酒店里算很划算的，礼宾部非常好，会帮忙订出租车，总体感觉酒店非常舒服。', '短评打分': 3}
{'短评内容': '房间舒适感觉，就是没有早餐。工作人员服务热情，有宾至如归的感觉。价格在扬州来说比较贵了。下次会推荐朋友来住的。', '短评打分': 5}
