{'短评内容': '空间足够了的', '短评打分': 5}
{'短评内容': '帮同事预定，环境还是可以的，交通方便。有停车场，环境还可以，算干净。下次去附近出差，可以优先考虑这个。', '短评打分': 4}
{'短评内容': '就是公寓，不会再住了', '短评打分': 3}
{'短评内容': '环境交通服务都不错。就是停车要收费。不过可以到附近的路边停车，有停车位，不收费。绝对安全，不用担心被抄牌。', '短评打分': 5}
{'短评内容': '很安静，设施较为老旧。房间很大很明亮', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '离科技园很近，出行也比较方便……离地铁站并不是很远，附近也有吃的店，价格算是很便宜的了！性价比很高很高…', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '搞笑，这能算酒店？  本来听着名字以为还不错，至少不能比连锁酒店差，结果去了才知道是一个公寓，设施老旧，建议别住，免得后悔', '短评打分': 2}
{'短评内容': '因为工作关系入住本酒店，距离地铁张江高科站不算远也不算近，房间很大，应该是原来的月租房改造的还有厨房，应该是原来的单身公寓改造的。', '短评打分': 3}
{'短评内容': '周边环境还可以，安静！价格偏贵，设施条件有待提高，要是装修能再上一个档次就好了！', '短评打分': 4}
{'短评内容': '在携程比较失败的一次选择。', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房间好大，连厨房都有，但是不够温馨。唯一就是价格比较便宜。', '短评打分': 1}
{'短评内容': '感觉像农家乐的宾馆 我住一楼  一晚上光顾着打蚊子了\n前台gg就一个人 总体还蛮热情的', '短评打分': 1}
{'短评内容': '还不错，就是除了门口两家餐馆外，附近没什么吃饭的地方。', '短评打分': 5}
{'短评内容': '很简单，', '短评打分': 3}
{'短评内容': '酒店不错，就是有点偏，不容易找到。有点单身公寓的感觉。', '短评打分': 5}
{'短评内容': '入住环境很好很宽敞离开中国美院张江校区也近', '短评打分': 3}
{'短评内容': '选择这家酒店主要是因为方便，酒店服务不错，房间很大，是公寓式酒店，有厨房冰箱等...', '短评打分': 5}
{'短评内容': '凯顿酒店在张江区,安静,附件有快餐,一个人出差方便', '短评打分': 5}
{'短评内容': '酒店地理位置还可以,安静安静,有快餐,一个人出差方便', '短评打分': 5}
{'短评内容': '酒店还不错，很大，就是服务台比较难找，还有厨房。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '1.房间还行，就是服务不是很好，早上起来看不到一个人，房卡忘在房间里，差点进不去误了工作。很郁闷。\n2.房间价格不一，具体就不说了。', '短评打分': 5}
{'短评内容': '还不错，就是位置有点偏，没有像样的图标指示，所以地方不太好找。\n另外房间还行，上网的网速还还好，就是房间的床有点小，睡着不舒服。', '短评打分': 5}
