{'短评内容': '交通方便，位置不错，夜景很好，性价比高', '短评打分': 5}
{'短评内容': '寓上服务很不错，房间也很好', '短评打分': 5}
{'短评内容': '服务挺好的，环境也不错。房间很赞', '短评打分': 5}
{'短评内容': '很不错的公寓，硬件和软件都很不错，也比较安静！', '短评打分': 5}
{'短评内容': '今年三月客戶因為飛機晚點。我們已付房費的房間沒有了，也沒有間斷及時與我聯繫，後來三更半夜总算協調处理好了，攜程也返了三百元，不過后來再要訂，就拉黒了。', '短评打分': 5}
{'短评内容': '距离展馆很近', '短评打分': 5}
{'短评内容': '每次必須定這里，環境好，夜晚安靜，吃飯和去展會相當便利，而且晚上散步也是好去處', '短评打分': 5}
{'短评内容': '很满意，谢谢。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '老板娘热情，非常好，房间有大，便宜，里面干净，挺好的，下次还回来，谢谢老板娘！红红火火恍恍惚惚呵呵火', '短评打分': 5}
{'短评内容': '非常值得推荐，房间干净整洁，酒店距离展厅很近，楼下有个全家，下次还会选择。', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '公寓酒店环境安静，就是开交易会贵了点，其他还好', '短评打分': 4}
{'短评内容': '卫生干净，比较舒服，去展馆方便！停车费有点贵，96元/天，如果酒店能够协调一下，对房客降低收费就更完美了！', '短评打分': 5}
{'短评内容': '卫生干净，比较舒服，去展馆方便！停车费有点贵，96元/天，如果酒店能够协调一下，对房客降低收费就更完美了！', '短评打分': 5}
{'短评内容': '酒店不错，设施齐全，能提供洗衣液更好', '短评打分': 5}
{'短评内容': '酒店比较新，但周边没有什么逛的地方。', '短评打分': 5}
{'短评内容': '地板有点旧和脏，房间沙发不干净', '短评打分': 3}
{'短评内容': 'ok', '短评打分': 4}
{'短评内容': '到店比较晚，帮我们升级了房间，还不错。', '短评打分': 4}
