{'短评内容': '好评好评', '短评打分': 5}
{'短评内容': '还是不错的，酒店非常大，适合小孩哇耍', '短评打分': 5}
{'短评内容': '酒店个环境不错，温泉泡着很舒服。', '短评打分': 5}
{'短评内容': '早餐好。亲子温泉。很棒。', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '环境不错，温泉还可以，物超所值！', '短评打分': 5}
{'短评内容': '你有听说过温泉度假酒店房间没有热水吗？今天我总算碰见了 酒店卫生间没有热水 服务员说你可以先放一会儿 好吧 我放了30分钟依旧没有热水 然后服务员拎了一桶热水说 你们先用这个洗吧 汗啊 太差了吧 什么家伙都用上了', '短评打分': 2}
{'短评内容': '环境很好，温泉也不错！好评好评', '短评打分': 5}
{'短评内容': '很巴适环境', '短评打分': 5}
{'短评内容': '酒店整体不错，就是太热很多地方没去逛逛，温泉感觉没特色，全是一样的，外面进去玩的人太多，很乱，水也不太干净，房间还有鱼骨头瓜子，卫生真不行，', '短评打分': 5}
{'短评内容': '很不错的度假酒店，温泉泳池都有，早餐丰富，以后还会去！', '短评打分': 5}
{'短评内容': '其实挺不错的，就是房间吹风机和烧水壶都是坏的。房间很多插线控都没有电。 池子的水不是特别干净。但是小朋友去玩水很好玩！住宿除了玩水晚上不是很好玩 没有室内儿童乐园！', '短评打分': 4}
{'短评内容': '春节期间价格相比便宜，温泉不限次数', '短评打分': 5}
{'短评内容': '这个价格非常合适，不限次数泡温泉', '短评打分': 5}
{'短评内容': '好几年前去过一次，这次去变化不大。温泉是特色，早餐要凭餐券，市场经济下还这样显得比较死板，晚上没有自助餐，服务员说只有节日才有。酒店周围荒寂！还需要创新才行！', '短评打分': 5}
{'短评内容': '什么都好，就是房间无线网络信号看起可以连，可是一直无法加入网络！', '短评打分': 4}
{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '酒店服务不错，环境挺好，温泉值得推荐', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '非常满意，早餐很不错！服务态度好。', '短评打分': 5}
{'短评内容': '酒店很不错，已经多次入住，主要是酒店温泉随便泡。', '短评打分': 5}
{'短评内容': '好漂亮的酒店，尤其它的卫生间特别又高雅，超喜欢的，我跟我老公说以后家里的卫生间也装修成那样的！住着也开心！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境还好，只是设施年久失修。', '短评打分': 5}
{'短评内容': '很一般 酒店还是老了些 服务不够大气有地域特色', '短评打分': 2}
{'短评内容': '卫生设施都可以，温泉池也挺多，水温有很多种，对温泉还是挺满意的，特别是早上九点过就可以泡温泉，这比好多五星酒店的温泉开放时间早，很赞！前台check out 有点慢，几个前台只有一个在办理，其他人不会提前问房号查房，这方面还需要加强。', '短评打分': 4}
{'短评内容': '环境很好，房间里面设施不错', '短评打分': 5}
{'短评内容': '温泉人不多，住宿环境好，饮食贵。', '短评打分': 3}
{'短评内容': '环境非常棒，价钱也合理，服务很周到，设施齐全，早餐很棒', '短评打分': 5}
{'短评内容': '温泉不错 房间装修老化了 达不到应有价格', '短评打分': 3}
{'短评内容': '酒店离市区远，房间可以，有些设施有些陈旧，酒店的温泉很好，池中的水每天都要换，干净，服务不错，整体环境安静、整洁。是个休闲的好地方。', '短评打分': 5}
{'短评内容': '总体还不错，温泉不是很热的…………………………', '短评打分': 5}
{'短评内容': '离成都最近的温泉酒店，按五星档次看，设施稍显陈旧，房间水温不太稳，早餐稍差。我住的大床房空间够大，服务还行，需要的物件打个电话很快就送到。我是周二，周三带女友去的，人不多，很适合情侣。这是第二次来，下次还会来的', '短评打分': 5}
{'短评内容': '价格稍贵，服务还行。', '短评打分': 3}
{'短评内容': '环境住宿条件不错的，园林式的温泉，效果挺好，可网上说退房延迟到下午两点，可服务员十一半就催退房，奇怪！我还要讨回说法', '短评打分': 5}
{'短评内容': '套房环境比想象中要好，前台接待熟练度有待提高', '短评打分': 5}
{'短评内容': '酒店环境很好，大堂也比较气派，但服务水准的确不敢恭维。去过几次了，一直没改善。达不到五星级酒店应的服务水准。', '短评打分': 5}
{'短评内容': '酒店不错，服务也很好。就是温泉池子开得不多。', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '很好！', '短评打分': 3}
{'短评内容': '酒店设施齐全，房间很大，床很舒服，卫生间也够大，总体还是很不错的。唯一遗憾的是酒店的水质不好，杯子里的水总会有类似沙子的沉淀物，刷牙啥的都只能用纯净水完成。', '短评打分': 5}
{'短评内容': '服务态度挺好的.第一次来.给人第一眼很大气.也许是来的不是时候人不是很多.有点冷清.', '短评打分': 3}
{'短评内容': '酒店不错，温泉很好，就是早餐感觉要差一点，其他的服务质量还可以', '短评打分': 5}
{'短评内容': '服务不错。价有所值', '短评打分': 3}
{'短评内容': '总的来说不错 下次继续住~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '价钱很贵！房间太冷！没有空调！住了一天就感冒了！', '短评打分': 1}
{'短评内容': '服务不错', '短评打分': 3}
{'短评内容': '入住550房间，条件不错。', '短评打分': 3}
{'短评内容': '设施设备比较完善，我很喜欢鱼凫国都温泉大酒店，以后还去那泡温泉·····', '短评打分': 5}
{'短评内容': '房间干净整洁，沐浴的热水忽冷忽热。温泉是相当的赞，就是那个小鱼温泉池还要另收费，让人玩的非常不爽。早餐不行，估计应该归到20每位的档次。总的来说，适合过周末，比较开心。', '短评打分': 5}
{'短评内容': '酒店年代有些久了，东西有些旧。不过当个度假村闲时来待两天还是不错。', '短评打分': 5}
{'短评内容': '中餐很多菜都没有，米饭太硬，客房服务及时性较差！', '短评打分': 5}
{'短评内容': '酒店环境和条件都不错.但是太偏僻,打车太难.', '短评打分': 5}
{'短评内容': '   不错   住的很满意。', '短评打分': 5}
{'短评内容': '设施是有些老了好长等于没有装修过了，服务态度挺一般的，其实如果是第一次去的话位置不是很好找的毕竟是温泉酒店都不是在市区的，价格还是稍微有些高了些。其他都没什么。', '短评打分': 5}
{'短评内容': '设施是有些老了好长等于没有装修过了，服务态度挺一般的，其实如果是第一次去的话位置不是很好找的毕竟是温泉酒店都不是在市区的，价格还是稍微有些高了些。其他都没什么。', '短评打分': 5}
{'短评内容': '酒店的中央空调不行晚上休息的时候很闷搞得我一夜都没有睡着也不知道晚上到底有没有开空调，酒店一般和我预期想象都不是太一样，服务也没有接触，位置倒是有指示牌但是如果第一次的话外地人应该还不是太熟悉，价格和内部环境比起来的话确实是挺一般的。', '短评打分': 1}
{'短评内容': '酒店的卫生很干净，服务员很细心，没有卫生死角，而且窗户的玻璃也很干净', '短评打分': 5}
{'短评内容': '酒店属于休闲度假形式的，酒店里的温泉还是不错的，住宿条件还可以，房间打扫的挺干净的，设施方面也比较齐全，我住的豪华观景套房，可能因为房型原因，价格方面还是偏高些了。整体感觉还是可以的。', '短评打分': 5}
{'短评内容': '无语', '短评打分': 1}
{'短评内容': '好 温江最好的酒店！', '短评打分': 5}
{'短评内容': '设施一流，服务一般，主要是服务人员的速度很慢，做什么都要等一阵子。', '短评打分': 5}
{'短评内容': '这个酒店位置稍微有点偏，不过交通还可以，到了那感觉人气不旺，稍微有点冷清，配备的一些设施都没开，但是服务还是不错，环境也挺好，五星级酒店这个价格可以接受，挺好的。', '短评打分': 3}
