{'短评内容': '設施比較陳舊 環境比較安靜', '短评打分': 3}
{'短评内容': '环境不错, 服务也挺不错的，就是离着市区有点远了', '短评打分': 5}
{'短评内容': '很不错的一家酒店！因为经常出差，此酒店离虹桥机场很近，很方便，环境也不错，', '短评打分': 5}
{'短评内容': '住的是大床房,房间挺大的,也很安静,2号楼不错,就是有点久了,附近也挺旺,离地铁稍远,走路要15分钟', '短评打分': 5}
{'短评内容': '房间不错，总台服务态度很好。。。期待下一次入住！', '短评打分': 5}
{'短评内容': '酒店名字居然叫人口什么中心，房间又破又烂，外加热水还是冷的，哎。。。真心破，绝对不再用了。', '短评打分': 1}
{'短评内容': '还可以，环境很好，有机会还会到哪里住。还会推荐朋友去。', '短评打分': 5}
{'短评内容': '很不错  设施较好 环境不错  房间够大  服务还行  就是涨价了', '短评打分': 5}
{'短评内容': '1号楼的热水太慢了，放了15分钟还部热！酒店为什么不修理一下呢？难道你们的水是免费的吗？即使是免费的，也应该节约水资源的啊……', '短评打分': 1}
{'短评内容': '房间还不错，对的起这价格，交通也还可以，打车起步价到地铁口', '短评打分': 5}
{'短评内容': '  还可以   环境比较好  服务一 般   2号楼较好', '短评打分': 5}
{'短评内容': '环境还好  服务一般  客房挺不错  性价比蛮高', '短评打分': 5}
{'短评内容': '服务还可以，但是设施设备比较老哦，卫生间不是很干净。', '短评打分': 1}
{'短评内容': ' 酒店很安静.环境很好.周围有便利店.还有吃饭的地方.打车去地铁口很近.就是酒店的浴巾不是太好.总体不错.', '短评打分': 3}
{'短评内容': '酒店偏，房间可以，就是服务很差，前台很拽……', '短评打分': 3}
{'短评内容': '酒店的环境还是不错的。旁边的小锦江饭菜还不错。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '环境很好，很安静。非常适合出差旅游落脚。', '短评打分': 5}
{'短评内容': '作为上海人口与计划生育研究中心招待所，宾馆价格便宜，住在2号楼，远离马路环境和清近，大院停车很方便，又有一个海鲜酒楼，五一期间不事先预定，还真订不到位了，旅游了一天，在院子中的足浴中心泡个脚也是一种享受。相比边上的如家快捷酒店，停车特别方便。总体也方便，房间也很整洁。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '离我们家亲戚住的比较近，总体感觉还行。虽然设备老套，服务态度还好。', '短评打分': 5}
{'短评内容': '酒店干净舒适，服务态度好。早餐也不错。可以满足我的要求。下次有机会再住。', '短评打分': 5}
{'短评内容': '中等', '短评打分': 3}
{'短评内容': '不敢恭维，和图片上相差很远，非常失望，很脏，很破旧，毛巾都是发黄的，受不了、、、', '短评打分': 1}
{'短评内容': '看的出来很老的宾馆了\r\n内部招待用，各方面配套都没有\r\n但安全度应该没问题', '短评打分': 5}
{'短评内容': '酒店不错 只是交通部怎么方便 要走出大马路 其他还好', '短评打分': 5}
{'短评内容': '酒店太脏了，烟味实在太大了，设施也很旧，不过这个价位也还不错了，毕竟上海现在世博，酒店很紧张', '短评打分': 3}
{'短评内容': '总体感觉还可以', '短评打分': 5}
{'短评内容': '还可以，卫生条件一般般，房间烟味实在太大了，让做无烟处理也没什么效果', '短评打分': 5}
{'短评内容': '空调、电视都能用，卫生也打扫的不错，这个价位还是比较实惠的。', '短评打分': 5}
{'短评内容': '环境不错，虽然离市区有点远，但是很安静，晚上不会嘈杂，能够休息好。', '短评打分': 5}
{'短评内容': '地方太偏了～不过价格合理～', '短评打分': 5}
{'短评内容': '计划生育委员会下属的一个宾馆，莘庄地区算好的。', '短评打分': 5}
{'短评内容': '房间有不新鲜的气味,硬件设施很一般.\r\n早餐相当之简陋,还要另付钱,完全不值!\r\n想问问出门的路线,服务员还比较热情.', '短评打分': 1}
{'短评内容': '房间不算太大，但是设施齐全，周围也有购物中心，很方便。', '短评打分': 5}
{'短评内容': '服务不错，有花园，就是不肯换床单说要5天才换。', '短评打分': 5}
{'短评内容': '除了位置偏一点，其他各方面都还可以，早餐15块一人，吃得不是太好', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '房间太嘈，彻夜无眠', '短评打分': 1}
{'短评内容': '自备车出差适合', '短评打分': 5}
