{'短评内容': '价格合适，位置偏远', '短评打分': 5}
{'短评内容': '感觉一般，勉强能住', '短评打分': 5}
{'短评内容': '除了卫生，其他还好。', '短评打分': 3}
{'短评内容': '酒店位置很好，步行可去夫子庙，但卫生条件不行，必定价格便宜，也值了。', '短评打分': 2}
{'短评内容': '不好', '短评打分': 1}
{'短评内容': '宾馆环境可以接受，噪音少，离夫子庙10分钟左右的路程，边上是古城墙还可以', '短评打分': 4}
{'短评内容': '老板态度极其恶劣，打电话的时候以为我挂了居然说出爱出不住不愿意住滚，垃圾宾馆还贵的离谱，要不是看评论交了担保金谁愿意350住这种地方一天，晚上蚊子多，被子很不干净，晚上感觉有虫子爬上来，厕所的灯很差很差，排水需要很长时间.我把自己最真实的感受说出来.', '短评打分': 1}
{'短评内容': '态度好，价格低，出入方便。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '位置不错，夫子庙走一会儿就到了！', '短评打分': 4}
{'短评内容': '还不错的旅店，就是设施有些旧了，总体还行', '短评打分': 4}
{'短评内容': '很不错 老板很NICE', '短评打分': 5}
{'短评内容': '勉强过一夜吧 价格方面毕竟摆在那里 收拾的不到位也不说什么了', '短评打分': 2}
{'短评内容': '离夫子庙较远，不方便去夫子庙步行街，所以不推荐', '短评打分': 1}
{'短评内容': '地方还好，就是房间有点霉味，倒是安静。地方还好，就是房间有点霉味，倒是安静。', '短评打分': 5}
{'短评内容': '我帮同学订的，哎，人家把里面的情况和我一说我都不好意思，反正是不会再定这家了。。。', '短评打分': 1}
{'短评内容': '很差，脏，空调不热。住了一晚很痛苦！赶快换。', '短评打分': 3}
{'短评内容': '酒店位置一般，介绍说在夫子庙附近，结果在中华门城堡那，两者有点小远，酒店别的都还行，就是卫浴的淋浴坏了，11点多热水还没了，就随便凑合下就睡了。', '短评打分': 1}
{'短评内容': '  挺好，交通方便', '短评打分': 3}
{'短评内容': '房间不小，但空调太不给力了，位置还可以，总体不值这个价', '短评打分': 1}
